읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,309447,215102,5564,65175,72013,20488,1062,1214,223,15876,685,12056,175,58,62,1150,80,106,3065,74,52,131,462,19,88,1349,525,593,2468,25,83,764,128,60,83,94,106,206156,8946,94345
거소·선상투표,,368,356,19,100,94,31,3,4,0,27,3,9,3,0,1,4,0,1,5,0,2,1,0,0,2,5,1,3,0,0,0,1,0,1,1,2,1,324,32,12
관외사전투표,,21688,21683,637,5118,7893,2420,58,132,27,1630,42,1615,40,10,8,177,5,16,155,7,5,18,77,2,10,93,51,97,303,4,17,38,17,9,10,17,18,20776,907,5
재외투표,,1890,451,5,105,149,51,0,0,0,26,0,78,0,0,0,0,0,1,7,1,0,0,8,0,0,1,1,0,4,0,0,6,0,0,0,0,0,443,8,1439
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중곡제1동,소계,13396,8441,284,2314,3088,859,50,52,12,453,40,441,6,0,2,54,3,2,132,3,5,7,7,1,4,24,18,23,112,1,2,34,7,2,2,2,2,8048,393,4955
,관내사전투표,3357,3357,115,818,1387,336,16,20,5,165,9,227,4,0,1,12,1,0,32,2,1,5,3,0,0,8,7,4,41,0,0,5,1,1,2,0,2,3230,127,0
,중곡제1동제1투,2978,1423,45,404,462,178,4,4,1,79,7,73,0,0,0,8,1,0,24,0,0,1,1,0,1,4,3,5,21,0,1,12,2,1,0,0,0,1342,81,1555
,중곡제1동제2투,1962,982,49,304,332,86,10,6,1,43,8,46,0,0,0,5,0,0,11,1,2,0,2,0,0,0,2,7,18,0,0,6,3,0,0,1,0,943,39,980
