읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,352717,241520,5481,71942,82716,24345,1506,2088,306,17235,978,13151,212,53,62,1358,64,117,5175,77,70,183,419,28,100,378,457,506,2069,43,121,929,137,45,99,82,129,232661,8859,111197
거소·선상투표,,552,523,22,144,149,32,7,5,2,55,4,21,2,0,0,10,0,0,17,1,0,0,0,0,1,1,1,2,2,1,1,1,0,0,0,1,1,483,40,29
관외사전투표,,22003,21996,563,4982,8213,2559,93,246,31,1554,50,1639,55,5,8,151,4,8,244,14,13,28,68,3,14,24,56,76,234,10,19,56,28,4,5,15,17,21089,907,7
재외투표,,1855,491,5,109,187,48,0,3,0,24,1,80,0,0,0,2,0,0,12,1,1,0,4,0,0,0,1,0,5,0,0,0,0,0,0,1,1,485,6,1364
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신도림동,소계,28061,20752,411,6900,6336,1983,73,84,20,2140,62,1298,6,4,3,89,1,14,302,4,2,13,48,1,7,24,25,40,192,1,6,75,4,4,9,2,9,20192,560,7309
,관내사전투표,6564,6564,106,1777,2523,640,20,23,5,513,11,596,2,0,2,25,1,5,43,4,1,9,15,0,1,4,6,7,56,0,0,10,2,1,2,2,1,6413,151,0
,신도림동제1투,2609,1494,35,519,384,155,2,7,2,156,10,80,1,1,0,11,0,3,25,0,0,0,6,0,1,2,1,1,16,0,2,12,0,0,0,0,1,1433,61,1115
,신도림동제2투,2471,1856,39,657,538,166,14,9,2,208,8,88,0,0,0,11,0,0,27,0,0,0,5,0,2,6,0,4,11,0,0,6,0,0,0,0,1,1802,54,615
,신도림동제3투,2211,1535,30,499,476,167,2,7,1,167,5,65,0,0,0,5,0,1,24,0,0,0,3,0,0,4,3,7,12,0,1,7,1,0,0,0,2,1489,46,676
,신도림동제4투,2572,1535,30,527,438,149,10,6,2,151,4,77,0,0,1,5,0,1,36,0,1,1,9,0,2,3,3,1,18,0,1,9,0,2,1,0,2,1490,45,1037
,신도림동제5투,2835,1948,45,635,579,198,5,9,2,222,3,106,2,0,0,11,0,0,38,0,0,0,1,1,0,1,5,5,16,0,1,3,0,0,4,0,1,1893,55,887
,신도림동제6투,2735,1897,41,703,465,214,7,9,2,228,7,86,0,3,0,6,0,3,34,0,0,2,3,0,0,3,3,5,18,0,0,6,0,0,1,0,0,1849,48,838
,신도림동제7투,3219,1999,45,727,502,160,5,10,4,286,6,101,1,0,0,6,0,1,36,0,0,1,2,0,0,1,1,5,19,1,1,15,0,1,0,0,0,1937,62,1220
,신도림동제8투,2845,1924,40,856,431,134,8,4,0,209,8,99,0,0,0,9,0,0,39,0,0,0,4,0,1,0,3,5,26,0,0,7,1,0,1,0,1,1886,38,921
구로제1동,소계,16604,12255,249,3450,4130,1297,45,81,12,1148,41,804,5,4,0,61,1,5,213,5,0,10,29,0,2,13,30,23,134,1,3,27,4,1,4,1,8,11841,414,4349
,관내사전투표,5204,5203,97,1288,2042,530,10,32,2,417,13,460,2,2,0,18,1,0,36,2,0,5,7,0,1,5,11,10,58,0,1,6,0,0,1,0,1,5058,145,1
,구로제1동제1투,2211,1328,33,467,373,128,9,10,2,110,6,71,0,0,0,8,0,0,29,1,0,2,4,0,0,0,3,2,13,0,1,4,1,0,1,0,3,1281,47,883
,구로제1동제2투,2036,1319,25,410,365,155,7,9,3,159,5,56,1,0,0,9,0,0,30,1,0,1,1,0,0,0,4,1,11,1,0,4,0,1,2,0,1,1262,57,717
,구로제1동제3투,2103,1337,36,449,373,116,10,9,2,153,3,71,0,0,0,9,0,0,37,0,0,1,5,0,0,1,3,4,10,0,1,3,2,0,0,0,2,1300,37,766
,구로제1동제4투,2197,1351,20,396,407,152,4,11,3,127,4,64,1,0,0,11,0,3,53,1,0,1,8,0,0,4,3,2,15,0,0,4,0,0,0,1,1,1296,55,846
,구로제1동제5투,2853,1717,38,440,570,216,5,10,0,182,10,82,1,2,0,6,0,2,28,0,0,0,4,0,1,3,6,4,27,0,0,6,1,0,0,0,0,1644,73,1136
구로제2동,소계,20941,12033,324,3704,4416,847,105,112,20,695,89,504,12,3,5,76,3,7,197,1,2,7,14,5,6,32,35,38,81,2,10,43,5,1,9,8,7,11425,608,8908
,관내사전투표,3707,3707,101,1032,1606,248,30,34,4,177,20,216,1,2,2,11,1,1,27,1,2,2,2,1,1,4,8,7,24,0,1,7,2,0,4,1,1,3581,126,0
,구로제2동제1투,2231,856,24,253,306,77,5,5,1,47,9,20,2,0,0,4,0,0,13,0,0,1,4,1,0,5,4,8,4,1,0,7,1,1,0,0,1,804,52,1375
,구로제2동제2투,1498,725,12,251,266,29,8,2,3,28,6,20,1,0,1,5,0,2,21,0,0,0,0,0,0,3,3,5,7,0,3,2,0,0,1,1,2,682,43,773
,구로제2동제3투,1793,792,19,253,264,45,10,9,0,37,5,29,2,0,0,7,0,1,19,0,0,0,0,2,2,2,2,3,5,0,1,4,0,0,2,0,1,724,68,1001
,구로제2동제4투,2212,958,29,282,333,72,6,5,1,56,8,35,0,0,1,6,0,2,24,0,0,0,1,0,1,0,3,7,7,0,2,2,0,0,0,2,1,886,72,1254
,구로제2동제5투,1694,888,20,290,323,70,10,12,7,40,7,37,1,0,0,5,1,0,13,0,0,1,2,0,0,4,4,2,8,1,1,1,0,0,0,0,0,860,28,806
,구로제2동제6투,3040,1778,44,577,601,148,9,20,1,132,14,62,2,0,1,15,0,0,22,0,0,0,4,1,0,5,5,3,12,0,0,4,0,0,0,1,0,1683,95,1262
,구로제2동제7투,1724,759,26,247,233,56,9,10,1,46,7,22,0,1,0,9,0,0,26,0,0,1,0,0,1,4,2,1,6,0,1,4,0,0,1,1,0,715,44,965
,구로제2동제8투,2158,1128,37,390,368,59,7,13,2,82,8,42,3,0,0,8,1,1,26,0,0,0,0,0,1,4,3,2,5,0,1,7,2,0,1,1,1,1075,53,1030
