읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,207896,132190,3658,37237,47529,11314,1024,1373,174,9022,565,6961,151,38,51,902,49,90,2395,59,51,134,214,15,106,364,380,375,1265,28,105,447,98,43,71,90,95,126473,5717,75706
거소·선상투표,,302,281,13,71,83,19,6,4,1,17,4,12,1,0,0,14,0,2,0,2,2,1,0,0,1,1,1,2,2,0,0,1,2,0,0,2,0,264,17,21
관외사전투표,,12227,12224,329,2470,4779,1316,39,136,14,895,26,952,34,11,5,111,4,10,95,5,3,17,41,0,12,38,39,54,145,4,22,22,27,8,4,19,12,11698,526,3
재외투표,,817,189,3,33,74,20,0,1,0,10,0,31,0,0,0,3,0,0,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,183,6,628
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
가산동,소계,18625,10790,304,2601,4039,934,51,98,12,894,43,621,9,5,3,86,3,8,118,9,4,12,20,1,4,40,34,31,183,2,6,51,10,3,6,5,8,10258,532,7835
,관내사전투표,3701,3701,88,723,1603,349,13,32,4,271,12,302,1,0,0,20,1,1,18,1,1,6,5,0,0,13,8,12,65,0,2,5,3,0,1,2,3,3565,136,0
,가산동제1투,3569,1403,53,356,466,108,8,12,0,126,6,67,3,1,2,17,0,0,22,2,1,3,2,0,2,5,10,6,22,0,0,16,3,1,1,0,0,1321,82,2166
,가산동제2투,2461,1112,39,279,382,97,6,10,2,86,3,58,1,0,0,15,0,0,16,0,1,1,0,0,1,4,4,3,19,1,1,8,1,0,1,1,2,1042,70,1349
