읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,347864,247644,5306,76269,80399,24478,1600,1887,214,20403,779,14264,149,42,57,1338,76,118,4505,88,66,143,568,20,83,534,426,614,2557,27,103,900,116,42,84,87,126,238468,9176,100220
거소·선상투표,,497,475,16,155,126,36,3,4,0,44,1,18,2,0,0,7,0,2,5,0,1,1,1,1,2,6,0,2,1,1,0,1,2,0,0,0,1,439,36,22
관외사전투표,,28607,28602,723,6910,10129,3329,97,267,28,2299,49,2171,45,7,7,191,9,18,282,18,9,23,101,0,13,64,41,86,417,11,18,68,14,5,4,19,23,27495,1107,5
재외투표,,2570,574,7,134,191,85,6,2,1,25,0,79,0,0,0,2,0,0,21,0,0,0,2,0,0,0,1,0,6,0,0,6,0,0,0,1,0,569,5,1996
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
노량진제1동,소계,24965,16859,369,5740,5011,1557,132,116,18,1554,60,910,11,3,4,88,6,6,313,5,10,12,33,0,3,30,27,40,138,0,5,73,6,6,1,9,14,16310,549,8106
,관내사전투표,4152,4152,74,1202,1524,393,28,30,2,332,15,314,1,1,1,15,0,1,35,1,1,4,7,0,0,5,6,7,39,0,0,9,2,1,0,3,3,4056,96,0
,노량진제1동제1투,2885,1950,42,730,533,187,11,17,1,160,9,97,3,1,1,6,0,0,35,0,0,0,1,0,0,5,5,7,20,0,0,6,1,1,0,0,0,1879,71,935
,노량진제1동제2투,2886,1581,47,500,469,135,18,18,2,162,5,71,6,0,0,10,0,1,30,1,1,0,3,0,0,5,5,11,10,0,1,15,1,2,0,1,0,1530,51,1305
,노량진제1동제3투,2180,1477,24,549,378,148,10,8,2,168,3,69,0,0,0,7,0,0,27,1,1,0,6,0,0,2,3,3,9,0,2,2,0,0,1,2,0,1425,52,703
,노량진제1동제4투,2946,1230,34,401,345,115,12,8,3,98,3,56,0,0,0,17,2,1,34,0,2,1,1,0,0,2,2,2,18,0,1,7,0,0,0,0,2,1167,63,1716
,노량진제1동제5투,1992,1194,34,450,327,80,8,10,3,109,5,41,0,0,0,9,2,2,38,0,1,1,1,0,2,3,1,1,8,0,0,10,0,1,0,0,1,1148,46,798
,노량진제1동제6투,2885,1799,37,572,543,164,25,14,2,152,10,80,1,1,1,15,1,0,50,0,2,3,6,0,1,4,4,1,18,0,0,10,1,0,0,2,7,1727,72,1086
,노량진제1동제7투,1684,1272,24,537,278,117,4,3,1,154,6,70,0,0,0,1,1,0,15,2,0,0,4,0,0,2,0,2,6,0,0,5,1,0,0,1,0,1234,38,412
,노량진제1동제8투,1646,983,26,364,266,102,11,1,2,95,2,33,0,0,0,2,0,1,32,0,1,2,2,0,0,2,0,4,3,0,0,3,0,0,0,0,0,954,29,663
,노량진제1동제9투,1709,1221,27,435,348,116,5,7,0,124,2,79,0,0,1,6,0,0,17,0,1,1,2,0,0,0,1,2,7,0,1,6,0,1,0,0,1,1190,31,488
노량진제2동,소계,12783,8575,194,2539,2895,728,105,109,8,628,38,499,3,1,3,86,3,2,157,6,3,8,15,1,3,19,12,21,68,1,8,31,4,1,2,6,4,8211,364,4208
