읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,326383,226671,4258,66070,71734,26700,1048,1033,181,19683,712,14501,144,46,64,1077,49,88,3391,82,50,167,1406,17,71,484,372,450,2947,37,79,867,130,31,124,71,143,218307,8364,99712
거소·선상투표,,428,404,13,108,118,33,0,3,1,42,3,15,5,0,0,5,0,0,6,0,1,1,1,0,1,4,0,2,0,0,2,0,0,1,2,2,3,372,32,24
관외사전투표,,24999,24982,539,5979,8606,3244,76,174,31,1981,35,2004,41,2,8,147,5,8,173,11,5,29,170,0,13,53,40,69,398,8,22,45,11,9,13,13,24,23986,996,17
재외투표,,2676,649,7,187,197,69,6,3,0,37,0,95,0,0,0,4,0,0,16,1,1,0,2,0,0,1,1,0,6,0,1,2,0,0,0,0,1,637,12,2027
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공덕동,소계,30487,19347,394,6172,6129,1768,79,80,21,1755,58,949,7,2,10,90,6,12,348,6,7,17,85,0,8,38,32,35,239,4,4,95,11,2,15,3,7,18488,859,11140
,관내사전투표,4795,4795,94,1253,1907,427,14,17,4,352,10,390,2,0,3,13,2,3,30,4,2,5,16,0,3,4,7,10,50,0,1,13,1,0,4,1,1,4643,152,0
,공덕동제1투,2975,1658,45,515,557,121,8,12,3,117,9,54,1,0,0,14,1,0,36,0,0,2,3,0,0,2,1,6,20,1,2,14,0,1,2,1,0,1548,110,1317
,공덕동제2투,3411,2142,33,807,539,197,9,1,1,260,6,91,1,0,0,10,0,1,51,0,0,1,11,0,0,3,2,3,19,1,0,10,2,0,1,1,1,2062,80,1269
,공덕동제3투,2268,1142,30,321,387,118,11,3,6,79,6,37,0,0,0,10,0,0,31,0,2,2,8,0,0,1,4,2,16,1,0,3,0,0,1,0,1,1080,62,1126
,공덕동제4투,2224,1016,21,301,374,84,8,7,0,71,4,26,0,1,0,0,2,1,18,1,1,1,4,0,3,5,3,1,14,1,0,3,1,0,4,0,0,960,56,1208
,공덕동제5투,2578,1493,39,442,514,118,8,7,1,113,4,78,2,0,3,9,0,3,35,1,0,1,10,0,1,4,2,1,15,0,0,6,0,0,0,0,0,1417,76,1085
,공덕동제6투,2840,1359,24,460,354,145,3,5,0,151,5,54,0,0,1,8,0,1,28,0,0,1,6,0,1,5,4,3,15,0,0,10,1,0,1,0,1,1287,72,1481
,공덕동제7투,3052,1621,39,505,460,164,3,6,4,155,4,59,0,0,1,13,0,0,37,0,2,1,7,0,0,7,3,4,48,0,0,6,5,0,1,0,0,1534,87,1431
,공덕동제8투,2899,2004,36,739,489,200,10,9,2,258,3,79,0,0,0,6,1,3,40,0,0,1,14,0,0,4,3,2,20,0,0,14,0,1,0,0,1,1935,69,895
,공덕동제9투,3445,2117,33,829,548,194,5,13,0,199,7,81,1,1,2,7,0,0,42,0,0,2,6,0,0,3,3,3,22,0,1,16,1,0,1,0,2,2022,95,1328
아현동,소계,19926,14073,232,4999,3908,1372,57,35,6,1529,34,857,2,1,1,40,4,3,181,4,2,4,70,1,1,20,17,27,141,1,2,44,4,2,10,6,6,13623,450,5853
,관내사전투표,4838,4838,83,1488,1648,488,8,10,1,413,11,413,0,1,1,10,0,0,27,1,0,2,29,1,0,8,6,10,47,0,1,4,2,0,3,0,2,4718,120,0
,아현동제1투,2534,1202,23,429,279,98,7,2,0,165,7,62,1,0,0,4,1,0,32,1,0,0,3,0,0,4,1,1,21,0,1,8,0,1,2,1,0,1154,48,1332
,아현동제2투,1897,1243,16,444,298,135,7,2,0,157,3,70,1,0,0,12,2,0,19,1,0,0,3,0,0,1,0,2,7,0,0,3,0,0,2,1,0,1186,57,654
,아현동제3투,2455,1545,23,580,384,153,9,8,0,207,1,65,0,0,0,4,0,1,12,0,0,0,8,0,0,3,3,5,21,1,0,5,1,0,0,1,0,1495,50,910
,아현동제4투,1602,880,21,333,233,83,11,3,3,60,4,31,0,0,0,2,1,0,18,1,2,1,2,0,0,2,2,1,11,0,0,6,0,0,1,3,1,836,44,722
,아현동제5투,3072,2017,33,789,478,200,10,3,0,254,3,90,0,0,0,4,0,1,37,0,0,0,12,0,1,0,2,4,21,0,0,6,1,0,1,0,1,1951,66,1055
,아현동제6투,3528,2348,33,936,588,215,5,7,2,273,5,126,0,0,0,4,0,1,36,0,0,1,13,0,0,2,3,4,13,0,0,12,0,1,1,0,2,2283,65,1180
도화동,소계,18729,13610,235,4738,3864,1378,65,49,14,1255,44,817,7,3,3,61,2,7,209,2,1,8,53,2,2,25,15,26,142,6,3,63,10,1,18,2,4,13134,476,5119
,관내사전투표,5060,5060,79,1455,1837,501,18,23,2,371,10,441,3,1,3,21,0,3,35,1,0,4,20,0,1,4,5,10,56,1,0,1,1,1,7,1,0,4916,144,0
,도화동제1투,2334,1023,26,321,284,111,4,3,3,92,6,48,1,0,0,9,0,0,21,0,0,0,3,0,0,3,3,1,13,1,0,6,2,0,3,0,1,965,58,1311
,도화동제2투,2002,1244,20,495,271,123,13,5,0,144,3,61,0,0,0,3,0,1,29,0,0,0,9,0,0,4,3,0,15,1,0,4,0,0,1,0,0,1205,39,758
,도화동제3투,1695,1207,17,567,189,124,7,3,3,115,2,51,1,0,0,5,0,1,31,1,0,2,4,2,0,3,1,3,15,0,0,9,0,0,1,0,1,1158,49,488
,도화동제4투,1697,1228,20,395,317,152,3,3,1,165,1,62,1,0,0,9,1,0,21,0,0,0,6,0,0,2,0,2,18,0,2,15,0,0,1,1,0,1198,30,469
,도화동제5투,1647,885,27,306,256,72,7,4,4,51,6,33,0,1,0,2,0,1,17,0,0,0,2,0,0,2,0,2,3,0,0,4,2,0,1,0,1,804,81,762
,도화동제6투,2306,1691,16,764,341,157,5,5,0,187,9,73,1,0,0,7,0,1,26,0,1,1,8,0,1,6,3,4,15,0,0,15,0,0,2,0,0,1648,43,615
,도화동제7투,1988,1272,30,435,369,138,8,3,1,130,7,48,0,1,0,5,1,0,29,0,0,1,1,0,0,1,0,4,7,3,1,9,5,0,2,0,1,1240,32,716
용강동,소계,16461,11944,207,3964,3562,1243,63,33,8,1184,42,750,5,2,2,47,4,4,189,3,2,4,34,1,3,13,19,23,95,1,2,31,4,0,6,6,4,11560,384,4517
,관내사전투표,4674,4674,84,1277,1721,504,28,10,2,398,5,412,0,0,1,11,1,1,28,2,1,2,10,1,3,2,4,8,30,1,1,4,3,0,1,1,1,4558,116,0
,용강동제1투,2581,1569,26,592,366,152,6,2,2,206,5,72,3,1,0,10,0,0,25,0,0,1,5,0,0,1,4,3,16,0,0,4,0,0,3,1,1,1507,62,1012
,용강동제2투,2106,1206,24,444,324,120,4,5,2,104,2,59,2,0,0,5,0,1,28,1,0,0,3,0,0,0,2,3,10,0,0,9,0,0,0,2,1,1155,51,900
,용강동제3투,2858,1732,26,678,402,188,6,3,1,197,8,80,0,0,0,3,2,1,44,0,0,0,7,0,0,2,3,4,10,0,0,8,0,0,0,0,0,1673,59,1126
,용강동제4투,2004,1387,21,520,359,133,11,3,0,158,7,68,0,1,0,5,1,0,30,0,1,1,6,0,0,4,2,3,16,0,0,3,0,0,2,0,1,1356,31,617
,용강동제5투,2238,1376,26,453,390,146,8,10,1,121,15,59,0,0,1,13,0,1,34,0,0,0,3,0,0,4,4,2,13,0,1,3,1,0,0,2,0,1311,65,862
대흥동,소계,10410,6358,127,1885,1863,638,33,33,5,645,23,355,3,3,2,38,1,2,112,4,3,5,43,1,2,17,19,14,133,0,5,44,4,1,6,4,3,6076,282,4052
,관내사전투표,2130,2130,40,552,758,220,5,9,0,194,2,168,0,2,0,14,0,0,12,3,2,1,13,0,0,2,5,6,48,0,4,5,2,0,2,0,1,2070,60,0
,대흥동제1투,2196,1262,27,427,334,106,7,3,0,139,7,65,0,1,0,7,0,1,34,0,0,1,4,0,1,4,5,2,14,0,0,11,0,0,0,1,1,1202,60,934
,대흥동제2투,1250,681,14,225,164,78,4,4,2,53,2,18,1,0,0,5,1,0,17,0,1,1,5,0,0,2,5,2,18,0,0,7,0,0,0,1,0,630,51,569
,대흥동제3투,2394,1107,20,346,258,128,8,9,2,144,4,53,1,0,1,5,0,0,21,0,0,1,12,1,0,6,2,0,26,0,0,8,2,0,1,0,0,1059,48,1287
,대흥동제4투,2440,1178,26,335,349,106,9,8,1,115,8,51,1,0,1,7,0,1,28,1,0,1,9,0,1,3,2,4,27,0,1,13,0,1,3,2,1,1115,63,1262
염리동,소계,10028,6982,123,2063,2257,705,37,43,10,644,30,407,1,4,1,25,2,9,129,4,2,3,35,0,1,16,17,18,81,0,1,40,4,0,0,2,7,6721,261,3046
,관내사전투표,3112,3111,58,784,1162,332,7,17,4,257,16,244,0,2,0,6,1,4,32,1,1,1,16,0,1,5,4,8,29,0,1,8,2,0,0,2,2,3007,104,1
,염리동제1투,1800,832,14,252,243,79,8,11,1,93,2,27,0,0,0,5,0,0,28,0,0,0,4,0,0,5,3,0,15,0,0,9,0,0,0,0,1,800,32,968
,염리동제2투,1115,537,7,209,133,39,4,3,1,35,1,19,0,1,0,2,0,0,14,1,0,1,3,0,0,1,7,2,13,0,0,6,1,0,0,0,1,504,33,578
,염리동제3투,2464,1543,24,475,478,163,9,9,3,160,6,81,1,1,0,7,0,4,30,1,1,1,7,0,0,3,2,5,12,0,0,7,0,0,0,0,1,1491,52,921
,염리동제4투,1537,959,20,343,241,92,9,3,1,99,5,36,0,0,1,5,1,1,25,1,0,0,5,0,0,2,1,3,12,0,0,10,1,0,0,0,2,919,40,578
신수동,소계,17738,12092,205,3932,3551,1263,70,45,2,1203,30,749,4,4,5,46,2,5,217,2,5,8,55,1,3,32,17,21,117,1,4,43,5,1,8,4,5,11665,427,5646
,관내사전투표,3994,3994,59,1101,1421,407,31,12,2,328,7,371,2,1,2,10,1,2,33,0,1,4,14,1,2,9,6,6,36,0,0,8,1,0,1,1,1,3881,113,0
,신수동제1투,2751,1419,17,435,410,173,9,13,0,125,5,72,1,1,1,9,0,1,37,0,1,0,8,0,0,5,4,2,20,0,0,8,0,0,3,0,1,1361,58,1332
,신수동제2투,1667,968,19,356,226,90,8,3,0,116,4,41,0,1,0,5,0,0,25,1,1,0,5,0,0,4,2,1,7,0,0,8,1,0,0,0,0,924,44,699
,신수동제3투,3318,1962,38,665,522,214,9,4,0,246,3,88,0,0,0,9,0,0,37,0,1,1,8,0,0,2,2,4,22,1,2,8,0,1,1,0,1,1889,73,1356
,신수동제4투,3176,1900,34,729,474,185,9,8,0,175,8,92,0,0,0,6,0,1,38,1,1,2,8,0,0,3,1,2,21,0,0,4,0,0,2,2,1,1807,93,1276
,신수동제5투,2832,1849,38,646,498,194,4,5,0,213,3,85,1,1,2,7,1,1,47,0,0,1,12,0,1,9,2,6,11,0,2,7,3,0,1,1,1,1803,46,983
서강동,소계,19652,13394,211,4184,3775,1601,51,53,9,1524,46,851,11,2,6,54,4,5,197,0,1,13,96,1,1,32,11,19,152,1,4,58,7,0,7,2,15,13004,390,6258
,관내사전투표,3949,3949,43,993,1396,481,7,17,2,403,12,375,1,0,0,10,1,1,23,0,0,4,18,0,0,13,3,4,46,1,0,10,0,0,2,0,1,3867,82,0
,서강동제1투,2846,1504,23,485,379,212,12,3,0,195,5,79,2,0,1,7,0,1,25,0,1,1,5,0,0,2,2,4,21,0,1,6,0,0,0,1,2,1475,29,1342
,서강동제2투,2606,1721,30,581,452,195,6,11,1,201,9,79,3,0,0,7,0,0,37,0,0,1,19,1,0,3,1,5,9,0,0,11,0,0,1,1,0,1664,57,885
,서강동제3투,2790,1720,36,547,460,216,7,5,0,176,4,109,3,0,1,10,2,1,32,0,0,2,8,0,0,4,0,2,26,0,1,8,0,0,1,0,6,1667,53,1070
,서강동제4투,1744,966,21,302,272,100,4,8,2,110,6,38,1,1,2,4,1,0,18,0,0,2,8,0,0,2,1,0,9,0,0,8,1,0,2,0,1,924,42,778
,서강동제5투,2577,1536,34,475,408,200,9,7,1,155,4,75,0,1,2,7,0,2,22,0,0,2,21,0,1,6,2,1,19,0,1,4,4,0,0,0,4,1467,69,1041
,서강동제6투,3140,1998,24,801,408,197,6,2,3,284,6,96,1,0,0,9,0,0,40,0,0,1,17,0,0,2,2,3,22,0,1,11,2,0,1,0,1,1940,58,1142
서교동,소계,20056,12475,230,3492,3841,1715,52,62,8,962,35,765,5,0,6,72,0,5,207,5,3,6,138,0,1,24,21,25,228,1,3,50,13,1,4,4,10,11994,481,7581
,관내사전투표,4284,4284,76,922,1660,602,12,23,1,269,9,381,2,0,3,14,0,0,25,2,1,1,54,0,1,6,8,3,83,0,1,2,3,0,1,1,4,4170,114,0
,서교동제1투,1860,923,11,314,238,119,3,5,1,67,2,35,0,0,1,8,0,1,26,1,1,0,2,0,0,2,1,2,19,0,0,9,3,0,0,1,1,873,50,937
,서교동제2투,3176,1714,25,618,415,204,8,4,1,152,6,78,0,0,0,11,0,1,47,0,0,2,19,0,0,4,4,4,29,0,1,8,0,0,1,0,3,1645,69,1462
,서교동제3투,2222,1173,23,348,333,164,11,5,1,96,5,66,1,0,0,8,0,0,19,1,1,0,7,0,0,5,0,4,16,0,1,8,1,0,0,0,0,1124,49,1049
,서교동제4투,3193,1461,37,399,388,258,6,4,2,114,5,59,0,0,0,6,0,2,22,1,0,2,28,0,0,4,5,7,37,0,0,9,1,0,0,0,0,1396,65,1732
