읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,359735,257597,4247,113690,58546,18543,1253,674,176,23971,689,14494,109,36,64,1176,121,67,6090,87,36,112,909,8,53,480,293,559,2086,41,121,1255,120,33,46,57,108,250350,7247,102138
거소·선상투표,,479,454,23,181,105,32,3,4,1,36,1,12,0,0,0,9,0,0,4,0,0,1,3,0,0,0,0,3,1,0,0,1,1,0,0,0,2,423,31,25
관외사전투표,,27359,27301,579,9633,7923,2334,93,107,29,2249,53,2163,29,8,14,147,7,8,294,12,4,16,110,0,16,59,44,107,182,20,28,72,18,4,4,8,17,26391,910,58
재외투표,,4314,880,14,352,212,82,6,1,0,48,4,94,0,0,0,2,0,0,27,3,0,0,2,0,0,1,1,1,3,0,0,5,0,0,1,1,0,860,20,3434
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서초1동,소계,17095,11688,196,5173,2598,818,60,29,12,1099,27,721,3,1,0,56,1,4,296,2,0,7,49,0,3,16,8,27,110,1,5,63,5,0,2,2,1,11395,293,5407
,관내사전투표,4562,4562,76,1731,1325,332,17,14,2,363,6,433,3,1,0,12,0,2,48,2,0,4,15,0,0,5,2,9,46,1,1,9,2,0,1,2,0,4464,98,0
,서초1동제1투,3863,2236,28,1144,384,142,15,3,2,234,9,90,0,0,0,9,0,1,70,0,0,1,10,0,0,5,3,4,18,0,1,14,0,0,0,0,0,2187,49,1627
,서초1동제2투,2990,1715,36,800,328,124,10,3,3,166,5,74,0,0,0,14,0,1,61,0,0,0,6,0,0,2,1,6,14,0,1,13,2,0,0,0,0,1670,45,1275
,서초1동제3투,2991,1664,22,858,244,112,3,1,1,192,6,64,0,0,0,8,0,0,60,0,0,1,9,0,2,3,2,5,13,0,1,9,0,0,1,0,0,1617,47,1327
,서초1동제4투,2689,1511,34,640,317,108,15,8,4,144,1,60,0,0,0,13,1,0,57,0,0,1,9,0,1,1,0,3,19,0,1,18,1,0,0,0,1,1457,54,1178
서초2동,소계,14631,9823,163,4447,2095,677,48,24,5,977,28,496,5,2,0,37,67,1,172,0,1,6,46,0,2,18,7,27,102,0,3,71,1,3,0,1,6,9538,285,4808
,관내사전투표,3432,3432,52,1355,923,255,8,9,2,304,6,282,1,0,0,11,1,1,43,0,0,0,17,0,0,7,2,7,30,0,2,9,1,2,0,1,4,3335,97,0
,서초2동제1투,1600,1052,18,570,137,62,9,6,0,113,2,31,1,0,0,8,0,0,27,0,0,1,3,0,0,3,0,4,12,0,0,17,0,0,0,0,1,1025,27,548
,서초2동제2투,3111,1504,36,584,341,127,8,3,1,190,10,51,1,1,0,5,0,0,31,0,0,2,12,0,1,5,2,6,18,0,0,12,0,0,0,0,0,1447,57,1607
,서초2동제3투,3292,2005,41,885,442,131,15,6,2,192,9,73,2,1,0,8,0,0,71,0,1,2,6,0,1,3,2,4,24,0,1,21,0,0,0,0,0,1943,62,1287
,서초2동제4투,3196,1830,16,1053,252,102,8,0,0,178,1,59,0,0,0,5,66,0,0,0,0,1,8,0,0,0,1,6,18,0,0,12,0,1,0,0,1,1788,42,1366
서초3동,소계,24752,17016,296,7804,3634,1091,113,45,17,1528,53,963,6,1,3,91,3,4,505,4,2,7,54,1,3,43,16,30,143,3,9,85,12,2,5,10,7,16593,423,7736
,관내사전투표,5526,5526,105,2204,1545,369,24,6,6,436,16,509,2,0,2,19,2,0,76,2,0,2,17,1,0,5,4,6,40,0,1,8,1,0,1,2,3,5414,112,0
,서초3동제1투,2912,1694,19,1062,205,52,13,1,1,160,2,47,0,0,1,4,0,0,57,0,1,1,2,0,0,5,0,3,7,0,1,7,0,1,0,0,0,1652,42,1218
,서초3동제2투,2556,1586,28,714,349,98,14,8,2,138,4,64,0,1,0,12,0,0,55,1,0,0,3,0,1,4,2,3,11,1,2,12,3,0,0,1,2,1533,53,970
