읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,192476,131238,2880,41286,42175,13388,718,644,157,10751,484,7175,100,35,32,728,41,50,1971,43,33,77,275,14,52,268,271,308,1237,19,54,418,83,29,62,44,106,126008,5230,61238
거소·선상투표,,247,234,5,57,75,21,3,1,0,18,1,6,3,0,0,9,0,1,3,2,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,212,22,13
관외사전투표,,12785,12781,291,3280,4491,1527,44,93,16,1031,26,842,20,8,5,94,1,6,104,6,4,9,47,0,6,21,28,45,145,2,18,31,12,3,7,5,10,12278,503,4
재외투표,,1344,331,2,111,80,35,0,0,0,27,0,49,0,0,0,1,0,1,2,0,0,1,0,0,0,1,1,0,5,0,0,3,0,1,1,0,0,321,10,1013
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
응봉동,소계,12644,8876,165,2933,2739,963,42,27,5,788,16,525,5,0,1,44,1,2,147,0,0,5,11,0,3,15,23,21,61,1,2,27,5,0,3,1,8,8589,287,3768
,관내사전투표,3710,3710,75,1069,1359,375,12,9,0,306,4,311,3,0,1,12,0,1,18,0,0,2,6,0,2,5,10,7,23,0,0,4,2,0,2,0,6,3624,86,0
,응봉동제1투,2968,1517,32,494,459,188,12,5,1,124,2,53,1,0,0,8,1,0,44,0,0,2,0,0,0,3,6,2,10,0,1,3,0,0,1,0,1,1453,64,1451
,응봉동제2투,3185,1873,32,701,465,201,8,7,2,172,8,83,1,0,0,11,0,1,61,0,0,1,3,0,1,5,4,5,13,1,0,10,2,0,0,1,1,1800,73,1312
