읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,383561,258831,6681,73720,89163,25372,1520,2023,321,20065,1022,15089,188,58,75,1409,92,122,4378,119,60,209,996,14,79,533,471,517,3318,39,93,992,155,49,104,114,145,249305,9526,124730
거소·선상투표,,501,480,32,134,124,34,3,8,1,25,3,24,1,0,0,14,0,0,5,1,0,0,2,0,0,8,0,1,0,0,1,1,0,1,0,0,1,424,56,21
관외사전투표,,28521,28510,764,6298,10484,3302,77,298,29,2153,61,2266,48,12,10,194,10,16,233,18,11,35,151,1,17,54,53,77,501,10,23,94,31,3,16,18,30,27398,1112,11
재외투표,,2510,573,4,118,217,72,2,0,1,23,0,98,0,0,0,3,0,0,6,0,0,1,5,0,0,1,1,0,8,0,0,1,0,0,1,0,0,562,11,1937
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성북동,소계,14212,9630,230,2975,3097,1024,48,49,11,645,39,657,2,1,2,46,5,2,172,3,1,9,87,0,3,13,10,15,110,1,2,44,3,1,3,5,1,9316,314,4582
,관내사전투표,3977,3976,83,961,1558,472,8,17,1,229,9,382,0,1,0,13,1,0,31,2,0,3,31,0,1,3,3,5,35,0,1,8,2,0,1,4,0,3865,111,1
,성북동제1투,2863,1649,50,496,483,194,8,9,2,117,10,82,0,0,1,16,1,1,31,1,1,1,27,0,0,2,3,6,21,0,1,8,1,0,1,0,1,1575,74,1214
,성북동제2투,2863,1388,34,535,362,124,12,12,0,89,6,64,1,0,1,6,1,0,42,0,0,1,15,0,1,3,2,0,16,1,0,11,0,0,0,0,0,1339,49,1475
,성북동제3투,1966,1177,20,555,240,83,11,5,3,82,7,62,0,0,0,5,1,0,36,0,0,4,8,0,1,2,1,1,11,0,0,6,0,0,0,0,0,1144,33,789
,성북동제4투,2543,1440,43,428,454,151,9,6,5,128,7,67,1,0,0,6,1,1,32,0,0,0,6,0,0,3,1,3,27,0,0,11,0,1,1,1,0,1393,47,1103
삼선동,소계,20911,13500,386,3635,4885,1375,75,76,17,981,42,781,7,4,4,71,5,6,180,9,1,14,75,0,3,33,21,24,221,3,6,43,13,4,6,3,7,13016,484,7411
,관내사전투표,4855,4856,105,1070,2026,534,16,33,6,268,8,405,3,2,0,17,4,0,31,5,0,6,25,0,1,12,6,9,90,0,0,8,6,2,2,0,1,4701,155,-1
,삼선동제1투,3930,1967,55,677,583,181,10,9,2,158,9,76,2,0,2,16,0,0,44,0,0,0,9,0,0,8,2,2,30,1,2,5,2,0,0,0,1,1886,81,1963
,삼선동제2투,2639,1437,48,428,520,124,13,4,3,82,8,73,1,0,0,6,0,3,14,0,0,3,10,0,0,2,5,5,19,0,0,3,1,1,0,1,0,1377,60,1202
,삼선동제3투,2612,1649,42,449,548,172,10,7,0,200,4,87,0,1,1,8,0,1,27,3,1,0,7,0,0,1,0,3,14,0,0,8,0,1,1,0,2,1598,51,963
,삼선동제4투,3629,2026,73,567,692,193,13,15,4,172,6,84,1,1,0,11,0,0,41,1,0,3,15,0,1,4,4,2,32,0,2,12,2,0,2,0,1,1954,72,1603
,삼선동제5투,3246,1565,63,444,516,171,13,8,2,101,7,56,0,0,1,13,1,2,23,0,0,2,9,0,1,6,4,3,36,2,2,7,2,0,1,2,2,1500,65,1681
동선동,소계,12779,8142,262,2043,2727,830,33,48,13,617,34,430,7,6,2,35,4,4,122,4,0,5,64,1,3,26,16,24,342,0,3,40,3,4,5,2,5,7764,378,4637
,관내사전투표,2802,2802,69,607,1083,304,7,19,4,183,9,214,2,1,1,12,1,1,17,0,0,1,16,0,0,7,3,2,121,0,0,9,0,2,1,1,0,2697,105,0
,동선동제1투,1822,816,27,212,233,107,5,10,1,51,5,32,0,0,0,4,1,1,29,0,0,0,4,0,1,4,1,6,25,0,1,7,0,1,1,1,2,772,44,1006
,동선동제2투,2659,1394,52,331,428,138,6,8,1,108,7,58,2,1,0,7,0,0,21,1,0,2,18,0,0,3,5,4,109,0,1,7,1,0,0,0,0,1319,75,1265
,동선동제3투,2341,1296,38,364,426,111,7,6,4,108,8,51,1,2,0,2,0,1,24,1,0,0,8,1,1,6,3,6,31,0,0,8,1,1,2,0,2,1224,72,1045
,동선동제4투,3155,1834,76,529,557,170,8,5,3,167,5,75,2,2,1,10,2,1,31,2,0,2,18,0,1,6,4,6,56,0,1,9,1,0,1,0,1,1752,82,1321
돈암제1동,소계,12653,8844,172,2758,2887,909,54,75,12,748,33,458,8,2,2,35,3,4,133,5,2,9,37,0,1,22,23,18,101,1,1,28,6,2,1,1,3,8554,290,3809
,관내사전투표,2876,2876,47,719,1178,307,14,24,3,181,11,211,2,1,0,6,0,2,14,1,1,7,13,0,0,3,8,4,32,0,0,6,2,1,0,0,1,2799,77,0
,돈암제1동제1투,2229,1287,20,424,376,114,8,16,2,130,3,59,1,1,0,10,1,1,35,0,0,0,7,0,0,6,2,2,9,0,1,7,0,0,0,0,0,1235,52,942
,돈암제1동제2투,2271,1383,31,502,365,149,9,8,2,122,10,56,1,0,0,4,0,1,24,0,0,0,5,0,1,3,3,4,21,0,0,3,2,0,0,1,0,1327,56,888
,돈암제1동제3투,3082,2067,42,735,571,235,13,12,4,211,0,84,2,0,2,10,1,0,27,3,0,1,8,0,0,6,4,4,28,0,0,4,1,0,0,0,1,2009,58,1015
,돈암제1동제4투,2195,1231,32,378,397,104,10,15,1,104,9,48,2,0,0,5,1,0,33,1,1,1,4,0,0,4,6,4,11,1,0,8,1,1,1,0,1,1184,47,964
돈암제2동,소계,18064,12614,275,4105,3828,1329,63,38,14,1147,49,817,4,1,2,55,3,8,225,7,2,9,51,0,3,21,15,27,141,2,6,53,7,1,1,5,2,12316,298,5450
,관내사전투표,3120,3119,55,862,1155,307,8,10,4,189,9,341,0,0,0,13,0,1,24,3,0,2,9,0,2,7,0,6,34,0,1,8,2,1,0,1,1,3055,64,1
,돈암제2동제1투,3874,2290,54,743,661,278,13,10,3,255,6,93,0,0,1,11,2,1,39,0,2,2,15,0,0,4,2,4,24,1,0,8,1,0,0,3,1,2237,53,1584
,돈암제2동제2투,2755,1830,46,658,472,198,14,5,0,188,9,96,0,0,0,7,1,2,37,0,0,0,7,0,0,3,3,4,20,0,3,7,0,0,1,1,0,1782,48,925
,돈암제2동제3투,2769,1789,44,485,636,208,7,3,2,176,6,98,2,0,0,5,0,2,32,1,0,1,9,0,0,2,5,2,17,0,1,6,2,0,0,0,0,1752,37,980
,돈암제2동제4투,3058,2033,41,798,500,175,8,5,2,208,12,113,1,0,1,6,0,1,50,1,0,2,8,0,1,4,2,5,27,0,1,15,1,0,0,0,0,1988,45,1025
,돈암제2동제5투,2488,1553,35,559,404,163,13,5,3,131,7,76,1,1,0,13,0,1,43,2,0,2,3,0,0,1,3,6,19,1,0,9,1,0,0,0,0,1502,51,935
안암동,소계,12962,8104,243,2245,2433,864,52,51,9,858,28,424,4,2,3,46,0,0,119,2,3,2,50,0,1,21,13,14,167,1,3,48,2,0,3,2,5,7718,386,4858
,관내사전투표,2946,2946,76,647,1051,327,15,23,3,266,10,232,1,0,1,16,0,0,20,1,0,2,18,0,1,7,5,3,72,1,1,10,1,0,0,0,0,2810,136,0
,안암동제1투,2352,1020,33,309,319,80,5,5,3,112,6,40,1,0,0,7,0,0,19,0,0,0,4,0,0,3,2,3,15,0,0,6,0,0,1,0,0,973,47,1332
,안암동제2투,2272,1198,51,374,253,144,3,7,1,187,3,33,0,0,1,7,0,0,20,0,2,0,10,0,0,6,2,2,20,0,1,12,0,0,0,0,2,1141,57,1074
,안암동제3투,3101,1661,48,492,449,185,18,8,0,175,4,71,2,1,0,11,0,0,23,1,0,0,11,0,0,3,2,3,52,0,1,9,1,0,1,1,1,1573,88,1440
,안암동제4투,2291,1279,35,423,361,128,11,8,2,118,5,48,0,1,1,5,0,0,37,0,1,0,7,0,0,2,2,3,8,0,0,11,0,0,1,1,2,1221,58,1012
보문동,소계,13210,8170,259,2219,2891,771,48,34,7,650,32,438,8,0,5,53,6,4,106,1,1,7,36,1,2,17,15,20,120,1,3,34,7,0,4,2,3,7805,365,5040
,관내사전투표,3325,3325,98,822,1282,314,26,15,2,249,12,248,2,0,1,14,3,1,10,1,0,4,19,0,1,8,8,6,36,0,1,3,2,0,2,1,0,3191,134,0
,보문동제1투,3650,1545,52,428,538,129,11,7,1,102,7,64,3,0,2,16,0,1,31,0,1,1,4,0,0,3,6,6,21,1,2,11,3,0,1,1,1,1454,91,2105
,보문동제2투,2578,1344,51,389,444,121,3,4,1,111,5,48,3,0,1,12,1,0,26,0,0,2,7,0,1,2,1,3,36,0,0,9,1,0,0,0,0,1282,62,1234
,보문동제3투,3657,1956,58,580,627,207,8,8,3,188,8,78,0,0,1,11,2,2,39,0,0,0,6,1,0,4,0,5,27,0,0,11,1,0,1,0,2,1878,78,1701
정릉제1동,소계,14892,10254,284,3030,3573,984,53,51,12,830,23,570,4,1,4,44,3,5,173,2,1,8,27,0,4,24,14,19,86,2,6,37,2,0,7,0,3,9886,368,4638
,관내사전투표,3828,3816,90,1024,1592,337,16,12,6,232,8,287,1,0,1,14,0,1,24,1,0,2,16,0,0,5,3,9,30,0,2,5,1,0,2,0,0,3721,95,12
,정릉제1동제1투,2888,1613,47,514,460,150,7,9,3,171,3,85,2,0,0,6,1,0,49,1,0,1,4,0,2,1,6,3,15,0,1,2,0,0,4,0,1,1548,65,1275
,정릉제1동제2투,2898,1558,49,499,467,157,13,7,1,120,2,53,1,1,3,5,0,1,36,0,1,2,1,0,2,9,2,5,12,1,0,15,0,0,0,0,2,1467,91,1340
,정릉제1동제3투,2765,1663,53,502,543,159,10,13,1,158,5,75,0,0,0,10,0,1,33,0,0,2,3,0,0,6,2,1,15,0,1,10,1,0,1,0,0,1605,58,1102
,정릉제1동제4투,2513,1604,45,491,511,181,7,10,1,149,5,70,0,0,0,9,2,2,31,0,0,1,3,0,0,3,1,1,14,1,2,5,0,0,0,0,0,1545,59,909
정릉제2동,소계,18792,12098,321,3620,4182,1141,83,81,22,824,57,662,7,4,6,83,6,5,231,9,3,7,48,2,1,21,18,24,122,1,3,69,11,5,2,4,10,11695,403,6694
,관내사전투표,4934,4933,118,1367,1971,438,24,35,8,286,25,355,1,3,2,22,3,2,43,7,1,2,21,0,0,3,5,8,40,1,0,13,1,2,0,1,3,4811,122,1
,정릉제2동제1투,3440,1999,49,654,576,223,13,9,4,183,6,80,0,1,2,20,0,1,40,0,0,0,5,0,0,9,4,4,17,0,1,16,2,0,0,2,1,1922,77,1441
,정릉제2동제2투,3386,1601,50,467,538,123,15,16,6,105,13,76,1,0,1,14,1,2,46,0,0,0,9,1,0,5,3,2,22,0,1,14,3,0,2,0,5,1541,60,1785
,정릉제2동제3투,3404,1642,42,508,542,157,17,13,0,114,8,69,3,0,1,13,2,0,25,2,1,2,6,0,0,1,3,4,19,0,1,10,3,3,0,0,1,1570,72,1762
,정릉제2동제4투,3628,1923,62,624,555,200,14,8,4,136,5,82,2,0,0,14,0,0,77,0,1,3,7,1,1,3,3,6,24,0,0,16,2,0,0,1,0,1851,72,1705
정릉제3동,소계,12061,7042,216,2159,2353,618,59,48,12,431,49,328,4,0,2,57,5,7,140,4,0,3,31,0,2,15,11,21,65,2,0,38,2,3,2,5,5,6697,345,5019
,관내사전투표,2734,2734,74,736,1110,234,23,16,7,146,13,167,2,0,2,14,2,3,33,2,0,0,5,0,1,3,2,11,16,1,0,4,0,1,0,4,2,2634,100,0
,정릉제3동제1투,2677,1170,32,342,329,125,9,8,1,91,5,47,1,0,0,8,0,0,27,0,0,2,13,0,1,7,5,4,21,0,0,11,0,0,1,0,1,1091,79,1507
,정릉제3동제2투,1179,581,18,224,157,40,12,5,2,19,7,24,0,0,0,8,1,0,17,1,0,0,2,0,0,0,2,1,1,0,0,7,0,0,0,1,0,549,32,598
,정릉제3동제3투,3277,1511,68,478,461,128,3,11,2,103,13,59,0,0,0,11,1,3,39,0,0,1,5,0,0,2,2,3,20,1,0,13,1,1,0,0,0,1429,82,1766
,정릉제3동제4투,2194,1046,24,379,296,91,12,8,0,72,11,31,1,0,0,16,1,1,24,1,0,0,6,0,0,3,0,2,7,0,0,3,1,1,1,0,2,994,52,1148
정릉제4동,소계,20832,13403,337,3924,4697,1262,103,71,16,965,62,823,6,4,2,60,3,9,269,11,4,9,52,1,2,22,27,22,107,1,3,48,4,0,8,4,14,12952,451,7429
,관내사전투표,5059,5059,112,1303,2104,429,35,23,4,285,17,410,2,0,2,25,2,4,54,5,2,2,20,0,0,8,9,7,26,0,1,10,2,0,0,2,5,4910,149,0
,정릉제4동제1투,2727,1555,38,543,451,172,18,16,1,102,7,66,0,1,0,6,0,2,40,0,0,1,8,0,1,3,2,5,13,0,0,6,1,0,2,0,2,1507,48,1172
,정릉제4동제2투,3774,1673,57,480,564,142,15,14,2,118,13,77,2,1,0,5,0,2,43,2,1,1,8,0,0,6,9,4,20,0,0,7,0,0,4,0,2,1599,74,2101
,정릉제4동제3투,3230,1558,46,486,451,166,18,5,6,179,5,81,0,1,0,11,0,0,19,3,1,1,4,0,0,2,1,4,11,0,0,9,0,0,1,0,2,1513,45,1672
,정릉제4동제4투,2168,1195,30,398,358,91,8,5,0,76,12,62,0,0,0,7,1,1,39,1,0,3,7,1,0,0,4,0,14,1,1,8,0,0,0,1,3,1132,63,973
,정릉제4동제5투,3874,2363,54,714,769,262,9,8,3,205,8,127,2,1,0,6,0,0,74,0,0,1,5,0,1,3,2,2,23,0,1,8,1,0,1,1,0,2291,72,1511
길음제1동,소계,26048,18590,410,5267,6361,1997,87,89,16,1816,53,1273,5,1,3,75,5,6,243,9,2,9,50,1,3,32,30,22,157,1,3,66,9,3,5,4,3,18116,474,7458
,관내사전투표,5713,5713,104,1331,2326,596,16,26,4,442,8,607,1,0,0,18,0,0,38,2,0,4,16,0,0,5,8,3,48,0,1,10,0,1,0,1,0,5616,97,0
,길음제1동제1투,2981,2031,53,568,662,229,15,9,2,242,9,114,1,0,1,7,0,2,40,1,0,1,2,0,1,5,0,0,10,1,1,12,3,0,0,1,0,1992,39,950
,길음제1동제2투,3422,2192,54,661,697,240,23,10,0,212,9,136,0,0,1,5,2,2,30,1,0,3,2,0,0,7,3,5,14,0,0,10,1,0,0,1,0,2129,63,1230
,길음제1동제3투,3440,1770,50,494,578,204,5,6,2,196,6,88,1,1,0,8,1,0,28,2,2,0,4,0,0,2,4,2,19,0,1,11,0,1,1,0,1,1718,52,1670
,길음제1동제4투,3286,2008,49,682,574,223,9,8,3,190,6,77,0,0,1,9,0,0,37,1,0,0,9,1,2,1,8,1,26,0,0,10,2,1,1,1,0,1932,76,1278
,길음제1동제5투,2937,1916,38,568,605,209,5,11,1,219,4,107,0,0,0,6,1,1,32,0,0,0,5,0,0,6,3,4,22,0,0,8,1,0,0,0,0,1856,60,1021
,길음제1동제6투,2033,1448,35,423,471,157,7,10,1,152,2,83,1,0,0,10,1,0,19,0,0,1,4,0,0,4,2,4,14,0,0,1,1,0,2,0,1,1406,42,585
,길음제1동제7투,2236,1512,27,540,448,139,7,9,3,163,9,61,1,0,0,12,0,1,19,2,0,0,8,0,0,2,2,3,4,0,0,4,1,0,1,0,1,1467,45,724
길음제2동,소계,13195,8646,185,2666,2883,833,52,71,8,780,34,453,7,1,2,43,0,4,135,4,1,7,14,1,2,16,14,12,85,0,2,22,7,0,5,2,6,8357,289,4549
,관내사전투표,2818,2818,57,737,1141,266,13,28,2,198,9,195,1,0,1,10,0,1,21,3,0,4,3,1,0,3,4,5,34,0,1,3,0,0,2,1,0,2744,74,0
,길음제2동제1투,1207,372,6,117,135,30,6,5,1,22,6,10,2,0,0,3,0,0,11,0,0,0,0,0,0,1,2,0,3,0,0,2,0,0,0,0,1,363,9,835
,길음제2동제2투,3593,2296,37,733,668,239,11,13,1,281,8,115,2,1,1,10,0,0,42,1,0,1,3,0,1,6,3,2,23,0,1,7,2,0,3,0,0,2215,81,1297
,길음제2동제3투,3132,1902,52,591,590,196,15,15,3,190,5,69,1,0,0,11,0,2,34,0,0,2,7,0,0,5,4,2,14,0,0,8,4,0,0,1,4,1825,77,1230
,길음제2동제4투,2445,1258,33,488,349,102,7,10,1,89,6,64,1,0,0,9,0,1,27,0,1,0,1,0,1,1,1,3,11,0,0,2,1,0,0,0,1,1210,48,1187
