읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,203883,135106,3185,49951,37347,12600,724,768,141,10587,471,7407,67,22,47,695,37,41,2567,54,29,68,619,17,42,236,177,292,1600,12,54,674,63,19,51,30,87,130781,4325,68777
거소·선상투표,,259,245,15,83,62,24,1,0,1,20,0,5,1,0,0,5,0,0,3,0,0,1,0,0,1,2,1,1,0,0,1,1,1,0,0,0,1,230,15,14
관외사전투표,,13812,13805,335,4234,4348,1408,58,82,20,998,32,1080,22,1,4,76,6,7,131,6,3,14,75,1,7,30,15,45,238,1,10,32,11,2,4,5,7,13348,457,7
재외투표,,2230,460,8,171,115,39,3,1,0,28,2,49,0,0,0,0,0,0,19,0,0,0,3,0,0,0,0,3,5,0,0,5,0,1,1,0,0,453,7,1770
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
후암동,소계,14738,9417,262,2682,3238,989,68,64,13,645,35,566,5,4,3,72,1,5,170,4,4,8,40,0,3,15,22,21,94,1,5,48,6,1,7,2,9,9112,305,5321
,관내사전투표,3987,3985,108,1016,1620,407,19,30,2,205,14,320,0,2,2,22,0,1,31,1,1,2,17,0,1,8,7,6,36,0,3,5,0,1,2,1,4,3894,91,2
,후암동제1투,3329,1526,49,461,460,160,6,8,4,150,2,79,0,1,0,13,0,1,19,0,1,0,6,0,0,3,4,6,19,0,0,7,1,0,1,0,1,1462,64,1803
,후암동제2투,2345,1174,32,349,346,135,16,11,1,69,3,54,0,1,1,9,1,2,36,1,0,3,5,0,1,1,2,2,15,0,0,12,0,0,3,0,1,1112,62,1171
,후암동제3투,2500,1344,33,430,401,150,13,6,5,118,10,40,2,0,0,19,0,0,27,1,0,2,8,0,1,1,3,3,13,1,0,13,4,0,1,1,1,1307,37,1156
,후암동제4투,2577,1388,40,426,411,137,14,9,1,103,6,73,3,0,0,9,0,1,57,1,2,1,4,0,0,2,6,4,11,0,2,11,1,0,0,0,2,1337,51,1189
용산2가동,소계,8838,5495,181,1696,1794,580,25,43,5,307,24,298,1,1,5,30,2,1,83,7,1,1,45,0,4,9,12,17,71,1,2,13,3,1,0,1,8,5272,223,3343
,관내사전투표,2270,2270,66,633,829,252,6,14,2,114,3,163,0,0,2,13,1,1,16,3,0,0,19,0,2,4,4,5,25,1,0,1,2,1,0,0,3,2185,85,0
,용산2가동제1투,2264,952,34,308,307,102,4,10,1,46,8,31,1,0,1,3,0,0,20,1,0,0,7,0,1,1,2,1,15,0,1,6,0,0,0,1,1,913,39,1312
,용산2가동제2투,1488,791,22,304,192,89,5,5,0,50,9,34,0,0,2,6,0,0,12,1,1,0,10,0,0,1,1,6,11,0,0,1,0,0,0,0,1,763,28,697
,용산2가동제3투,1354,744,36,236,234,67,2,8,1,40,1,37,0,1,0,6,1,0,13,2,0,0,6,0,0,1,3,2,11,0,1,3,0,0,0,0,2,714,30,610
,용산2가동제4투,1462,738,23,215,232,70,8,6,1,57,3,33,0,0,0,2,0,0,22,0,0,1,3,0,1,2,2,3,9,0,0,2,1,0,0,0,1,697,41,724
남영동,소계,7102,3963,102,1162,1387,390,32,43,7,243,21,191,1,0,3,39,1,1,67,0,0,2,22,1,0,7,6,8,40,1,1,15,1,0,0,0,3,3797,166,3139
,관내사전투표,1511,1511,27,383,613,155,10,19,1,91,6,94,0,0,2,17,0,0,14,0,0,1,3,0,0,2,3,1,16,0,0,0,1,0,0,0,1,1460,51,0
,남영동제1투,2984,1252,31,381,429,113,9,10,2,77,8,66,0,0,1,15,1,1,22,0,0,0,10,1,0,3,2,1,14,0,0,4,0,0,0,0,0,1201,51,1732
,남영동제2투,2607,1200,44,398,345,122,13,14,4,75,7,31,1,0,0,7,0,0,31,0,0,1,9,0,0,2,1,6,10,1,1,11,0,0,0,0,2,1136,64,1407
청파동,소계,15860,9365,282,2594,3159,958,48,89,12,641,40,496,5,3,2,47,2,2,186,4,3,5,45,1,3,15,18,19,273,3,3,41,7,0,5,1,2,9014,351,6495
,관내사전투표,3051,3051,99,687,1171,348,10,25,1,196,9,230,1,1,0,22,1,0,20,1,1,2,10,1,1,5,4,6,108,1,2,6,1,0,1,0,0,2971,80,0
,청파동제1투,1546,802,17,281,252,79,7,6,1,52,0,25,0,0,1,7,0,0,17,0,1,1,2,0,0,1,2,1,8,0,0,2,0,0,0,0,0,763,39,744
,청파동제2투,2022,1061,38,322,373,86,8,10,2,70,9,30,1,1,0,4,0,0,20,0,0,0,1,0,0,2,1,4,9,0,0,7,1,0,1,0,0,1000,61,961
,청파동제3투,2266,1154,42,322,427,93,3,5,2,77,5,52,1,0,0,6,1,0,30,1,0,1,5,0,1,2,4,0,13,0,1,10,1,0,1,1,1,1108,46,1112
,청파동제4투,2637,1315,34,374,428,124,10,19,3,92,9,64,2,0,0,4,0,1,34,1,0,0,11,0,1,4,4,3,32,1,0,6,4,0,1,0,1,1267,48,1322
,청파동제5투,2060,1091,30,336,269,122,4,17,2,89,7,58,0,1,0,1,0,1,35,1,0,1,11,0,0,1,0,3,51,0,0,7,0,0,0,0,0,1047,44,969
,청파동제6투,2278,891,22,272,239,106,6,7,1,65,1,37,0,0,1,3,0,0,30,0,1,0,5,0,0,0,3,2,52,1,0,3,0,0,1,0,0,858,33,1387
원효로제1동,소계,12948,8794,221,2915,2576,906,41,41,6,816,19,526,3,0,3,39,2,3,130,2,1,4,41,1,2,17,10,15,122,0,4,42,5,1,2,0,7,8523,271,4154
,관내사전투표,3459,3459,75,1025,1222,342,10,13,0,246,1,311,1,0,0,9,1,1,19,2,1,1,14,1,0,5,4,8,51,0,0,7,3,0,0,0,2,3375,84,0
,원효로제1동제1투,2667,1517,44,456,439,177,9,15,2,139,12,48,0,0,1,8,0,0,44,0,0,1,12,0,0,5,5,2,27,0,2,8,0,0,0,0,1,1457,60,1150
,원효로제1동제2투,2392,1348,36,484,338,138,13,7,0,132,4,64,1,0,2,12,0,0,33,0,0,1,3,0,1,4,1,3,13,0,1,7,1,0,2,0,4,1305,43,1044
,원효로제1동제3투,4430,2470,66,950,577,249,9,6,4,299,2,103,1,0,0,10,1,2,34,0,0,1,12,0,1,3,0,2,31,0,1,20,1,1,0,0,0,2386,84,1960
원효로제2동,소계,11211,7613,192,2474,2286,851,52,45,6,621,22,455,6,3,2,29,1,4,143,4,1,4,23,0,2,15,7,9,72,0,4,47,4,1,1,4,3,7393,220,3598
,관내사전투표,2877,2877,63,769,1036,347,19,16,2,210,6,249,2,0,1,6,0,0,33,2,0,1,8,0,0,3,5,1,21,0,0,5,2,0,0,2,1,2810,67,0
,원효로제2동제1투,3486,1935,57,705,513,199,11,9,0,189,7,85,0,0,0,5,0,1,38,2,1,1,6,0,0,4,1,4,16,0,1,17,0,0,0,1,1,1874,61,1551
,원효로제2동제2투,2427,1419,31,535,354,140,12,7,2,128,2,69,2,1,0,12,1,1,38,0,0,0,2,0,1,5,1,2,19,0,0,8,1,0,0,1,0,1375,44,1008
,원효로제2동제3투,2421,1382,41,465,383,165,10,13,2,94,7,52,2,2,1,6,0,2,34,0,0,2,7,0,1,3,0,2,16,0,3,17,1,1,1,0,1,1334,48,1039
효창동,소계,8405,5976,132,1903,1804,674,30,52,4,497,25,347,4,0,1,27,1,1,116,1,2,2,27,10,3,9,11,6,85,1,2,21,3,2,1,2,4,5810,166,2429
,관내사전투표,2641,2641,55,714,992,288,5,17,1,187,9,204,1,0,0,11,0,0,26,1,0,2,17,1,1,3,1,1,38,0,0,4,0,0,0,1,1,2581,60,0
,효창동제1투,2614,1455,33,469,352,206,7,17,0,146,9,63,1,0,1,4,1,0,31,0,1,0,6,0,1,2,5,2,29,0,1,12,3,0,0,0,2,1404,51,1159
,효창동제2투,1966,1211,32,457,296,115,10,11,2,113,2,47,1,0,0,8,0,1,36,0,1,0,0,9,1,3,5,2,14,1,1,1,0,1,1,0,1,1172,39,755
,효창동제3투,1184,669,12,263,164,65,8,7,1,51,5,33,1,0,0,4,0,0,23,0,0,0,4,0,0,1,0,1,4,0,0,4,0,1,0,1,0,653,16,515
용문동,소계,10302,7043,189,2143,2229,796,41,49,8,586,34,385,1,0,4,32,5,2,105,7,2,4,28,0,1,8,11,9,72,1,3,22,0,3,2,1,8,6791,252,3259
,관내사전투표,3006,3005,71,787,1136,344,12,20,4,212,11,215,0,0,1,12,2,1,23,1,0,1,12,0,0,3,4,1,22,1,0,3,0,0,2,1,1,2903,102,1
,용문동제1투,2743,1270,45,376,399,140,10,8,3,76,7,59,1,0,0,7,1,1,31,6,2,1,4,0,0,0,4,3,18,0,1,9,0,2,0,0,4,1218,52,1473
,용문동제2투,2175,1147,33,362,308,147,11,11,1,101,9,45,0,0,1,7,0,0,26,0,0,0,9,0,0,2,2,3,11,0,1,4,0,1,0,0,0,1095,52,1028
,용문동제3투,2378,1621,40,618,386,165,8,10,0,197,7,66,0,0,2,6,2,0,25,0,0,2,3,0,1,3,1,2,21,0,1,6,0,0,0,0,3,1575,46,757
한강로동,소계,14585,9398,179,4158,2076,729,52,33,5,922,32,446,4,0,3,53,2,2,209,2,1,2,38,0,1,7,9,18,87,0,2,47,6,1,5,2,5,9138,260,5187
,관내사전투표,2506,2506,58,892,771,217,8,14,1,224,6,155,0,0,0,17,0,1,19,0,0,0,12,0,0,1,1,4,23,0,1,7,2,0,1,0,1,2436,70,0
,한강로동제1투,2559,1670,29,724,356,140,12,7,1,153,4,88,1,0,0,5,1,0,32,0,0,1,9,0,1,1,5,2,28,0,1,13,0,0,0,0,0,1614,56,889
,한강로동제2투,2238,856,13,416,169,65,2,1,2,76,0,29,0,0,1,5,0,0,30,0,0,0,1,0,0,0,0,2,8,0,0,6,1,1,0,1,1,830,26,1382
,한강로동제3투,1688,1010,19,400,243,103,4,6,0,114,5,47,1,0,0,7,0,0,21,0,0,1,4,0,0,2,1,4,6,0,0,1,1,0,0,0,1,991,19,678
,한강로동제4투,3700,2391,29,1343,321,143,12,2,1,249,12,77,1,0,0,11,1,0,82,0,0,0,9,0,0,1,2,2,16,0,0,14,2,0,3,0,0,2333,58,1309
,한강로동제5투,1894,965,31,383,216,61,14,3,0,106,5,50,1,0,2,8,0,1,25,2,1,0,3,0,0,2,0,4,6,0,0,6,0,0,1,1,2,934,31,929
이촌제1동,소계,22197,15903,232,8245,2641,1144,67,43,11,1570,34,756,4,2,8,48,1,2,376,1,2,7,55,1,0,23,9,28,120,2,2,108,3,1,2,1,7,15556,347,6294
,관내사전투표,5964,5964,87,2746,1365,479,25,9,3,528,5,444,2,0,1,13,1,0,63,1,0,3,22,0,0,3,4,8,40,1,0,16,0,0,0,0,2,5871,93,0
,이촌제1동제1투,3403,2074,32,1298,216,108,8,6,1,191,5,43,0,0,1,7,0,0,58,0,0,2,4,0,0,3,0,6,17,0,1,14,0,0,0,0,0,2021,53,1329
,이촌제1동제2투,4417,2293,36,1129,328,186,10,14,1,285,7,76,0,1,0,9,0,0,71,0,0,0,8,1,0,7,0,3,23,1,0,19,0,1,1,1,3,2221,72,2124
,이촌제1동제3투,2874,1955,27,1163,204,117,11,3,3,206,4,61,2,1,4,5,0,2,65,0,1,1,6,0,0,3,3,4,15,0,1,10,1,0,0,0,0,1923,32,919
,이촌제1동제4투,3197,2152,38,1003,391,167,8,9,2,239,8,89,0,0,2,10,0,0,57,0,1,1,10,0,0,4,2,6,17,0,0,29,2,0,1,0,0,2096,56,1045
,이촌제1동제5투,2342,1465,12,906,137,87,5,2,1,121,5,43,0,0,0,4,0,0,62,0,0,0,5,0,0,3,0,1,8,0,0,20,0,0,0,0,2,1424,41,877
이촌제2동,소계,7305,5128,139,1916,1375,450,41,22,6,403,16,314,1,1,1,31,1,2,134,1,3,1,15,0,2,10,2,12,35,0,1,25,2,0,5,0,2,4969,159,2177
,관내사전투표,1888,1888,50,611,627,155,11,7,3,132,5,167,0,0,0,11,0,0,33,1,1,0,6,0,0,2,0,2,12,0,0,2,0,0,1,0,0,1839,49,0
,이촌제2동제1투,1787,916,25,352,193,96,11,4,0,70,5,46,0,0,1,10,0,2,38,0,1,0,3,0,0,2,2,3,9,0,0,8,1,0,2,0,1,885,31,871
