읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,417548,274830,6543,74540,98197,29009,1666,1512,290,19378,1056,16608,210,77,84,1621,101,99,5171,112,72,225,803,29,115,397,577,558,2910,44,153,1047,170,47,126,142,178,263867,10963,142718
거소·선상투표,,1167,1070,79,218,252,88,19,12,9,62,28,44,6,3,4,13,3,1,10,0,4,3,3,2,3,3,6,3,3,2,4,4,1,1,1,1,4,899,171,97
관외사전투표,,28919,28917,722,6045,11109,3513,95,205,34,2002,74,2333,68,12,8,230,5,8,273,21,13,40,133,2,20,42,66,89,343,3,35,64,29,9,14,32,31,27722,1195,2
재외투표,,2418,576,12,115,201,66,2,0,0,35,1,99,0,0,0,4,0,0,9,1,0,1,2,0,0,0,2,2,8,0,0,2,0,0,1,0,0,563,13,1842
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
녹번동,소계,30051,18736,466,5481,6567,1748,131,83,13,1408,72,1123,9,5,3,93,4,1,344,10,4,11,46,2,5,24,42,29,159,2,11,84,14,1,10,11,4,18020,716,11315
,관내사전투표,6005,6005,150,1467,2499,524,27,28,2,383,17,513,1,3,1,22,2,0,43,4,0,4,12,2,0,6,13,9,44,2,3,7,7,1,3,1,1,5801,204,0
,녹번동제1투,3398,1510,38,459,501,111,17,5,1,97,12,88,1,1,1,14,0,0,49,1,0,2,8,0,1,4,2,3,13,0,2,10,0,0,2,1,1,1445,65,1888
,녹번동제2투,3441,2098,53,707,554,237,10,6,0,242,6,105,0,0,0,12,1,0,27,0,0,1,3,0,2,1,5,7,22,0,2,25,2,0,1,2,0,2033,65,1343
,녹번동제3투,3303,1580,42,406,562,174,18,7,2,121,7,70,0,0,0,6,0,0,46,2,1,0,2,0,1,4,4,1,9,0,0,6,0,0,0,1,0,1492,88,1723
,녹번동제4투,3004,1492,30,502,464,135,9,8,2,91,7,68,2,0,1,11,0,1,47,1,0,2,3,0,0,1,2,1,22,0,0,7,3,0,0,1,1,1422,70,1512
,녹번동제5투,4058,2502,55,791,805,241,20,8,1,255,4,140,0,0,0,8,0,0,43,0,0,2,9,0,0,3,4,2,22,0,0,10,0,0,2,2,1,2428,74,1556
,녹번동제6투,3349,1690,51,597,536,125,17,12,2,92,11,68,3,1,0,6,0,0,42,0,1,0,7,0,0,3,8,2,12,0,3,5,1,0,1,2,0,1608,82,1659
,녹번동제7투,3493,1859,47,552,646,201,13,9,3,127,8,71,2,0,0,14,1,0,47,2,2,0,2,0,1,2,4,4,15,0,1,14,1,0,1,1,0,1791,68,1634
응암제1동,소계,20194,12645,325,3324,4759,1206,93,78,16,897,45,706,13,5,3,85,2,4,218,3,2,6,28,0,9,16,31,27,136,1,3,54,9,2,8,5,12,12131,514,7549
,관내사전투표,4912,4912,112,1145,2151,459,17,29,5,268,17,351,4,4,1,30,1,1,54,1,1,2,9,0,3,4,10,9,50,0,0,9,2,0,2,0,5,4756,156,0
,응암제1동제1투,3308,1513,40,450,498,153,14,7,2,115,7,68,4,0,0,17,0,1,27,1,0,0,5,0,2,2,4,4,9,0,0,11,1,0,2,0,0,1444,69,1795
,응암제1동제2투,1276,600,15,182,177,56,5,8,2,58,3,27,1,0,0,6,0,0,18,0,0,0,1,0,1,1,1,2,4,0,0,0,0,1,0,1,0,570,30,676
,응암제1동제3투,2901,1573,51,444,516,147,22,10,1,119,3,65,1,1,0,12,1,0,38,0,1,2,3,0,3,3,4,5,18,0,1,11,1,0,1,1,1,1486,87,1328
,응암제1동제4투,3558,1866,59,525,649,174,23,10,4,169,8,78,1,0,2,10,0,1,40,1,0,1,4,0,0,3,7,3,21,1,0,5,2,0,0,1,2,1804,62,1692
,응암제1동제5투,4239,2181,48,578,768,217,12,14,2,168,7,117,2,0,0,10,0,1,41,0,0,1,6,0,0,3,5,4,34,0,2,18,3,1,3,2,4,2071,110,2058
응암제2동,소계,18921,12450,300,3284,4561,1289,64,57,9,1007,45,791,6,9,3,77,2,2,184,6,6,9,27,1,1,18,19,29,109,4,4,53,15,0,5,2,4,12002,448,6471
,관내사전투표,4303,4302,86,956,1843,450,14,25,1,283,11,379,2,5,1,13,0,0,25,3,2,3,10,0,0,3,5,9,34,3,0,16,4,0,2,1,3,4192,110,1
,응암제2동제1투,2636,1191,35,349,350,153,0,5,1,104,4,68,2,0,0,11,1,0,27,1,0,1,1,0,0,4,2,3,11,0,2,8,3,0,0,1,0,1147,44,1445
,응암제2동제2투,2717,1558,55,443,533,138,11,3,3,125,5,72,0,0,0,18,0,2,25,1,1,1,2,0,1,1,4,7,19,1,0,7,2,0,1,0,0,1481,77,1159
,응암제2동제3투,2953,1753,40,472,599,212,10,7,1,164,4,93,2,1,0,10,0,0,29,1,1,2,2,0,0,5,3,3,14,0,0,4,4,0,0,0,0,1683,70,1200
,응암제2동제4투,3143,1990,27,526,667,212,10,6,0,248,11,137,0,2,0,11,0,0,37,0,1,2,5,0,0,2,1,2,16,0,1,7,0,0,0,0,0,1931,59,1153
,응암제2동제5투,3169,1656,57,538,569,124,19,11,3,83,10,42,0,1,2,14,1,0,41,0,1,0,7,1,0,3,4,5,15,0,1,11,2,0,2,0,1,1568,88,1513
응암제3동,소계,22619,13845,421,3606,5212,1213,107,100,19,815,79,769,13,3,5,93,4,6,263,6,3,15,27,5,6,25,36,46,131,2,8,37,9,2,5,11,9,13111,734,8774
,관내사전투표,5710,5710,157,1276,2452,502,45,44,3,271,26,454,4,0,1,23,2,0,54,4,2,6,10,3,2,10,14,11,49,0,0,4,4,1,0,3,2,5439,271,0
,응암제3동제1투,3288,1418,53,395,473,136,15,8,3,91,4,66,2,1,0,15,0,2,26,0,0,2,2,1,1,3,5,5,16,0,2,4,0,0,1,0,4,1336,82,1870
,응암제3동제2투,3008,1411,40,421,454,116,14,13,3,114,13,48,0,0,1,12,0,0,53,0,0,2,3,0,0,3,1,6,14,0,0,5,2,0,1,0,0,1339,72,1597
,응암제3동제3투,3229,1537,40,423,560,143,9,11,3,102,10,63,2,0,2,15,0,2,34,1,0,1,2,1,0,3,5,6,15,1,0,2,0,0,0,2,0,1458,79,1692
,응암제3동제4투,2147,972,34,311,312,91,5,5,3,45,10,31,1,0,0,6,0,1,30,1,0,0,1,0,0,2,4,4,8,1,2,4,0,0,1,3,0,916,56,1175
,응암제3동제5투,2467,1374,47,392,448,129,6,9,2,121,8,53,1,2,1,11,2,1,33,0,1,0,1,0,0,1,2,6,9,0,2,10,0,0,2,1,1,1302,72,1093
,응암제3동제6투,2770,1423,50,388,513,96,13,10,2,71,8,54,3,0,0,11,0,0,33,0,0,4,8,0,3,3,5,8,20,0,2,8,3,1,0,2,2,1321,102,1347
증산동,소계,13032,8735,200,2585,3001,856,77,61,5,608,40,523,2,0,0,48,1,4,190,4,2,5,28,1,4,7,18,13,96,3,3,35,5,4,2,6,9,8446,289,4297
,관내사전투표,3821,3821,68,990,1537,362,23,23,1,246,21,308,1,0,0,20,1,2,34,2,1,3,13,0,0,1,9,4,40,2,1,5,0,1,1,2,6,3728,93,0
