읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,263388,180395,4071,44642,63761,21423,776,1187,191,16097,630,12780,185,39,43,1311,48,95,3179,53,31,110,280,18,70,469,356,306,1146,32,69,623,88,136,74,89,126,174534,5861,82993
거소·선상투표,,436,419,26,91,129,33,8,1,4,29,4,12,3,0,0,8,1,1,6,0,0,1,0,0,1,3,1,3,0,0,0,2,0,2,0,1,0,370,49,17
관외사전투표,,24254,24235,660,5390,8869,2986,75,150,26,1972,53,2022,46,8,1,208,8,9,215,14,4,23,53,3,6,64,45,70,228,7,15,59,24,51,7,22,23,23416,819,19
재외투표,,1064,214,4,42,67,29,0,0,0,18,0,41,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,208,6,850
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조치원읍,소계,32806,18380,496,5953,5913,1549,127,166,19,1166,121,838,22,7,3,163,9,12,423,6,6,8,26,4,13,77,45,37,96,7,12,82,17,12,13,15,18,17481,899,14426
,관내사전투표,4542,4542,109,1247,1788,411,18,35,5,256,25,301,3,0,0,42,2,3,41,2,1,1,8,2,1,9,10,7,36,1,4,3,9,3,4,4,5,4396,146,0
,조치원읍제1투,2292,1031,18,414,259,53,17,10,1,59,10,35,2,0,1,9,2,0,37,0,0,0,4,0,2,9,3,2,3,1,0,2,2,0,1,0,1,957,74,1261
,조치원읍제2투,1629,757,20,324,187,43,7,9,1,51,5,20,1,1,0,6,1,1,20,0,0,0,0,0,0,4,2,3,1,0,0,1,0,0,1,0,1,710,47,872
,조치원읍제3투,2426,1107,36,462,275,75,17,10,2,57,7,25,1,2,0,8,0,1,27,0,0,2,0,0,1,1,2,2,3,1,0,7,0,1,1,3,0,1029,78,1319
,조치원읍제4투,3869,1768,62,589,531,134,6,32,2,126,11,57,2,3,0,18,0,0,36,1,0,1,2,0,2,11,5,2,12,0,2,8,0,3,2,0,0,1660,108,2101
,조치원읍제5투,2603,1440,35,442,445,133,5,11,1,123,3,75,1,0,0,14,0,0,34,0,0,1,2,1,0,5,0,5,11,0,0,11,0,1,0,0,2,1361,79,1163
,조치원읍제6투,875,362,10,134,88,32,2,2,0,16,2,18,1,1,0,2,1,1,18,0,0,0,0,0,1,5,0,0,0,0,1,2,0,1,1,0,0,339,23,513
,조치원읍제7투,1919,813,19,259,253,68,3,11,1,50,10,30,2,0,1,6,0,0,22,0,1,0,4,0,1,1,3,4,6,0,1,3,0,0,0,2,0,761,52,1106
,조치원읍제8투,2530,1219,36,422,369,102,11,5,1,65,14,45,0,0,0,10,1,0,31,1,2,1,1,0,2,7,3,3,3,1,2,10,2,0,1,2,2,1155,64,1311
,조치원읍제9투,2680,1473,52,396,511,143,9,6,1,86,11,69,4,0,0,9,1,1,58,2,0,1,2,0,2,6,6,2,6,3,0,10,0,1,0,0,1,1399,74,1207
,조치원읍제10투,2087,995,33,336,299,92,14,9,0,45,6,29,2,0,0,9,1,1,22,0,0,0,0,1,0,5,6,2,7,0,0,5,2,0,0,3,3,932,63,1092
,조치원읍제11투,2902,1382,32,499,405,115,11,19,3,96,13,45,2,0,0,11,0,3,48,0,1,1,2,0,1,7,3,4,1,0,2,8,1,2,1,0,2,1338,44,1520
,조치원읍제12투,2452,1491,34,429,503,148,7,7,1,136,4,89,1,0,1,19,0,1,29,0,1,0,1,0,0,7,2,1,7,0,0,12,1,0,1,1,1,1444,47,961
연기면,소계,2776,1782,67,566,564,139,17,18,5,96,16,108,2,1,2,10,0,0,26,0,1,3,5,1,1,3,8,3,8,1,1,6,2,3,0,2,1,1686,96,994
,관내사전투표,1082,1082,40,322,369,93,8,10,3,59,9,77,1,1,2,7,0,0,9,0,0,3,3,1,1,1,3,3,4,0,1,2,2,2,0,1,1,1038,44,0
,연기면투표소,1694,700,27,244,195,46,9,8,2,37,7,31,1,0,0,3,0,0,17,0,1,0,2,0,0,2,5,0,4,1,0,4,0,1,0,1,0,648,52,994
연동면,소계,2796,1682,43,685,475,111,16,14,3,68,24,49,2,1,2,19,0,3,46,1,1,0,0,0,0,4,2,1,2,1,1,3,0,4,2,2,1,1586,96,1114
