읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,274935,189541,4230,78539,47426,16102,1302,2226,266,12470,847,8267,244,44,66,1947,59,100,2604,90,70,621,481,32,99,697,427,660,1148,32,139,636,131,18,93,106,131,182350,7191,85394
거소·선상투표,,484,461,25,162,97,29,0,2,6,34,2,7,6,0,0,17,0,0,3,0,0,2,6,0,1,16,1,3,1,0,1,1,2,0,0,0,1,425,36,23
관외사전투표,,17149,17144,582,5537,4751,1567,76,208,39,1162,53,996,60,9,9,266,7,18,120,21,14,62,69,6,18,78,47,112,150,6,40,39,26,1,13,24,23,16209,935,5
재외투표,,758,147,2,43,49,15,0,2,0,9,0,14,1,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,143,4,611
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신정1동,소계,16448,10539,226,5520,2141,614,86,86,12,535,48,370,17,1,5,99,4,4,176,2,6,31,21,3,6,26,17,23,39,1,3,29,7,2,9,6,9,10184,355,5909
,관내사전투표,3464,3464,70,1643,869,232,23,32,5,163,15,174,4,0,1,23,0,2,28,1,1,9,12,0,3,6,5,7,15,1,1,7,2,1,3,2,1,3361,103,0
,신정1동제1투,3380,1592,26,950,241,76,14,13,3,57,9,39,1,0,0,24,2,0,29,1,2,7,1,0,1,7,3,3,3,0,0,5,2,0,2,3,1,1525,67,1788
,신정1동제2투,3214,1578,51,841,305,73,17,20,1,77,7,41,3,0,2,18,1,1,33,0,1,3,1,1,1,3,6,6,8,0,1,9,1,1,1,0,0,1534,44,1636
