읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,173657,118342,2757,35886,33596,17988,706,3030,169,7061,481,5261,210,37,36,1140,51,59,1858,52,49,792,273,17,101,394,275,399,696,21,102,343,86,13,64,83,80,114166,4176,55315
거소·선상투표,,263,253,12,73,63,27,3,7,2,13,3,6,2,0,0,5,0,0,4,0,1,0,0,0,1,3,0,3,0,0,2,1,1,0,1,0,2,235,18,10
관외사전투표,,8839,8836,316,2355,2587,1141,27,200,23,554,20,418,55,9,3,111,7,9,70,9,6,59,32,3,10,31,23,62,82,6,22,33,18,2,8,13,19,8343,493,3
재외투표,,342,67,4,11,24,8,0,1,0,2,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,67,0,275
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
농소1동,소계,27206,17559,424,5774,4724,2366,149,472,26,1054,86,716,27,5,7,180,6,13,290,11,12,100,45,2,18,54,48,77,104,0,11,64,7,0,14,11,7,16904,655,9647
,관내사전투표,3671,3670,74,1085,1156,508,31,116,3,157,22,227,3,0,4,31,0,0,30,1,3,20,8,1,2,11,7,16,24,0,1,7,1,0,2,1,1,3553,117,1
,농소1동제1투,2466,1352,32,534,276,176,17,28,2,65,9,44,2,0,0,18,0,1,33,4,2,5,5,0,1,7,5,7,7,0,0,4,0,0,1,3,0,1288,64,1114
,농소1동제2투,1908,1013,24,474,163,70,12,21,2,45,12,19,2,1,0,13,0,1,39,0,2,6,2,0,1,5,4,5,7,0,0,7,0,0,6,1,1,945,68,895
,농소1동제3투,3640,2210,64,797,553,267,21,76,3,119,8,62,6,2,0,21,0,1,47,0,3,21,7,1,4,5,8,9,18,0,0,9,0,0,3,0,3,2138,72,1430
,농소1동제4투,1453,793,19,318,167,95,10,14,1,37,9,25,2,0,0,5,0,3,12,2,1,6,1,0,0,2,6,5,7,0,1,3,0,0,0,2,0,753,40,660
,농소1동제5투,1366,800,27,283,198,90,6,22,6,57,6,24,4,0,0,6,0,0,18,0,0,2,1,0,2,2,0,8,1,0,2,3,1,0,0,1,1,771,29,566
,농소1동제6투,3157,2031,53,630,579,319,14,51,3,148,2,75,1,1,0,13,2,0,26,1,1,13,3,0,0,6,6,6,13,0,0,6,1,0,0,0,0,1973,58,1126
,농소1동제7투,2179,1510,32,445,432,252,7,31,2,112,1,62,1,0,3,24,2,2,18,0,0,8,6,0,0,3,3,3,6,0,1,7,0,0,0,0,0,1463,47,669
,농소1동제8투,3008,1489,41,553,345,144,17,37,3,72,15,53,2,1,0,29,2,2,40,1,0,7,4,0,5,1,1,9,10,0,5,8,3,0,1,1,1,1413,76,1519
,농소1동제9투,4358,2691,58,655,855,445,14,76,1,242,2,125,4,0,0,20,0,3,27,2,0,12,8,0,3,12,8,9,11,0,1,10,1,0,1,2,0,2607,84,1667
농소2동,소계,30542,20366,461,6220,6172,2901,100,417,28,1233,79,908,33,6,5,204,9,10,315,7,8,122,45,4,19,70,42,60,118,2,16,52,15,2,5,11,12,19711,655,10176
,관내사전투표,5993,5993,132,1542,2093,948,16,150,5,331,20,393,5,1,2,31,0,2,41,2,2,33,13,0,4,9,9,18,36,0,2,5,2,0,1,5,3,5856,137,0
,농소2동제1투,2254,1145,24,384,291,172,3,20,1,72,12,32,2,0,0,8,2,1,28,0,2,10,1,2,0,5,4,1,6,0,2,5,2,0,1,1,0,1094,51,1109
,농소2동제2투,1674,873,15,361,194,90,14,19,3,47,5,32,1,1,0,14,1,0,7,0,1,2,0,0,3,8,0,2,2,0,0,5,2,0,0,0,0,829,44,801
,농소2동제3투,1879,1087,25,453,260,89,12,21,3,42,9,23,3,0,0,18,0,1,30,0,0,7,1,1,2,7,1,6,5,0,1,0,1,1,1,1,1,1025,62,792
,농소2동제4투,2276,1290,26,533,297,113,18,19,6,38,10,46,2,2,0,23,2,1,33,1,2,15,2,0,3,9,2,6,7,0,4,5,1,0,0,1,1,1228,62,986
,농소2동제5투,2287,1252,31,442,343,161,7,27,3,63,8,41,2,0,0,10,2,0,23,1,0,7,2,1,0,6,3,6,5,1,1,6,0,1,0,0,0,1203,49,1035
,농소2동제6투,4070,2427,58,775,704,368,9,37,3,163,4,89,4,1,1,22,1,1,38,1,0,15,5,0,2,5,8,5,15,0,2,11,6,0,2,3,1,2359,68,1643
,농소2동제7투,3405,2204,47,682,593,379,6,37,0,150,2,95,5,0,1,32,0,2,45,0,1,12,9,0,3,7,5,4,19,0,2,9,1,0,0,0,0,2148,56,1201
,농소2동제8투,4025,2348,52,584,849,326,5,55,4,194,3,94,5,1,0,22,0,1,43,0,0,8,4,0,0,5,7,5,11,1,0,2,0,0,0,0,3,2284,64,1677
,농소2동제9투,2679,1747,51,464,548,255,10,32,0,133,6,63,4,0,1,24,1,1,27,2,0,13,8,0,2,9,3,7,12,0,2,4,0,0,0,0,3,1685,62,932
농소3동,소계,28207,18989,438,5588,5777,2948,115,444,21,1105,55,904,24,6,5,125,4,8,335,5,1,98,38,2,11,56,34,47,132,2,15,61,10,2,6,17,11,18450,539,9218
,관내사전투표,5771,5771,108,1398,2095,994,18,168,6,282,9,400,5,1,2,22,0,0,41,0,0,31,9,0,5,5,4,10,35,0,5,8,4,0,1,2,2,5670,101,0
,농소3동제1투,2786,1543,28,559,399,185,22,32,1,85,8,70,3,2,0,12,0,0,38,0,0,5,4,1,3,6,3,3,6,0,4,2,0,0,0,2,1,1484,59,1243
,농소3동제2투,3917,2174,69,676,592,308,16,39,0,136,6,77,5,0,0,25,0,1,62,2,0,16,5,1,2,8,3,9,22,0,1,6,0,0,1,1,3,2092,82,1743
