읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,186251,127291,2362,52405,32213,10665,942,1586,227,7549,720,5522,212,40,45,1299,61,94,1950,70,43,387,315,27,89,396,312,481,757,28,106,439,112,21,85,122,108,121790,5501,58960
거소·선상투표,,449,422,22,122,88,28,2,7,1,41,2,5,6,1,0,13,0,0,6,0,0,4,3,1,1,4,3,1,2,0,0,1,2,0,0,2,0,368,54,27
관외사전투표,,11707,11705,274,3899,3271,1106,58,152,33,789,41,644,54,6,8,138,6,12,107,11,6,42,54,1,20,31,36,81,119,4,29,24,23,0,8,16,12,11115,590,2
재외투표,,561,111,3,32,32,7,1,0,0,5,1,13,0,0,0,0,0,0,1,0,0,1,1,0,0,2,1,0,3,1,0,1,1,0,0,1,0,107,4,450
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
온산읍,소계,17015,9748,184,4116,2538,746,92,111,16,478,77,356,16,4,4,124,3,7,97,5,3,33,16,5,10,38,36,36,46,0,5,46,8,0,11,12,5,9284,464,7267
,관내사전투표,3017,3017,42,1120,980,283,14,32,2,125,22,169,4,0,0,22,0,0,22,3,0,15,3,0,3,9,3,9,19,0,1,7,2,0,1,2,3,2917,100,0
,온산읍제1투,2123,782,19,423,137,42,10,8,0,28,13,19,2,0,1,19,1,1,7,0,0,4,2,0,2,1,2,1,2,0,0,3,0,0,3,1,0,751,31,1341
,온산읍제2투,2037,1069,22,391,308,95,5,17,1,74,4,32,2,0,2,15,1,0,8,0,0,4,2,1,1,5,5,3,6,0,1,7,2,0,1,2,1,1018,51,968
,온산읍제3투,2201,1008,21,494,212,42,20,21,2,50,7,22,0,0,1,12,0,0,12,0,1,2,0,3,0,6,5,3,4,0,0,6,0,0,0,3,0,949,59,1193
