읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,447941,281307,6123,83048,94056,32727,1619,1769,392,17915,1294,13603,344,60,103,2121,122,143,5871,116,143,283,605,40,187,824,744,668,2182,61,205,952,154,51,152,163,168,269008,12299,166634
거소·선상투표,,910,863,35,210,234,84,7,10,8,73,8,24,5,3,2,24,2,1,9,2,2,2,1,1,1,12,4,6,2,2,1,2,0,1,1,1,1,781,82,47
관외사전투표,,25639,25629,665,6257,8990,3248,108,166,59,1593,82,1649,101,11,19,257,6,14,253,23,17,41,73,2,31,82,70,103,233,10,41,68,35,7,9,22,27,24372,1257,10
재외투표,,1328,346,5,60,122,39,1,0,0,19,0,61,0,0,1,3,0,0,9,1,1,0,3,0,0,2,3,0,7,0,0,1,0,0,1,0,0,339,7,982
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구월1동,소계,25217,16234,349,4656,5562,1781,79,93,16,1178,64,789,14,1,2,130,10,12,367,5,3,14,41,2,5,51,41,39,134,4,10,55,8,5,8,9,9,15546,688,8983
,관내사전투표,5630,5630,116,1449,2219,623,15,26,5,364,16,386,5,1,0,23,3,2,57,2,0,6,13,0,1,11,14,11,47,2,3,13,2,2,3,2,2,5444,186,0
,구월1동제1투,3068,1410,39,428,449,134,16,5,2,79,10,47,1,0,1,21,0,0,63,1,0,3,10,0,1,5,4,2,12,1,2,3,0,1,1,0,1,1342,68,1658
,구월1동제2투,2543,1255,23,384,425,107,11,10,1,61,5,31,1,0,1,13,1,1,64,0,1,2,3,0,1,5,4,5,6,0,1,11,1,0,0,2,1,1182,73,1288
,구월1동제3투,2541,1403,27,507,385,146,14,7,2,98,10,33,0,0,0,15,3,2,47,0,1,0,1,0,1,4,0,3,16,0,0,8,1,1,3,1,0,1336,67,1138
,구월1동제4투,2689,1302,23,407,388,136,11,11,2,95,10,43,1,0,0,14,1,3,41,0,0,0,3,1,0,5,2,3,13,0,1,6,1,0,1,1,1,1224,78,1387
,구월1동제5투,3550,1855,44,570,570,186,1,10,3,200,4,84,1,0,0,16,1,0,34,1,1,0,1,0,1,7,5,5,18,1,0,3,1,0,0,2,0,1770,85,1695
,구월1동제6투,2328,1478,33,374,496,234,5,10,1,120,4,67,3,0,0,12,0,3,29,0,0,2,5,0,0,7,8,4,6,0,1,4,1,0,0,0,1,1430,48,850
,구월1동제7투,2868,1901,44,537,630,215,6,14,0,161,5,98,2,0,0,16,1,1,32,1,0,1,5,1,0,7,4,6,16,0,2,7,1,1,0,1,3,1818,83,967
구월2동,소계,27301,18217,318,5585,6089,2268,72,100,22,1300,77,893,11,4,4,76,8,6,410,8,0,13,41,5,6,36,40,22,132,1,15,70,4,3,5,5,9,17658,559,9084
,관내사전투표,5884,5884,85,1635,2286,691,13,35,6,342,14,450,4,1,1,13,1,0,59,5,0,1,12,2,1,7,7,3,61,0,1,9,0,0,2,1,3,5751,133,0
,구월2동제1투,2656,1483,31,446,489,186,7,6,3,116,6,64,0,1,0,10,0,0,36,0,0,0,4,0,0,4,5,4,10,0,1,6,0,0,0,1,0,1436,47,1173
,구월2동제2투,3344,2039,36,618,656,298,5,9,1,181,7,82,0,0,0,7,1,0,31,1,0,1,2,0,0,3,4,3,10,0,2,5,1,0,1,0,0,1965,74,1305
,구월2동제3투,3028,1772,26,591,510,245,7,10,0,165,5,57,2,1,1,8,2,1,34,0,0,2,7,0,2,2,6,3,12,0,3,9,0,1,0,1,1,1714,58,1256
,구월2동제4투,2945,1855,33,589,591,238,12,11,3,150,7,70,3,0,0,8,0,1,39,1,0,2,3,2,2,2,5,1,9,0,2,6,0,0,1,0,3,1794,61,1090
,구월2동제5투,3224,1978,30,623,641,275,6,7,2,171,6,63,0,0,1,9,1,1,37,0,0,1,7,1,0,5,7,2,17,0,0,8,1,1,0,0,0,1923,55,1246
,구월2동제6투,3979,2065,50,711,593,189,16,11,3,115,22,76,1,1,0,13,1,1,120,0,0,6,4,0,1,9,5,5,5,1,3,21,1,1,0,2,2,1989,76,1914
,구월2동제7투,2241,1141,27,372,323,146,6,11,4,60,10,31,1,0,1,8,2,2,54,1,0,0,2,0,0,4,1,1,8,0,3,6,1,0,1,0,0,1086,55,1100
구월3동,소계,23579,11027,236,3202,3660,1103,73,61,17,737,50,471,11,4,4,141,4,5,228,7,3,11,51,2,6,33,43,28,136,3,12,48,5,1,6,3,7,10412,615,12552
,관내사전투표,2816,2815,56,710,1123,281,15,17,3,164,12,181,2,1,1,27,1,1,28,3,1,1,7,0,1,2,10,5,26,2,2,6,2,0,0,1,1,2693,122,1
,구월3동제1투,2236,882,11,306,237,98,10,3,3,57,5,29,0,1,0,13,0,1,22,0,1,1,3,0,0,3,5,3,9,0,2,7,0,0,0,0,1,831,51,1354
,구월3동제2투,3405,1477,33,447,432,150,10,13,1,104,8,46,1,1,0,25,0,0,50,2,0,1,8,0,1,7,7,4,17,0,3,9,0,0,3,0,1,1384,93,1928
,구월3동제3투,3469,1645,24,651,460,108,13,7,3,96,8,51,4,0,1,15,2,1,57,2,1,3,6,0,2,5,3,4,15,0,1,10,1,1,2,1,2,1560,85,1824
,구월3동제4투,4835,1659,41,362,582,188,5,11,2,151,6,72,2,0,2,23,0,1,27,0,0,3,13,0,1,8,8,5,30,0,1,9,0,0,0,1,1,1555,104,3176
