읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,353732,211536,4581,66729,66595,22990,1487,2240,404,11844,1297,9683,285,73,101,1661,118,145,4231,93,78,237,250,41,189,690,671,761,1613,66,198,764,148,58,163,164,144,200792,10744,142196
거소·선상투표,,620,577,25,124,146,62,5,3,1,44,4,10,6,2,0,19,2,1,5,1,3,2,1,2,4,11,0,2,0,1,3,2,4,0,0,1,3,499,78,43
관외사전투표,,19200,19196,443,4784,6430,2539,76,161,40,1089,54,1265,62,13,14,230,7,17,187,14,10,29,53,5,24,78,79,81,190,6,35,54,34,7,12,27,20,18169,1027,4
재외투표,,1029,241,9,46,88,29,0,0,0,12,1,37,1,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,3,0,0,0,1,0,238,3,788
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
숭의1·3동,소계,11367,5823,134,1799,1808,605,55,102,13,329,41,226,7,5,5,60,4,2,124,3,3,11,7,2,6,19,22,25,56,1,9,31,3,1,5,3,7,5533,290,5544
,관내사전투표,2073,2073,42,638,723,216,20,30,5,86,12,98,0,2,0,13,0,1,31,0,2,3,1,2,3,3,7,12,18,0,2,7,0,0,2,1,0,1980,93,0
,숭의1·3동제1투,3347,1265,30,386,399,125,16,22,2,72,10,50,3,3,1,14,2,0,18,0,0,1,0,0,1,5,7,2,16,1,2,12,1,0,0,0,2,1203,62,2082
,숭의1·3동제2투,2859,1282,39,452,336,129,10,25,5,74,8,35,2,0,2,22,0,0,35,0,0,4,4,0,1,3,4,3,11,0,0,4,0,1,2,1,3,1215,67,1577
