읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,447354,281798,6657,79066,98760,29269,1418,1784,363,18824,1064,15395,383,72,103,1920,114,140,5608,135,102,288,606,40,183,932,837,799,2385,58,207,1020,175,48,148,156,169,269228,12570,165556
거소·선상투표,,921,865,29,252,223,57,8,8,6,73,12,25,11,1,2,30,1,0,12,1,2,1,4,0,0,3,3,8,0,1,2,1,2,1,0,1,2,782,83,56
관외사전투표,,23498,23488,673,5368,8449,2635,76,144,43,1505,59,1687,136,13,16,240,9,17,213,14,16,54,59,12,27,74,91,120,222,10,49,71,48,7,11,44,25,22237,1251,10
재외투표,,1333,304,6,43,125,43,2,0,0,11,0,45,0,0,0,1,0,0,12,0,0,1,0,0,0,0,2,1,4,0,0,1,1,0,0,0,0,298,6,1029
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
검암경서동,소계,35050,20889,467,5308,7767,2211,102,131,13,1500,70,1237,16,3,13,142,6,10,440,9,4,19,58,4,11,74,67,63,171,2,11,57,10,5,12,6,13,20032,857,14161
,관내사전투표,5168,5168,98,1136,2255,558,23,24,1,291,13,425,2,0,5,28,1,4,50,1,0,2,11,2,3,19,8,7,38,0,2,8,1,0,1,1,3,5021,147,0
,검암경서동제1투,3464,1940,38,562,654,191,12,11,3,159,6,92,2,0,2,17,0,2,36,4,1,3,4,0,1,6,7,7,16,1,0,7,1,1,0,0,0,1846,94,1524
,검암경서동제2투,278,100,1,56,14,4,0,1,0,3,3,3,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,94,6,178
,검암경서동제3투,3785,1603,40,441,584,143,9,17,0,96,8,78,1,0,0,14,0,0,54,1,0,0,1,1,3,3,6,5,7,1,3,7,0,0,2,1,0,1526,77,2182
,검암경서동제4투,2952,1823,43,470,631,206,9,8,0,157,6,107,2,0,3,8,0,0,38,0,0,1,11,0,0,9,8,6,20,0,0,8,1,0,0,1,2,1755,68,1129
,검암경서동제5투,3172,1654,41,444,575,167,9,14,1,150,3,83,1,1,1,10,0,1,34,0,1,5,6,0,0,3,6,8,15,0,0,3,0,1,2,0,0,1585,69,1518
,검암경서동제6투,2522,1639,36,449,563,216,4,8,0,132,6,84,2,0,0,4,2,0,39,1,1,1,5,1,0,3,2,3,9,0,1,2,2,1,0,0,0,1577,62,883
,검암경서동제7투,2376,1104,29,256,397,126,7,6,1,78,5,56,0,0,0,7,1,1,28,0,0,1,5,0,1,6,2,6,12,0,1,2,3,0,1,1,2,1041,63,1272
,검암경서동제8투,2779,1624,44,445,564,169,8,11,1,124,3,77,1,1,0,10,0,1,58,1,0,2,0,0,0,7,7,6,11,0,2,4,1,2,2,1,2,1565,59,1155
,검암경서동제9투,2811,1378,27,318,499,156,9,10,2,102,4,73,0,1,1,13,0,1,41,1,0,1,1,0,1,11,12,3,14,0,0,8,0,0,1,0,2,1312,66,1433
,검암경서동제10투,3456,1499,40,375,568,128,8,14,2,92,10,68,1,0,0,15,1,0,29,0,1,3,10,0,2,6,3,6,17,0,1,6,1,0,1,1,0,1409,90,1957
,검암경서동제11투,2287,1357,30,356,463,147,4,7,2,116,3,91,4,0,1,14,1,0,31,0,0,0,3,0,0,1,6,5,12,0,0,2,0,0,1,0,1,1301,56,930
연희동,소계,35019,19420,492,5809,6707,1762,116,113,26,1124,91,866,27,4,10,147,11,10,517,9,3,23,38,1,16,65,76,55,183,5,17,68,13,2,11,14,12,18443,977,15599
,관내사전투표,5973,5973,120,1623,2404,523,32,28,3,310,22,397,3,2,5,38,0,1,75,1,0,8,12,0,0,16,16,9,63,1,5,15,5,0,1,3,3,5744,229,0
,연희동제1투,3393,1555,50,483,477,132,11,9,4,96,11,53,5,0,0,11,1,1,55,5,0,4,6,0,2,5,5,2,13,1,1,6,0,1,2,2,2,1456,99,1838
,연희동제2투,3560,1674,45,558,535,124,4,14,0,98,9,46,5,0,0,14,4,2,64,1,0,1,2,0,1,5,6,9,10,0,0,13,0,0,1,2,1,1574,100,1886
,연희동제3투,3276,1368,38,443,380,134,7,5,0,81,7,63,0,0,1,8,1,0,60,0,0,0,2,0,1,4,5,5,8,0,3,6,3,0,2,2,0,1269,99,1908
,연희동제4투,3233,1534,55,487,480,117,13,12,2,101,9,43,1,0,1,14,0,2,59,0,0,2,2,0,4,4,10,6,15,1,1,6,1,0,0,0,0,1448,86,1699
,연희동제5투,3201,1661,45,521,549,157,7,12,7,103,11,57,3,0,0,16,2,1,33,0,1,1,2,1,4,6,10,2,13,0,2,4,0,0,1,1,2,1574,87,1540
,연희동제6투,3012,1507,41,475,488,153,10,4,2,80,7,45,2,1,0,15,0,2,50,0,2,3,3,0,3,8,9,3,14,0,1,2,2,0,1,0,0,1426,81,1505
,연희동제7투,3164,1353,28,408,414,142,8,11,0,92,4,60,2,0,1,10,2,0,45,0,0,2,3,0,0,6,5,4,22,1,0,6,1,1,2,2,2,1284,69,1811
,연희동제8투,2658,1353,33,411,461,152,10,7,3,75,5,44,2,1,1,13,1,0,33,2,0,1,0,0,0,3,7,8,8,1,2,7,1,0,1,0,1,1294,59,1305
,연희동제9투,3549,1442,37,400,519,128,14,11,5,88,6,58,4,0,1,8,0,1,43,0,0,1,6,0,1,8,3,7,17,0,2,3,0,0,0,2,1,1374,68,2107
청라1동,소계,22564,14670,338,3584,5303,1792,33,81,10,1283,32,1048,10,3,2,88,4,4,256,8,3,9,33,0,5,33,29,32,129,3,7,49,12,0,6,2,3,14234,436,7894
,관내사전투표,4707,4707,101,1030,1898,535,8,25,3,340,11,493,2,1,0,25,1,1,31,1,0,3,12,0,0,8,6,9,44,1,1,5,1,0,0,1,2,4599,108,0
,청라1동제1투,3239,1909,52,416,681,272,2,10,1,204,1,110,0,0,0,6,2,1,33,1,0,1,7,0,2,4,5,1,10,1,0,11,2,0,1,0,0,1837,72,1330
,청라1동제2투,3010,1841,49,471,679,213,3,11,3,175,3,102,0,0,0,6,0,0,41,0,2,1,3,0,1,1,4,4,15,0,2,6,2,0,1,1,0,1799,42,1169
,청라1동제3투,3802,1913,29,566,605,215,6,7,1,182,4,100,2,1,1,11,0,0,52,1,0,1,5,0,0,9,4,8,26,0,1,11,1,0,0,0,0,1849,64,1889
,청라1동제4투,4216,2131,51,527,734,255,9,11,0,184,7,129,3,0,0,25,0,1,50,1,1,1,2,0,2,3,8,5,17,1,0,14,2,0,1,0,0,2044,87,2085
