읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,301621,208085,3569,63949,61207,32995,946,829,173,15461,656,10951,196,54,48,1108,55,89,3492,58,60,142,232,23,75,540,457,511,1562,36,123,740,90,30,73,59,75,200664,7421,93536
거소·선상투표,,632,586,20,148,151,60,8,4,1,53,3,25,2,0,0,13,0,3,3,0,0,1,1,1,3,10,3,4,3,0,1,1,2,3,0,0,3,530,56,46
관외사전투표,,20026,20021,470,5202,6311,3188,60,96,28,1407,38,1290,62,15,11,157,6,11,184,9,9,19,40,2,15,48,48,99,189,5,27,39,19,3,5,15,14,19141,880,5
재외투표,,1398,314,3,73,100,40,1,1,1,8,1,52,1,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,0,305,9,1084
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
옥련1동,소계,15454,9324,166,3170,2604,1499,54,44,11,490,45,352,7,3,3,53,3,3,183,2,5,5,9,1,4,30,34,25,58,1,10,31,6,2,4,4,4,8925,399,6130
,관내사전투표,2394,2394,37,800,788,350,15,9,3,91,11,148,0,0,0,6,1,0,14,1,2,1,2,0,0,8,2,5,18,0,1,2,0,0,1,1,1,2318,76,0
,옥련1동제1투,2871,1469,23,510,360,234,8,10,2,84,10,41,2,1,1,5,0,0,38,0,0,1,0,1,0,2,9,2,10,0,2,5,3,2,1,0,0,1367,102,1402
,옥련1동제2투,1587,803,23,288,197,124,8,3,0,27,4,25,1,0,0,4,0,0,23,1,2,1,2,0,0,1,5,5,5,0,1,5,2,0,1,0,1,759,44,784
