읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,18585,13654,398,5955,3272,812,139,95,53,529,97,420,32,14,11,129,6,14,224,12,10,16,18,9,17,48,36,74,57,4,18,37,13,17,15,23,20,12644,1010,4931
거소·선상투표,,267,261,11,60,56,14,5,1,2,27,1,12,4,0,0,19,1,0,2,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,1,2,0,223,38,6
관외사전투표,,2191,2191,50,860,599,182,15,12,8,98,6,99,8,2,1,27,0,1,44,4,1,1,4,1,3,3,5,9,25,1,6,4,5,2,1,1,1,2089,102,0
재외투표,,36,10,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
북도면,소계,1630,1191,36,643,210,39,8,7,8,27,10,22,3,2,2,7,1,2,36,1,1,0,2,3,0,6,1,2,4,0,0,6,0,0,0,1,3,1093,98,439
,관내사전투표,387,387,9,190,98,19,2,3,4,10,6,8,1,0,0,2,0,0,5,0,1,0,1,1,0,1,0,2,3,0,0,3,0,0,0,0,0,369,18,0
,북도면제1투,305,178,8,97,30,1,2,1,0,4,0,5,1,0,0,2,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,170,8,127
,북도면제2투,174,85,3,50,15,3,2,0,0,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82,3,89
,북도면제3투,764,541,16,306,67,16,2,3,4,11,1,8,1,2,2,3,1,2,12,1,0,0,1,2,0,3,1,0,1,0,0,3,0,0,0,1,2,472,69,223
연평면,소계,1590,1080,35,406,282,62,18,5,2,51,6,30,3,3,1,14,0,4,6,0,1,2,3,0,5,3,2,13,5,1,3,4,1,6,1,4,3,985,95,510
,관내사전투표,617,617,22,208,151,39,8,3,2,33,4,19,3,3,1,11,0,2,2,0,0,2,3,0,5,3,2,10,4,1,3,1,1,6,1,3,3,559,58,0
,연평면제1투,902,418,13,179,117,19,9,2,0,17,2,11,0,0,0,2,0,2,4,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,385,33,484
,연평면제2투,71,45,0,19,14,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,4,26
백령면,소계,4212,2958,106,1270,668,175,33,19,14,140,25,69,8,2,3,20,0,2,47,2,3,5,3,1,6,13,9,20,8,0,3,4,4,5,6,3,7,2703,255,1254
,관내사전투표,1151,1151,38,369,297,86,4,6,6,75,7,44,6,2,3,13,0,0,15,2,2,3,0,0,4,8,6,12,6,0,1,1,2,3,2,1,5,1029,122,0
,백령면제1투,1125,645,25,307,159,35,13,9,3,17,5,13,0,0,0,1,0,0,10,0,1,0,0,0,1,4,0,0,1,0,0,1,2,0,3,0,1,611,34,480
,백령면제2투,1246,666,27,296,139,31,8,1,4,35,8,11,1,0,0,3,0,2,8,0,0,2,3,1,1,0,1,4,1,0,1,2,0,1,0,1,1,593,73,580
,백령면제3투,396,297,8,177,50,14,4,2,1,6,4,0,1,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,279,18,99
,백령면제4투,294,199,8,121,23,9,4,1,0,7,1,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,4,0,0,1,0,0,1,0,0,0,191,8,95
대청면,소계,1187,943,34,462,214,47,9,9,2,18,11,16,3,1,1,8,1,1,9,1,1,2,0,3,2,3,4,8,2,1,1,0,0,1,3,2,1,881,62,244
,관내사전투표,475,475,12,224,126,25,6,3,1,10,5,9,2,1,0,3,1,1,1,1,0,1,0,2,2,1,3,6,0,1,1,0,0,0,1,1,0,450,25,0
,대청면제1투,351,229,14,107,44,14,1,5,1,4,6,2,0,0,0,2,0,0,3,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,2,1,1,213,16,122
