읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,115298,71231,1605,21592,23627,7008,597,413,80,4755,305,4160,60,26,21,605,17,40,1337,21,33,68,95,8,43,211,197,178,535,17,51,321,45,21,34,36,61,68223,3008,44067
거소·선상투표,,236,216,10,53,64,12,2,3,1,22,0,6,1,0,0,11,0,0,5,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,196,20,20
관외사전투표,,6621,6620,173,1865,2234,677,43,35,10,445,18,456,10,2,0,70,1,3,66,2,5,5,16,0,8,21,17,30,64,1,5,21,2,2,3,8,5,6323,297,1
재외투표,,556,130,2,31,53,16,0,1,0,4,0,11,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,125,5,426
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신포동,소계,4372,2507,62,957,739,196,23,12,1,129,17,109,0,0,2,20,0,0,62,0,1,0,5,0,2,2,5,1,15,3,4,18,1,0,0,3,3,2392,115,1865
,관내사전투표,879,878,15,338,309,73,3,4,0,31,7,52,0,0,0,6,0,0,11,0,0,0,3,0,0,1,0,0,5,1,1,1,0,0,0,1,1,863,15,1
,신포동제1투,1847,995,30,343,300,79,14,5,1,49,5,35,0,0,2,7,0,0,28,0,0,0,2,0,2,0,2,1,6,0,3,10,0,0,0,1,2,927,68,852
,신포동제2투,1646,634,17,276,130,44,6,3,0,49,5,22,0,0,0,7,0,0,23,0,1,0,0,0,0,1,3,0,4,2,0,7,1,0,0,1,0,602,32,1012
연안동,소계,5660,3174,56,1269,893,225,46,7,3,197,22,131,3,1,0,32,1,4,61,0,2,2,3,0,2,6,12,14,21,3,2,17,2,2,1,0,3,3043,131,2486
,관내사전투표,1303,1303,25,494,422,92,21,2,0,65,7,66,0,0,0,10,0,2,18,0,1,1,1,0,0,3,5,4,5,1,1,3,1,2,0,0,1,1253,50,0
,연안동제1투,689,319,6,138,69,33,4,3,1,15,2,17,0,0,0,5,0,0,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,305,14,370
,연안동제2투,1851,723,11,288,205,43,9,0,2,47,6,28,1,0,0,11,1,1,14,0,1,0,1,0,1,2,4,6,9,1,1,9,0,0,0,0,1,703,20,1128
,연안동제3투,1817,829,14,349,197,57,12,2,0,70,7,20,2,1,0,6,0,1,21,0,0,1,1,0,0,1,2,4,5,1,0,5,1,0,1,0,1,782,47,988
신흥동,소계,10651,6285,134,2284,1902,601,59,39,8,344,46,253,5,6,1,58,1,4,112,2,3,8,6,2,5,25,17,15,39,0,4,17,5,2,3,5,6,6021,264,4366
,관내사전투표,1829,1829,37,668,615,182,12,8,2,79,14,101,0,2,0,12,0,0,9,0,0,4,2,0,0,5,1,5,10,0,1,1,1,0,1,1,1,1774,55,0
,신흥동제1투,1607,704,14,271,191,55,6,5,1,33,7,15,2,1,0,10,0,0,24,0,0,1,0,0,0,2,4,2,7,0,0,3,0,1,0,0,3,658,46,903
