읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,31339,22670,3409,983,11759,1524,117,568,49,681,59,1239,35,18,22,70,29,17,140,13,16,31,32,10,16,21,57,16,58,10,13,22,27,14,47,13,57,21192,1478,8669
거소·선상투표,,83,74,14,7,31,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,62,12,9
관외사전투표,,2173,2171,301,112,1086,193,2,37,5,97,0,193,6,0,1,12,1,3,12,0,3,2,4,1,0,1,3,4,14,0,2,0,0,0,0,1,3,2099,72,2
재외투표,,85,29,0,10,14,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,56
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강진읍,소계,11097,7600,1178,344,3916,525,21,213,11,253,15,434,13,8,3,22,7,7,62,7,4,6,14,3,3,10,27,7,30,4,4,7,10,2,10,3,13,7196,404,3497
,관내사전투표,4066,4066,668,164,2102,288,14,117,7,130,7,279,7,4,1,8,4,2,12,2,3,2,7,0,2,3,10,5,15,3,3,2,4,1,3,2,4,3885,181,0
,강진읍제1투,1167,516,65,31,275,27,1,11,1,24,0,25,1,0,0,1,1,0,6,0,0,0,2,2,0,2,1,0,2,0,1,0,0,0,0,0,3,482,34,651
,강진읍제2투,1474,768,146,33,384,42,1,20,1,19,1,29,2,0,0,3,0,2,16,1,0,2,0,0,0,1,4,0,1,0,0,2,1,1,1,0,1,714,54,706
,강진읍제3투,1233,626,89,44,315,37,1,18,0,20,4,28,0,3,0,5,0,1,10,2,1,0,1,0,1,1,4,1,3,0,0,0,0,0,1,0,1,591,35,607
,강진읍제4투,634,338,32,14,185,25,0,9,2,11,1,8,0,0,1,0,0,1,5,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,3,0,1,305,33,296
,강진읍제5투,700,339,46,11,186,19,2,11,0,11,1,9,3,0,1,1,0,1,1,0,0,0,2,0,0,1,1,1,0,1,0,1,3,0,1,1,1,316,23,361
,강진읍제6투,1823,947,132,47,469,87,2,27,0,38,1,56,0,1,0,4,2,0,12,1,0,1,2,0,0,1,6,0,8,0,0,2,1,0,1,0,2,903,44,876
군동면,소계,3281,2304,355,100,1262,152,12,40,7,68,8,96,2,4,5,11,3,3,11,0,2,3,2,1,2,2,8,0,4,0,0,3,3,2,7,0,3,2181,123,977
,관내사전투표,1146,1146,181,49,636,75,3,27,3,31,3,53,1,2,2,4,1,3,2,0,0,0,2,0,0,0,1,0,2,0,0,2,0,0,2,0,1,1086,60,0
,군동면제1투,672,346,60,20,168,20,1,3,1,14,3,9,1,0,1,4,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,2,316,30,326
,군동면제2투,981,539,73,24,306,40,5,5,1,17,1,27,0,0,2,3,0,0,3,0,2,2,0,0,1,1,4,0,0,0,0,0,2,0,1,0,0,520,19,442
,군동면제3투,482,273,41,7,152,17,3,5,2,6,1,7,0,2,0,0,0,0,6,0,0,0,0,1,1,0,2,0,1,0,0,0,1,1,3,0,0,259,14,209
칠량면,소계,2060,1490,242,70,729,84,11,28,4,40,7,70,3,0,3,6,4,1,10,0,4,1,1,0,2,2,4,1,2,0,0,2,1,1,9,4,4,1350,140,570
,관내사전투표,983,982,158,44,475,54,6,21,3,26,6,57,2,0,2,3,3,1,7,0,3,0,1,0,2,2,1,1,2,0,0,1,1,1,9,3,3,898,84,1
,칠량면투표소,1077,508,84,26,254,30,5,7,1,14,1,13,1,0,1,3,1,0,3,0,1,1,0,0,0,0,3,0,0,0,0,1,0,0,0,1,1,452,56,569
대구면,소계,1048,765,151,30,359,45,11,10,0,20,1,40,1,3,1,3,2,0,2,1,0,3,0,0,0,0,3,0,1,0,0,0,1,0,1,1,2,692,73,283
,관내사전투표,505,505,109,19,242,33,7,8,0,8,1,19,0,3,1,3,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,1,0,1,0,1,462,43,0
,대구면투표소,543,260,42,11,117,12,4,2,0,12,0,21,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,230,30,283
마량면,소계,1597,1166,218,40,635,59,6,14,2,20,3,58,1,0,1,3,1,1,3,1,0,2,2,1,1,0,1,0,0,0,1,1,3,1,4,0,6,1089,77,431
,관내사전투표,634,634,118,21,343,30,3,7,1,14,3,38,1,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,5,594,40,0
,마량면투표소,963,532,100,19,292,29,3,7,1,6,0,20,0,0,0,1,1,0,2,1,0,1,2,0,1,0,1,0,0,0,0,1,3,0,3,0,1,495,37,431
도암면,소계,2132,1460,196,66,687,124,12,47,4,45,5,73,2,1,3,3,0,1,8,3,0,2,4,1,4,4,1,0,4,1,1,0,0,3,6,2,6,1319,141,672
,관내사전투표,745,745,99,33,337,78,8,22,2,28,2,41,0,1,1,1,0,0,3,1,0,0,4,0,0,1,0,0,2,0,1,0,0,2,2,1,2,672,73,0
,도암면제1투,974,466,64,22,224,31,2,15,2,10,1,20,2,0,0,1,0,1,3,2,0,2,0,0,2,1,1,0,0,1,0,0,0,1,3,0,4,415,51,508
,도암면제2투,413,249,33,11,126,15,2,10,0,7,2,12,0,0,2,1,0,0,2,0,0,0,0,1,2,2,0,0,2,0,0,0,0,0,1,1,0,232,17,164
신전면,소계,1599,1158,177,36,621,76,6,23,3,23,3,64,1,0,0,1,4,0,8,1,1,4,1,1,0,0,4,0,1,2,0,4,4,1,0,0,1,1071,87,441
,관내사전투표,596,596,98,19,308,49,3,15,1,12,1,38,0,0,0,0,3,0,3,1,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,557,39,0
,신전면제1투,595,318,35,11,172,17,0,4,2,10,2,17,1,0,0,0,1,0,4,0,1,3,1,0,0,0,0,0,1,1,0,3,2,0,0,0,0,288,30,277
,신전면제2투,408,244,44,6,141,10,3,4,0,1,0,9,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,226,18,164
성전면,소계,2452,1777,243,63,938,116,15,65,6,52,4,82,2,1,2,5,4,1,15,0,2,4,1,0,1,0,1,2,1,1,1,2,2,0,3,1,7,1643,134,675
,관내사전투표,1179,1179,164,40,628,79,10,48,3,35,2,49,1,1,1,1,2,1,7,0,1,3,1,0,1,0,0,2,1,0,1,0,1,0,1,0,6,1090,89,0
,성전면투표소,1273,598,79,23,310,37,5,17,3,17,2,33,1,0,1,4,2,0,8,0,1,1,0,0,0,0,1,0,0,1,0,2,1,0,2,1,1,553,45,675
작천면,소계,1645,1167,126,47,673,59,5,45,0,27,10,53,1,1,2,0,2,0,5,0,0,0,1,0,1,1,1,0,1,2,1,2,1,1,4,1,7,1080,87,478
,관내사전투표,726,726,76,31,419,35,5,32,0,10,3,38,0,1,1,0,1,0,3,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,0,3,666,60,0
,작천면투표소,919,441,50,16,254,24,0,13,0,17,7,15,1,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,2,1,4,414,27,478
병영면,소계,1519,1083,151,41,588,56,9,36,1,23,3,54,2,0,1,2,1,0,1,0,0,3,1,1,0,0,1,2,0,0,2,1,2,3,1,0,4,990,93,436
,관내사전투표,641,641,92,19,342,41,6,25,1,11,2,41,1,0,1,1,1,0,1,0,0,2,1,1,0,0,0,2,0,0,0,0,2,2,1,0,2,598,43,0
,병영면투표소,878,442,59,22,246,15,3,11,0,12,1,13,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,1,0,0,2,392,50,436
옴천면,소계,568,426,57,17,220,29,6,9,5,12,0,20,1,0,0,2,0,0,3,0,0,0,1,1,1,0,3,0,0,0,1,0,0,0,2,0,1,391,35,142
,관내사전투표,263,263,42,10,129,19,3,9,0,8,0,12,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,239,24,0
,옴천면투표소,305,163,15,7,91,10,3,0,5,4,0,8,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,152,11,142
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
