읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,58923,44686,6597,1675,24595,2517,265,786,57,1157,118,1807,70,34,54,146,41,21,273,17,25,42,41,8,28,26,83,35,65,22,17,69,52,13,80,28,95,40959,3727,14237
거소·선상투표,,296,253,56,4,110,14,3,4,0,9,3,12,4,0,1,2,0,0,3,0,3,0,2,1,0,0,1,0,0,0,0,1,1,0,3,1,1,239,14,43
관외사전투표,,3338,3338,369,164,1775,294,8,64,5,130,3,259,5,1,3,19,3,1,17,1,0,5,6,1,3,4,11,5,17,1,2,9,5,0,4,3,0,3197,141,0
재외투표,,128,22,2,2,11,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,106
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고흥읍,소계,9642,7082,1020,251,3957,543,30,160,3,241,9,352,11,10,5,31,5,2,26,5,0,7,4,0,2,3,14,4,15,2,2,12,10,2,8,5,7,6758,324,2560
,관내사전투표,3940,3940,584,120,2188,327,12,107,1,106,1,237,7,5,4,14,1,2,7,3,0,3,3,0,1,0,11,2,11,1,2,1,4,1,2,2,1,3771,169,0
,고흥읍제1투,448,311,39,8,180,13,8,6,0,15,1,11,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,1,289,22,137
,고흥읍제2투,602,360,41,17,222,21,0,2,0,17,2,10,0,2,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,343,17,242
,고흥읍제3투,1524,874,108,39,512,60,4,13,0,34,2,38,2,0,0,9,1,0,5,2,0,1,1,0,0,0,0,1,0,1,0,2,2,0,2,1,0,840,34,650
,고흥읍제4투,1539,792,120,29,413,64,3,19,1,37,1,32,2,1,0,4,0,0,5,0,0,1,0,0,0,0,2,0,3,0,0,7,2,1,1,1,1,750,42,747
,고흥읍제5투,1589,805,128,38,442,58,3,13,1,32,2,24,0,2,0,3,1,0,7,0,0,2,0,0,0,1,1,0,1,0,0,2,0,0,1,1,2,765,40,784
도양읍,소계,9272,6628,823,286,3923,386,32,84,7,189,16,292,8,5,4,18,9,3,73,4,3,5,3,0,4,1,11,5,11,2,2,2,5,1,6,0,7,6230,398,2644
,관내사전투표,3245,3245,394,92,2016,209,7,43,3,85,3,153,6,1,1,9,1,1,18,0,1,3,0,0,1,1,6,3,5,2,2,0,0,0,1,0,3,3070,175,0
,도양읍제1투,1410,759,91,30,455,45,4,7,1,34,0,24,0,1,0,1,1,0,24,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,724,35,651
,도양읍제2투,1135,590,78,23,360,36,3,4,0,15,2,26,1,1,0,1,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,560,30,545
,도양읍제3투,2085,1118,129,29,672,65,2,20,2,28,3,62,0,0,2,3,2,1,12,0,0,1,3,0,0,0,2,2,6,0,0,2,0,0,0,0,1,1049,69,967
,도양읍제4투,309,204,22,2,135,3,3,2,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,183,21,105
,도양읍제5투,375,234,42,6,120,17,1,2,0,8,1,8,0,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,215,19,141
