읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,23350,16851,736,895,9798,1343,74,627,197,522,40,1088,23,14,21,87,8,8,153,15,7,26,39,3,13,16,62,19,46,8,4,28,16,6,28,11,34,16015,836,6499
거소·선상투표,,89,85,10,9,31,5,0,3,4,5,0,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,80,5,4
관외사전투표,,1711,1710,77,87,917,177,5,52,6,84,1,152,7,4,1,9,1,2,14,2,1,1,7,0,0,2,7,6,13,0,1,4,1,1,3,2,3,1650,60,1
재외투표,,60,6,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,54
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
구례읍,소계,8561,5853,247,300,3455,446,21,192,47,187,11,408,8,3,3,34,3,3,60,9,3,6,11,0,8,3,26,4,21,3,1,9,8,1,9,3,4,5557,296,2708
,관내사전투표,2819,2817,101,127,1664,223,9,100,19,81,1,269,2,1,3,18,1,1,10,8,2,3,4,0,2,0,11,2,11,1,0,2,4,1,3,2,3,2689,128,2
,구례읍제1투,762,434,23,20,237,47,3,20,3,13,1,16,1,1,0,5,1,0,8,0,0,1,0,0,1,0,6,0,3,1,0,0,0,0,1,0,0,412,22,328
,구례읍제2투,1314,711,30,35,425,50,3,23,7,18,3,40,2,0,0,2,1,1,9,0,0,1,0,0,3,1,3,1,4,0,0,1,2,0,3,0,0,668,43,603
,구례읍제3투,1386,682,24,43,437,48,1,15,5,22,4,23,2,1,0,3,0,0,12,0,0,1,0,0,2,1,4,0,1,0,0,1,0,0,1,1,1,653,29,704
,구례읍제4투,946,498,26,34,289,31,1,20,3,25,2,21,1,0,0,4,0,0,6,0,0,0,1,0,0,0,2,0,0,0,1,2,0,0,0,0,0,469,29,448
,구례읍제5투,1334,711,43,41,403,47,4,14,10,28,0,39,0,0,0,2,0,1,15,1,1,0,6,0,0,1,0,1,2,1,0,3,2,0,1,0,0,666,45,623
문척면,소계,1206,855,33,50,461,76,1,27,16,39,3,71,0,0,1,5,1,1,5,0,0,4,3,0,1,0,4,3,1,1,0,4,0,0,1,0,0,812,43,351
,관내사전투표,456,456,17,24,256,44,0,12,6,17,2,39,0,0,0,4,1,0,3,0,0,3,1,0,1,0,1,0,1,0,0,2,0,0,1,0,0,435,21,0
,문척면투표소,750,399,16,26,205,32,1,15,10,22,1,32,0,0,1,1,0,1,2,0,0,1,2,0,0,0,3,3,0,1,0,2,0,0,0,0,0,377,22,351
간전면,소계,1290,943,41,53,557,80,6,33,6,24,7,35,1,0,2,3,0,2,13,2,0,3,1,0,1,2,2,0,1,0,1,2,2,2,3,0,4,889,54,347
,관내사전투표,399,399,19,17,247,31,2,17,0,12,2,21,0,0,1,2,0,1,2,0,0,3,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,383,16,0
,간전면제1투,420,239,8,16,123,26,3,12,4,1,2,10,0,0,0,0,0,1,8,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,220,19,181
,간전면제2투,230,159,8,10,112,8,0,3,0,3,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,151,8,71
,간전면제3투,241,146,6,10,75,15,1,1,2,8,1,4,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,3,135,11,95
토지면,소계,2152,1498,66,91,840,121,9,75,25,38,6,90,0,1,2,9,0,0,7,1,1,5,3,0,0,1,6,1,2,0,0,0,1,2,2,0,5,1410,88,654
,관내사전투표,682,682,28,29,402,51,4,28,9,16,1,68,0,0,2,3,0,0,2,0,0,2,1,0,0,0,3,0,1,0,0,0,0,1,0,0,2,653,29,0
,토지면제1투,845,458,13,25,258,47,1,25,7,14,4,11,0,1,0,6,0,0,3,0,1,2,2,0,0,0,2,0,0,0,0,0,0,1,0,0,2,425,33,387
,토지면제2투,315,176,11,14,93,10,2,10,6,4,0,5,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,163,13,139
,토지면제3투,310,182,14,23,87,13,2,12,3,4,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,169,13,128
마산면,소계,2405,1702,55,105,1002,121,11,97,18,40,2,91,4,0,7,7,1,0,17,1,0,3,9,1,0,1,3,2,3,2,0,2,2,0,3,1,2,1613,89,703
,관내사전투표,1077,1077,29,54,665,75,5,59,9,22,1,70,2,0,3,5,0,0,7,0,0,3,4,1,0,0,2,0,1,1,0,0,2,0,1,0,1,1022,55,0
,마산면투표소,1328,625,26,51,337,46,6,38,9,18,1,21,2,0,4,2,1,0,10,1,0,0,5,0,0,1,1,2,2,1,0,2,0,0,2,1,1,591,34,703
광의면,소계,1975,1368,52,49,839,100,7,50,25,39,2,74,0,0,3,6,2,0,13,0,1,2,0,1,2,1,5,1,2,0,1,3,0,0,1,3,3,1287,81,607
,관내사전투표,659,659,22,18,409,46,2,28,10,14,1,42,0,0,3,1,0,0,6,0,0,0,0,0,2,1,2,1,0,0,1,0,0,0,0,2,2,613,46,0
,광의면제1투,781,418,19,18,258,37,4,11,13,14,1,12,0,0,0,4,2,0,3,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,404,14,363
,광의면제2투,535,291,11,13,172,17,1,11,2,11,0,20,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,1,0,270,21,244
용방면,소계,1367,1063,68,49,608,75,3,55,24,21,3,70,2,3,0,6,0,0,7,0,1,1,3,0,0,2,1,2,2,2,0,1,0,0,2,2,7,1020,43,304
,관내사전투표,643,643,34,33,384,48,1,32,7,5,0,44,0,2,0,6,0,0,2,0,1,1,1,0,0,1,1,0,2,1,0,0,0,0,1,2,3,612,31,0
,용방면투표소,724,420,34,16,224,27,2,23,17,16,3,26,2,1,0,0,0,0,5,0,0,0,2,0,0,1,0,2,0,1,0,1,0,0,1,0,4,408,12,304
산동면,소계,2534,1765,87,101,1083,141,11,43,26,45,5,90,1,2,2,7,0,0,17,0,0,1,2,0,0,4,6,0,1,0,0,3,2,0,4,0,5,1689,76,769
,관내사전투표,843,843,43,36,529,67,4,23,12,13,0,60,0,0,2,4,0,0,3,0,0,1,1,0,0,2,4,0,1,0,0,1,0,0,1,0,3,810,33,0
,산동면제1투,811,409,21,33,244,31,5,13,5,14,1,13,1,1,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,393,16,402
,산동면제2투,566,315,8,19,199,23,0,5,4,13,3,10,0,1,0,1,0,0,8,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,300,15,251
,산동면제3투,314,198,15,13,111,20,2,2,5,5,1,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,186,12,116
잘못 투입·구분된 투표지,,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-3
