읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,67320,44680,3888,1458,24993,5015,143,795,46,1552,49,3164,71,14,36,176,28,23,346,23,21,51,22,6,38,28,123,46,188,7,29,63,34,9,63,30,55,42633,2047,22640
거소·선상투표,,687,639,94,37,212,37,13,14,4,22,5,27,4,0,2,5,0,0,5,1,2,1,4,1,3,1,2,2,3,0,4,1,2,0,2,1,3,514,125,48
관외사전투표,,6273,6267,540,230,3205,809,11,90,1,280,3,639,16,2,2,42,3,2,46,2,2,7,5,0,6,6,21,10,44,1,8,9,3,0,4,3,2,6054,213,6
재외투표,,138,27,0,4,10,3,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,111
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
무안읍,소계,8731,5654,460,183,3402,518,19,113,8,177,5,308,15,3,7,23,5,3,60,5,4,2,1,0,4,1,15,6,22,1,2,7,6,0,5,6,4,5400,254,3077
,관내사전투표,3112,3112,227,87,1944,285,5,55,4,106,2,198,4,2,4,9,0,2,16,4,1,1,0,0,3,0,6,1,16,0,1,2,3,0,2,2,2,2994,118,0
,무안읍제1투,1808,801,85,31,467,57,6,11,3,22,1,28,5,0,0,3,3,0,15,0,2,0,0,0,0,0,4,1,1,1,0,2,0,0,3,2,2,755,46,1007
,무안읍제2투,2175,952,90,32,545,90,3,24,1,28,1,50,0,1,1,9,0,0,12,1,0,1,1,0,0,1,2,2,4,0,1,2,2,0,0,1,0,905,47,1223
