읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,37404,26486,2855,1063,14941,1744,156,779,48,875,64,1338,37,17,36,74,22,28,162,16,20,41,48,12,25,58,83,26,67,10,19,25,40,15,46,33,74,24897,1589,10918
거소·선상투표,,122,115,15,4,50,10,1,0,0,6,1,5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,100,15,7
관외사전투표,,2631,2630,255,104,1402,239,3,53,6,139,4,236,2,1,1,14,0,4,11,2,5,3,9,0,3,6,8,9,15,3,1,4,2,0,1,3,1,2549,81,1
재외투표,,106,24,0,10,6,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,82
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보성읍,소계,7385,5189,505,227,2933,388,33,183,7,193,7,289,9,4,6,13,10,3,16,3,5,8,13,3,8,24,21,3,16,0,4,5,15,1,4,10,10,4979,210,2196
,관내사전투표,2976,2976,310,103,1659,229,11,111,4,95,3,205,7,4,3,8,5,1,7,2,3,6,11,2,4,13,7,3,10,0,2,2,6,0,2,6,8,2852,124,0
,보성읍제1투,813,377,31,21,217,32,2,12,0,21,1,10,0,0,0,0,1,1,2,0,0,0,2,0,0,3,2,0,1,0,1,0,2,0,0,1,0,363,14,436
,보성읍제2투,714,354,32,31,205,24,4,5,0,12,0,12,2,0,1,0,1,0,1,0,2,0,0,0,2,0,2,0,2,0,0,3,1,0,0,0,1,343,11,360
,보성읍제3투,1166,597,52,23,351,46,8,27,1,18,1,28,0,0,1,2,1,1,4,1,0,1,0,1,1,1,4,0,1,0,1,0,4,0,1,0,1,581,16,569
,보성읍제4투,267,122,11,10,70,6,1,3,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,115,7,145
,보성읍제5투,935,490,45,26,274,37,5,16,1,32,1,16,0,0,0,1,0,0,2,0,0,0,0,0,1,4,2,0,0,0,0,0,0,1,1,1,0,466,24,445
,보성읍제6투,514,273,24,13,157,14,2,9,0,8,1,15,0,0,1,2,2,0,0,0,0,1,0,0,0,2,3,0,2,0,0,0,2,0,0,1,0,259,14,241
벌교읍,소계,10257,6676,767,281,3917,384,31,115,15,197,18,347,6,4,9,28,5,6,46,3,5,9,13,1,7,5,11,2,16,1,4,10,10,5,11,6,13,6308,368,3581
