읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,192923,135661,4626,5912,81907,11152,369,4823,168,6341,216,10151,141,44,92,625,93,66,1211,51,47,177,302,22,89,94,484,184,617,40,87,173,99,15,157,79,168,130822,4839,57262
거소·선상투표,,515,488,22,39,231,27,5,19,1,27,5,20,3,0,0,14,4,0,4,0,0,0,2,0,2,1,3,0,2,0,2,3,0,0,4,2,1,443,45,27
관외사전투표,,10477,10474,471,551,5447,1036,9,332,10,570,11,959,34,3,5,91,4,11,59,4,11,12,39,1,10,13,52,36,103,2,22,13,13,2,13,15,15,9979,495,3
재외투표,,421,94,6,9,38,10,0,6,0,1,0,14,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,92,2,327
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
승주읍,소계,2581,1732,86,73,999,120,28,103,2,75,2,82,2,0,2,9,0,3,11,1,1,4,5,1,1,0,7,2,3,1,1,2,6,2,5,2,4,1645,87,849
,관내사전투표,890,890,39,35,534,70,13,42,1,37,1,52,0,0,1,3,0,1,0,0,1,3,2,0,0,0,3,0,3,1,1,0,5,1,1,1,1,852,38,0
,승주읍제1투,1360,646,41,32,357,34,10,43,0,30,1,20,2,0,1,4,0,2,10,1,0,1,3,1,1,0,3,1,0,0,0,2,0,1,4,1,2,608,38,714
,승주읍제2투,331,196,6,6,108,16,5,18,1,8,0,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,185,11,135
