읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,36750,24590,2083,869,14661,1973,114,400,37,598,62,1259,30,15,47,94,21,15,294,8,21,24,22,7,20,19,58,22,38,12,19,37,19,11,43,16,45,23013,1577,12160
거소·선상투표,,236,224,34,5,105,11,0,4,3,8,2,12,3,2,2,5,1,0,2,0,2,1,2,1,0,0,0,0,0,1,2,1,1,0,0,0,0,210,14,12
관외사전투표,,4423,4420,421,194,2389,491,3,76,1,149,2,416,5,2,3,17,0,1,40,2,1,8,7,1,0,5,9,3,15,1,6,3,4,0,2,2,3,4282,138,3
재외투표,,80,19,1,1,9,2,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,61
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
지도읍,소계,3887,2386,189,87,1506,136,19,31,5,45,5,116,4,5,4,7,5,1,28,3,2,1,0,0,4,3,5,2,0,0,1,3,2,3,2,2,6,2232,154,1501
,관내사전투표,1056,1056,70,26,679,61,5,20,3,22,3,67,2,0,2,2,4,1,5,0,2,1,0,0,2,1,1,2,0,0,0,0,0,2,0,1,3,987,69,0
,지도읍제1투,1516,660,64,29,414,39,6,8,1,11,1,29,1,1,0,3,0,0,4,3,0,0,0,0,1,0,0,0,0,0,1,3,2,0,2,1,0,624,36,856
,지도읍제2투,93,52,7,3,32,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,3,41
,지도읍제3투,511,268,19,14,168,16,2,1,1,4,0,7,0,3,1,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,247,21,243
,지도읍제4투,522,220,15,12,134,11,3,0,0,4,1,6,0,1,0,2,0,0,11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,202,18,302
,지도읍제5투,189,130,14,3,79,7,2,2,0,3,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,123,7,59
증도면,소계,1546,983,76,32,666,45,3,8,0,13,2,33,1,1,4,3,0,2,12,0,1,0,2,0,1,0,2,0,1,0,0,3,0,1,2,0,0,914,69,563
,관내사전투표,305,305,20,13,209,21,0,3,0,5,0,9,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,284,21,0
,증도면제1투,452,201,18,7,130,6,0,2,0,3,0,11,0,1,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,184,17,251
