읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,47028,30016,2494,1305,16584,3667,111,690,35,872,56,1655,52,17,39,135,23,15,257,22,16,50,32,4,30,20,83,29,78,16,22,32,24,10,44,12,52,28583,1433,17012
거소·선상투표,,265,256,32,18,93,21,4,2,1,16,2,8,3,3,1,10,1,0,0,1,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,0,2,226,30,9
관외사전투표,,3470,3468,254,177,1818,395,6,55,7,129,5,326,15,1,1,19,2,2,20,4,6,6,9,0,5,6,19,5,23,1,4,5,3,2,4,3,2,3339,129,2
재외투표,,87,16,5,5,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,71
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영암읍,소계,6648,4299,405,181,2411,461,24,95,6,132,2,245,8,3,5,20,3,1,41,0,1,3,9,1,2,3,10,3,13,6,3,5,4,0,2,1,4,4113,186,2349
,관내사전투표,2336,2336,210,96,1297,279,8,55,2,71,1,158,5,1,3,9,1,1,18,0,0,1,6,1,1,2,6,3,6,4,1,0,0,0,1,1,2,2250,86,0
,영암읍제1투,1876,816,84,30,481,67,4,18,4,22,0,36,2,1,0,2,1,0,9,0,0,0,1,0,1,0,1,0,2,1,0,1,3,0,1,0,2,774,42,1060
,영암읍제2투,1167,544,49,23,322,48,6,9,0,15,0,29,0,0,0,2,1,0,10,0,0,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0,521,23,623
,영암읍제3투,1269,603,62,32,311,67,6,13,0,24,1,22,1,1,2,7,0,0,4,0,1,1,1,0,0,0,2,0,3,0,2,4,1,0,0,0,0,568,35,666
삼호읍,소계,15677,8258,588,335,4260,1415,14,253,6,279,16,506,7,2,6,46,2,3,87,4,7,16,5,1,6,6,21,8,23,3,6,13,5,2,8,3,11,7973,285,7419
