읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,39903,26666,1356,1219,16233,2276,117,429,67,977,52,1701,37,9,33,129,26,11,168,13,19,26,36,9,25,14,69,36,97,11,12,33,18,6,40,17,39,25360,1306,13237
거소·선상투표,,114,106,8,6,74,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,101,5,8
관외사전투표,,3736,3732,233,220,1980,346,4,64,10,201,3,339,13,0,3,27,1,0,18,5,4,4,7,0,3,2,10,16,23,2,5,4,3,1,4,5,6,3566,166,4
재외투표,,101,18,2,0,9,2,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,83
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장성읍,소계,10838,6757,325,276,4246,586,26,121,14,233,13,447,7,1,8,30,6,2,37,4,0,4,11,3,7,4,15,4,20,1,1,8,2,1,7,2,6,6478,279,4081
,관내사전투표,3601,3601,174,134,2281,326,7,61,7,118,4,285,4,1,2,12,3,1,15,2,0,4,7,2,1,1,4,2,15,0,0,2,1,0,2,1,2,3481,120,0
,장성읍제1투,1761,728,45,46,420,61,3,11,3,34,2,40,0,0,1,4,1,0,7,1,0,0,1,1,2,1,4,1,1,0,0,0,0,0,1,1,1,693,35,1033
,장성읍제2투,1628,709,31,26,437,57,2,16,1,34,1,41,1,0,3,3,0,0,10,0,0,0,1,0,2,1,2,1,0,0,0,0,0,0,1,0,1,672,37,919
,장성읍제3투,2085,853,37,37,541,71,2,17,3,27,3,47,1,0,1,7,1,1,4,1,0,0,1,0,1,1,3,0,2,1,1,2,1,1,0,0,0,815,38,1232
,장성읍제4투,1763,866,38,33,567,71,12,16,0,20,3,34,1,0,1,4,1,0,1,0,0,0,1,0,1,0,2,0,2,0,0,4,0,0,3,0,2,817,49,897
진원면,소계,2729,1862,94,54,1228,162,7,30,2,53,6,101,1,1,3,6,3,0,5,0,2,3,8,1,0,0,6,1,3,0,0,5,1,0,2,0,0,1788,74,867
,관내사전투표,901,900,34,25,605,90,4,17,2,19,2,51,1,0,1,4,0,0,3,0,1,2,3,0,0,0,3,0,0,0,0,2,0,0,1,0,0,870,30,1
,진원면제1투,1122,557,40,19,349,42,2,10,0,16,0,33,0,1,1,1,2,0,2,0,0,1,4,0,0,0,2,1,1,0,0,1,1,0,0,0,0,529,28,565
,진원면제2투,706,405,20,10,274,30,1,3,0,18,4,17,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,2,0,0,2,0,0,1,0,0,389,16,301
남면,소계,3046,1887,85,57,1197,181,7,24,2,54,0,129,3,0,0,7,0,1,11,1,1,3,0,0,2,2,7,1,5,1,0,2,1,0,2,1,2,1789,98,1159
,관내사전투표,1001,1001,39,37,646,87,4,10,1,31,0,75,0,0,0,2,0,1,2,0,0,2,0,0,1,1,1,1,3,0,0,0,0,0,2,1,1,948,53,0
,남면제1투,914,381,22,11,229,39,1,8,1,10,0,20,1,0,0,3,0,0,6,1,0,0,0,0,1,0,2,0,2,1,0,1,0,0,0,0,0,359,22,533
,남면제2투,1131,505,24,9,322,55,2,6,0,13,0,34,2,0,0,2,0,0,3,0,1,1,0,0,0,1,4,0,0,0,0,1,1,0,0,0,1,482,23,626
동화면,소계,1740,1169,57,51,733,88,9,13,2,34,3,61,0,1,2,4,3,1,17,0,3,2,0,1,0,1,5,1,1,0,0,2,2,1,4,2,5,1109,60,571
,관내사전투표,575,575,21,24,382,36,5,9,1,18,1,36,0,1,1,3,1,1,2,0,1,0,0,1,0,0,2,0,1,0,0,1,0,0,1,2,2,553,22,0
,동화면제1투,808,380,19,20,211,39,2,3,1,12,2,12,0,0,1,0,2,0,15,0,2,1,0,0,0,1,3,1,0,0,0,0,1,1,1,0,3,353,27,428
,동화면제2투,357,214,17,7,140,13,2,1,0,4,0,13,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,203,11,143
삼서면,소계,2731,1657,87,77,947,177,8,36,5,63,4,92,2,2,1,8,4,1,12,2,0,1,1,0,3,0,7,1,0,0,0,1,2,0,1,2,1,1548,109,1074
,관내사전투표,939,938,50,48,542,96,5,11,3,35,2,54,2,1,0,5,3,1,2,1,0,0,1,0,2,0,5,1,0,0,0,1,0,0,1,2,1,875,63,1
,삼서면투표소,1792,719,37,29,405,81,3,25,2,28,2,38,0,1,1,3,1,0,10,1,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,673,46,1073
삼계면,소계,4593,2916,145,260,1583,251,15,34,9,146,9,170,3,1,7,17,1,3,25,0,1,3,3,2,5,2,6,9,22,1,3,8,1,1,8,3,7,2764,152,1677
,관내사전투표,1633,1633,74,141,891,132,10,17,6,82,6,116,0,1,1,12,0,0,10,0,1,3,2,1,4,1,2,5,13,0,3,3,0,0,5,1,7,1550,83,0
,삼계면제1투,1210,554,26,26,332,48,2,9,2,18,3,22,2,0,3,5,1,1,4,0,0,0,1,1,1,0,3,1,5,0,0,1,0,1,2,0,0,520,34,656
,삼계면제2투,1200,480,30,83,201,53,1,3,1,38,0,24,1,0,1,0,0,1,9,0,0,0,0,0,0,1,1,3,4,0,0,3,0,0,0,1,0,459,21,720
,삼계면제3투,550,249,15,10,159,18,2,5,0,8,0,8,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,235,14,301
황룡면,소계,3370,2012,103,44,1301,162,13,45,7,71,6,113,3,1,3,8,3,2,16,1,0,1,1,0,1,1,2,1,10,2,0,2,0,1,2,1,4,1931,81,1358
,관내사전투표,995,995,47,13,647,87,8,20,5,23,3,77,2,1,1,3,0,1,6,1,0,1,1,0,0,0,0,0,4,2,0,2,0,0,2,1,2,960,35,0
,황룡면제1투,831,356,18,7,250,23,1,12,1,11,2,8,0,0,1,4,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,1,349,7,475
,황룡면제2투,1544,661,38,24,404,52,4,13,1,37,1,28,1,0,1,1,3,1,4,0,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0,0,1,622,39,883
서삼면,소계,1259,802,41,34,490,46,4,12,6,24,0,53,0,1,1,5,1,0,6,0,0,0,1,0,0,0,5,1,3,1,0,0,1,0,3,0,2,741,61,457
,관내사전투표,437,437,18,19,271,25,1,8,2,12,0,35,0,0,0,4,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,2,0,1,405,32,0
,서삼면투표소,822,365,23,15,219,21,3,4,4,12,0,18,0,1,1,1,1,0,5,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,1,336,29,457
북일면,소계,1221,853,45,27,548,66,4,12,1,20,2,37,2,1,1,4,1,0,4,0,2,2,1,1,1,0,1,0,1,2,0,0,1,0,2,1,3,793,60,368
,관내사전투표,510,510,26,17,337,30,3,4,1,11,2,28,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,472,38,0
,북일면투표소,711,343,19,10,211,36,1,8,0,9,0,9,1,0,1,1,0,0,3,0,2,2,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,321,22,368
북이면,소계,2563,1719,80,74,1121,110,11,31,5,46,2,83,2,0,2,6,3,1,7,0,6,1,2,0,1,1,3,1,6,0,0,0,4,1,3,0,2,1615,104,844
,관내사전투표,1134,1134,52,48,759,63,10,16,3,29,1,60,2,0,2,3,2,0,2,0,4,0,1,0,1,1,1,1,4,0,0,0,3,0,1,0,1,1070,64,0
,북이면제1투,690,305,18,13,194,19,0,10,2,8,0,10,0,0,0,2,1,1,1,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,287,18,385
,북이면제2투,739,280,10,13,168,28,1,5,0,9,1,13,0,0,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,258,22,459
북하면,소계,1862,1174,51,39,775,91,8,7,4,31,4,71,1,0,2,7,0,0,9,0,0,2,0,1,2,1,2,0,2,1,2,1,0,0,2,0,1,1117,57,688
,관내사전투표,778,778,28,17,531,63,6,4,1,13,3,55,1,0,2,3,0,0,3,0,0,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,739,39,0
,북하면투표소,1084,396,23,22,244,28,2,3,3,18,1,16,0,0,0,4,0,0,6,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,2,0,0,378,18,688
잘못 투입·구분된 투표지,,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-2
