읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,34142,24791,2504,867,13866,1434,150,1660,36,693,62,1227,32,11,47,84,22,15,163,31,11,34,77,8,28,17,52,16,76,13,13,35,28,10,35,21,64,23442,1349,9351
거소·선상투표,,163,151,24,6,68,12,1,7,0,9,0,5,0,0,2,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,142,9,12
관외사전투표,,2271,2271,222,93,1150,190,6,76,3,101,2,202,7,0,1,12,1,4,20,7,2,3,7,0,5,2,4,6,23,0,2,3,2,0,2,3,1,2162,109,0
재외투표,,91,29,1,5,13,0,0,1,0,1,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,62
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장흥읍,소계,12084,8301,768,291,4801,503,39,501,7,275,19,457,9,4,17,37,4,3,71,16,3,9,29,2,7,3,19,2,35,1,4,13,5,1,6,8,14,7983,318,3783
,관내사전투표,4605,4605,427,146,2711,295,23,266,5,155,5,283,5,3,6,20,3,2,28,11,0,4,15,0,4,0,8,1,17,1,2,4,1,0,2,3,4,4460,145,0
,장흥읍제1투,1236,562,52,28,340,21,3,20,1,11,4,23,0,0,2,4,0,0,8,0,0,1,1,0,0,1,2,0,3,0,0,3,2,0,0,0,1,531,31,674
,장흥읍제2투,788,357,41,10,169,21,1,40,0,8,2,23,1,0,4,1,0,1,7,0,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,1,1,337,20,431
,장흥읍제3투,2003,1006,87,28,600,63,8,54,0,39,3,39,2,0,2,3,1,0,12,2,1,2,5,0,1,1,4,0,7,0,1,1,1,0,0,1,0,968,38,997
