읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,61526,41329,4961,1382,22786,3012,193,1539,44,1120,88,2160,46,16,56,182,40,26,226,20,18,50,60,10,31,32,126,37,89,19,21,48,25,11,93,22,83,38672,2657,20197
거소·선상투표,,397,357,60,17,121,18,7,7,1,14,5,12,2,0,2,5,0,2,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,281,76,40
관외사전투표,,3480,3478,397,151,1775,312,7,86,3,155,2,287,7,2,3,19,0,0,20,1,3,7,11,1,5,6,14,7,26,2,4,3,4,0,6,1,2,3329,149,2
재외투표,,112,15,1,1,5,2,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,97
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해남읍,소계,18366,11621,1363,391,6479,955,26,406,9,366,14,799,7,6,9,57,7,5,53,5,2,9,12,1,6,6,34,9,23,4,2,13,6,1,15,5,10,11115,506,6745
,관내사전투표,5042,5042,597,147,2792,424,7,178,4,149,5,435,3,1,5,23,2,2,20,4,0,5,6,1,2,1,16,4,10,1,1,3,2,1,5,1,2,4859,183,0
,해남읍제1투,1119,541,89,20,293,38,0,14,1,14,0,17,0,2,0,0,0,1,2,0,0,1,0,0,1,0,2,0,0,0,0,2,0,0,0,0,2,499,42,578
,해남읍제2투,884,424,41,17,261,30,2,6,1,14,0,14,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,394,30,460
,해남읍제3투,1423,677,78,30,377,40,3,24,0,26,2,48,0,1,1,4,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,641,36,746
