읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,54504,36090,1472,1042,21963,2766,237,2084,38,1371,50,2246,37,5,57,149,20,29,193,25,22,42,30,7,25,12,92,27,141,15,13,35,43,7,68,17,67,34447,1643,18414
거소·선상투표,,111,105,5,4,55,7,1,4,0,6,0,3,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,93,12,6
관외사전투표,,4215,4214,200,146,2352,400,2,172,4,210,4,375,10,2,4,36,1,3,13,6,2,7,9,0,3,1,13,4,43,2,2,5,1,0,8,2,8,4050,164,1
재외투표,,84,26,0,4,8,4,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,25,1,58
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
화순읍,소계,30082,18588,645,507,11506,1432,82,1226,5,737,20,1237,11,2,18,81,10,8,115,11,9,22,8,2,9,7,44,13,81,4,7,19,19,2,26,6,21,17952,636,11494
,관내사전투표,7041,7041,208,144,4544,531,25,415,1,243,8,577,3,0,5,27,1,1,30,4,3,7,3,0,3,0,13,4,23,0,1,2,2,0,4,0,8,6840,201,0
,화순읍제1투,1645,937,35,35,546,79,2,76,0,41,0,57,0,0,0,3,0,2,12,0,0,1,0,0,0,0,2,1,2,0,0,2,1,0,2,1,0,900,37,708
,화순읍제2투,1894,964,33,22,594,50,5,84,1,46,1,66,1,0,1,5,1,2,2,0,1,2,1,0,2,2,2,0,4,0,0,0,2,0,0,0,0,930,34,930
