읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,49151,32975,2954,1372,18674,2531,150,851,38,848,80,2154,53,22,37,133,21,22,232,16,27,29,24,4,21,17,77,13,97,18,18,49,52,17,79,30,67,30827,2148,16176
거소·선상투표,,277,260,44,16,114,10,2,3,2,9,1,6,2,1,0,4,0,0,1,2,0,1,2,0,1,0,2,0,0,0,0,0,0,2,0,0,1,226,34,17
관외사전투표,,3000,3000,283,169,1495,284,3,47,3,114,0,316,14,4,1,18,1,2,12,3,2,3,3,0,3,1,12,3,26,1,9,9,7,0,4,5,2,2859,141,0
재외투표,,104,25,1,3,10,2,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,79
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고창읍,소계,15943,10244,879,437,6005,873,28,164,8,319,17,783,10,0,4,44,3,2,89,1,6,5,5,0,4,7,33,4,46,2,1,13,4,2,18,7,8,9831,413,5699
,관내사전투표,4936,4935,410,201,2882,463,11,72,3,131,4,481,5,0,1,17,2,1,24,0,0,0,2,0,2,2,15,0,23,0,1,1,2,0,4,5,0,4765,170,1
,고창읍제1투,1302,614,51,38,346,42,7,15,0,21,2,37,1,0,0,3,0,0,12,0,5,1,0,0,1,2,4,1,3,0,0,1,0,0,0,0,1,594,20,688
,고창읍제2투,1601,784,73,33,472,67,1,9,0,26,2,51,0,0,0,7,1,0,0,0,1,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,752,32,817
,고창읍제3투,1637,795,68,25,468,69,2,11,1,18,1,48,2,0,0,3,0,1,12,0,0,1,1,0,0,2,0,0,4,1,0,4,1,0,4,1,1,749,46,842
,고창읍제4투,1235,615,69,30,346,37,1,10,0,35,2,33,1,0,1,0,0,0,7,0,0,1,0,0,1,0,4,0,1,0,0,2,0,0,3,0,3,587,28,620
,고창읍제5투,1208,551,50,53,294,33,2,7,1,21,2,32,0,0,1,0,0,0,9,0,0,2,1,0,0,1,1,0,2,0,0,3,0,1,1,0,1,518,33,657
,고창읍제6투,1586,810,72,22,490,65,0,20,3,29,2,48,0,0,0,3,0,0,11,1,0,0,0,0,0,0,1,0,3,1,0,1,1,1,1,0,2,777,33,776
,고창읍제7투,2438,1140,86,35,707,97,4,20,0,38,2,53,1,0,1,11,0,0,14,0,0,0,1,0,0,0,5,1,7,0,0,1,0,0,5,0,0,1089,51,1298
고수면,소계,2132,1454,115,55,801,127,13,30,1,41,3,92,5,1,1,6,4,2,9,0,2,1,1,0,0,1,1,2,5,0,0,3,2,2,5,1,5,1337,117,678
,관내사전투표,835,835,69,34,453,78,7,14,1,28,1,68,3,0,1,4,3,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,1,1,0,0,0,773,62,0
,고수면투표소,1297,619,46,21,348,49,6,16,0,13,2,24,2,1,0,2,1,1,8,0,2,1,1,0,0,1,1,1,1,0,0,3,1,1,5,1,5,564,55,678
아산면,소계,2445,1613,177,76,814,120,13,80,4,33,4,111,3,3,2,6,3,1,10,1,2,1,3,0,0,1,2,0,2,0,0,0,4,2,5,0,4,1487,126,832
,관내사전투표,785,785,71,40,385,66,8,39,3,15,1,72,1,1,0,1,2,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,0,3,722,63,0
,아산면제1투,1086,512,73,17,267,33,0,28,1,9,2,24,2,1,1,4,1,0,4,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,472,40,574
,아산면제2투,574,316,33,19,162,21,5,13,0,9,1,15,0,1,1,1,0,0,2,1,1,0,2,0,0,0,0,0,1,0,0,0,3,1,1,0,0,293,23,258
무장면,소계,2490,1605,151,66,898,133,6,53,2,25,7,93,2,0,6,5,0,2,10,1,1,1,0,0,0,0,0,0,3,0,1,3,3,0,2,0,3,1477,128,885
,관내사전투표,756,756,61,36,444,64,0,26,1,16,3,47,0,0,4,2,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,714,42,0
,무장면투표소,1734,849,90,30,454,69,6,27,1,9,4,46,2,0,2,3,0,1,8,0,1,1,0,0,0,0,0,0,2,0,0,3,1,0,1,0,2,763,86,885
공음면,소계,2231,1462,129,47,880,99,11,57,1,26,4,70,2,2,2,2,0,1,3,2,0,2,1,0,1,0,4,0,2,1,1,1,2,0,1,2,3,1359,103,769
,관내사전투표,718,718,63,29,438,54,7,26,0,13,0,38,1,2,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,2,1,683,35,0
,공음면제1투,866,408,31,7,232,24,3,23,0,8,3,21,1,0,1,1,0,0,1,1,0,1,1,0,1,0,3,0,0,0,1,0,2,0,1,0,2,369,39,458
,공음면제2투,647,336,35,11,210,21,1,8,1,5,1,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,307,29,311
상하면,소계,2144,1398,122,38,788,105,5,50,2,24,7,81,1,3,5,8,0,2,5,1,3,1,1,0,1,0,2,1,2,2,1,0,4,5,4,1,6,1281,117,746
,관내사전투표,668,668,58,19,356,59,1,25,1,16,2,54,1,3,3,1,0,0,3,1,0,1,1,0,0,0,1,1,1,0,1,0,2,4,1,1,3,620,48,0
,상하면투표소,1476,730,64,19,432,46,4,25,1,8,5,27,0,0,2,7,0,2,2,0,3,0,0,0,1,0,1,0,1,2,0,0,2,1,3,0,3,661,69,746
해리면,소계,2582,1632,160,52,975,117,14,15,1,28,9,84,1,2,3,5,1,1,13,1,1,1,1,0,2,1,1,0,4,2,0,3,5,0,3,0,6,1512,120,950
,관내사전투표,830,830,81,19,501,63,4,10,0,13,3,54,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,1,0,2,0,2,761,69,0
,해리면제1투,1016,434,40,18,247,31,4,4,0,8,3,16,0,1,0,3,0,1,12,0,1,0,1,0,1,0,1,0,4,0,0,1,4,0,1,0,3,405,29,582
,해리면제2투,736,368,39,15,227,23,6,1,1,7,3,14,1,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,346,22,368
성송면,소계,1639,1074,111,47,609,63,7,17,1,18,2,64,2,0,0,4,2,1,8,0,0,2,1,0,2,2,1,0,0,2,1,3,1,0,4,1,2,978,96,565
,관내사전투표,486,486,44,27,281,30,4,10,1,12,0,37,1,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,458,28,0
,성송면제1투,666,351,41,10,199,17,2,7,0,4,1,11,1,0,0,3,0,0,5,0,0,1,1,0,1,2,1,0,0,2,1,1,0,0,2,1,1,315,36,315
,성송면제2투,487,237,26,10,129,16,1,0,0,2,1,16,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,205,32,250
대산면,소계,3050,1942,169,59,1198,123,9,32,1,41,8,81,2,3,4,9,1,4,12,0,4,3,1,2,2,0,2,1,1,2,1,1,5,2,10,4,3,1800,142,1108
,관내사전투표,872,872,73,24,564,56,3,13,0,14,3,53,0,1,3,3,0,1,2,0,2,1,0,1,1,0,0,0,0,0,0,0,1,1,4,1,0,825,47,0
,대산면제1투,1299,591,49,16,353,35,2,10,0,19,3,21,0,2,0,4,1,1,10,0,0,2,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,540,51,708
,대산면제2투,879,479,47,19,281,32,4,9,1,8,2,7,2,0,1,2,0,2,0,0,2,0,0,0,0,0,2,1,0,1,0,0,3,0,5,2,2,435,44,400
심원면,소계,2273,1477,110,55,873,114,11,22,2,44,3,71,2,0,2,3,3,0,8,2,2,1,0,0,2,0,8,0,0,0,1,2,0,0,3,2,6,1352,125,796
,관내사전투표,753,753,52,29,438,58,6,14,2,19,2,40,2,0,2,1,3,0,6,1,2,0,0,0,1,0,3,0,0,0,0,0,0,0,1,1,3,686,67,0
,심원면투표소,1520,724,58,26,435,56,5,8,0,25,1,31,0,0,0,2,0,0,2,1,0,1,0,0,1,0,5,0,0,0,1,2,0,0,2,1,3,666,58,796
흥덕면,소계,2818,1869,161,89,1044,103,7,95,2,53,3,92,1,0,1,6,1,2,15,0,0,2,0,0,1,2,1,2,2,3,1,4,5,0,8,2,6,1714,155,949
,관내사전투표,954,954,73,42,569,53,4,34,0,34,1,58,0,0,1,4,0,1,8,0,0,2,0,0,1,0,0,0,1,1,0,1,2,0,2,1,2,895,59,0
,흥덕면제1투,1011,499,52,31,257,26,1,38,1,9,2,23,0,0,0,1,0,0,6,0,0,0,0,0,0,2,1,2,1,1,0,1,2,0,3,1,0,461,38,512
,흥덕면제2투,853,416,36,16,218,24,2,23,1,10,0,11,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,3,0,4,358,58,437
성내면,소계,1735,1157,119,66,572,62,8,112,2,25,3,42,3,0,2,5,0,1,9,0,2,2,2,1,1,0,3,0,0,1,1,1,4,0,6,3,2,1060,97,578
,관내사전투표,583,583,57,39,291,31,3,44,2,13,0,26,2,0,1,2,0,0,2,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,5,1,1,526,57,0
,성내면제1투,626,314,31,18,143,18,3,37,0,5,2,10,0,0,0,1,0,1,6,0,1,1,2,0,0,0,2,0,0,0,0,1,2,0,0,2,1,287,27,312
,성내면제2투,526,260,31,9,138,13,2,31,0,7,1,6,1,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,247,13,266
신림면,소계,1934,1256,97,40,724,101,5,36,2,21,2,80,1,1,1,2,0,1,12,1,0,2,2,0,1,1,0,0,2,1,0,3,2,0,0,1,3,1145,111,678
,관내사전투표,697,697,54,22,396,56,2,22,1,17,2,54,1,0,0,1,0,0,9,0,0,1,2,0,1,1,0,0,0,1,0,2,2,0,0,0,2,649,48,0
,신림면제1투,687,295,23,11,172,28,3,8,1,2,0,9,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,264,31,392
,신림면제2투,550,264,20,7,156,17,0,6,0,2,0,17,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,232,32,286
부안면,소계,2354,1507,126,57,874,95,8,38,4,27,7,81,2,2,3,6,2,0,14,1,2,1,1,1,0,1,5,0,2,1,0,3,4,2,6,1,7,1384,123,847
