읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,225673,151661,4409,9528,79192,15951,325,2726,173,6806,284,18770,213,46,75,797,87,143,1614,72,66,236,138,25,125,163,671,226,697,47,120,267,131,29,175,67,129,144523,7138,74012
거소·선상투표,,742,694,27,44,294,68,7,12,7,43,4,75,6,0,1,12,1,0,5,1,3,3,0,0,3,3,5,2,1,1,1,0,2,0,1,4,1,637,57,48
관외사전투표,,9603,9602,358,681,4534,1094,16,85,14,558,5,1073,45,7,7,82,5,7,60,10,6,28,23,0,9,17,58,39,102,4,17,19,28,4,13,8,9,9025,577,1
재외투표,,463,97,4,11,48,8,0,0,0,3,0,17,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,97,0,366
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
옥구읍,소계,3368,2484,85,142,1316,218,10,67,3,78,6,355,0,0,4,16,3,1,11,0,1,2,2,0,1,3,8,5,8,0,1,4,3,0,2,1,1,2357,127,884
,관내사전투표,1760,1760,51,103,931,163,8,46,1,44,2,281,0,0,2,10,2,1,5,0,1,2,2,0,1,1,5,3,4,0,1,2,2,0,1,0,1,1676,84,0
,옥구읍투표소,1608,724,34,39,385,55,2,21,2,34,4,74,0,0,2,6,1,0,6,0,0,0,0,0,0,2,3,2,4,0,0,2,1,0,1,1,0,681,43,884
옥산면,소계,4320,3156,79,182,1588,344,3,73,3,118,5,534,4,1,2,14,1,6,39,0,2,7,1,1,1,0,9,4,2,0,3,5,0,0,4,4,3,3042,114,1164
,관내사전투표,2093,2093,49,110,1073,219,0,51,2,83,4,375,4,0,1,9,1,2,13,0,2,5,0,1,0,0,7,3,2,0,2,1,0,0,2,2,3,2026,67,0
,옥산면투표소,2227,1063,30,72,515,125,3,22,1,35,1,159,0,1,1,5,0,4,26,0,0,2,1,0,1,0,2,1,0,0,1,4,0,0,2,2,0,1016,47,1164
회현면,소계,2726,2045,76,111,981,241,7,59,5,63,7,211,4,1,4,9,0,2,9,3,1,5,3,1,1,2,14,2,3,0,3,2,4,0,7,1,7,1849,196,681
,관내사전투표,1391,1391,56,68,668,160,4,41,4,38,5,158,4,0,4,1,0,0,7,1,1,2,0,0,0,1,9,1,3,0,3,1,0,0,4,0,5,1249,142,0
,회현면투표소,1335,654,20,43,313,81,3,18,1,25,2,53,0,1,0,8,0,2,2,2,0,3,3,1,1,1,5,1,0,0,0,1,4,0,3,1,2,600,54,681
