읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,74099,48990,2186,2545,27038,5305,208,1478,81,1609,142,3431,62,14,43,268,34,59,567,23,33,54,48,16,43,42,186,53,151,14,36,75,48,12,72,46,83,46105,2885,25109
거소·선상투표,,503,453,34,30,206,27,5,13,1,14,4,23,2,1,0,7,0,1,4,0,3,0,1,1,3,1,2,1,0,1,2,0,0,0,1,1,1,390,63,50
관외사전투표,,4530,4528,221,256,2321,584,8,59,4,216,6,450,14,1,6,44,2,4,23,1,2,6,7,0,4,4,11,10,29,2,4,13,6,0,2,9,3,4332,196,2
재외투표,,149,41,0,9,14,4,1,0,0,1,1,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,41,0,108
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
만경읍,소계,2427,1675,86,86,937,176,13,63,3,47,4,99,3,0,3,7,2,3,17,2,1,2,0,1,1,2,6,2,1,1,1,3,2,0,2,2,3,1581,94,752
,관내사전투표,887,887,33,36,503,100,5,39,0,25,2,65,1,0,2,3,1,1,11,1,1,2,0,1,0,0,2,1,1,0,1,0,1,0,1,0,1,840,47,0
,만경읍제1투,708,374,25,20,214,30,6,9,3,14,1,12,2,0,0,2,0,0,4,0,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,1,1,351,23,334
,만경읍제2투,832,414,28,30,220,46,2,15,0,8,1,22,0,0,1,2,1,2,2,1,0,0,0,0,1,1,1,0,0,1,0,2,0,0,1,1,1,390,24,418
죽산면,소계,2160,1378,65,57,783,135,9,57,3,31,6,60,1,0,1,5,3,1,12,0,1,2,3,0,2,0,7,1,1,1,2,1,0,0,3,3,5,1261,117,782
,관내사전투표,788,788,36,36,454,81,3,30,2,20,3,37,0,0,0,2,1,0,0,0,1,2,2,0,1,0,4,1,1,1,1,0,0,0,1,2,2,724,64,0
,죽산면투표소,1372,590,29,21,329,54,6,27,1,11,3,23,1,0,1,3,2,1,12,0,0,0,1,0,1,0,3,0,0,0,1,1,0,0,2,1,3,537,53,782
백산면,소계,2256,1418,76,69,764,130,4,73,3,50,7,97,2,0,4,2,1,2,13,1,1,3,1,2,2,2,4,0,1,1,0,2,1,0,1,3,2,1324,94,838
,관내사전투표,663,662,26,31,358,60,3,35,2,21,2,59,1,0,2,0,1,1,4,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,1,614,48,1
,백산면제1투,909,407,23,19,208,40,0,29,1,18,2,22,1,0,2,1,0,1,6,0,0,3,0,0,1,0,3,0,1,1,0,2,0,0,0,0,1,385,22,502
,백산면제2투,684,349,27,19,198,30,1,9,0,11,3,16,0,0,0,1,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,325,24,335
용지면,소계,3121,1967,95,95,1061,204,11,90,8,53,9,121,2,0,4,7,3,3,27,0,2,1,2,0,1,0,7,4,3,0,1,2,2,0,3,1,5,1827,140,1154
,관내사전투표,1088,1088,49,49,604,100,8,52,4,21,5,78,1,0,1,2,0,1,7,0,1,0,2,0,1,0,4,4,3,0,0,0,2,0,2,0,3,1004,84,0
,용지면투표소,2033,879,46,46,457,104,3,38,4,32,4,43,1,0,3,5,3,2,20,0,1,1,0,0,0,0,3,0,0,0,1,2,0,0,1,1,2,823,56,1154
백구면,소계,3306,2119,75,107,1285,201,9,55,2,64,6,110,1,1,1,6,0,2,33,0,0,0,2,1,1,1,5,1,4,0,3,4,0,1,3,4,2,1990,129,1187
,관내사전투표,1088,1088,33,49,679,103,4,31,1,32,5,66,1,1,0,2,0,1,6,0,0,0,2,0,1,0,2,0,1,0,1,1,0,0,1,2,0,1025,63,0
,백구면제1투,1151,547,20,34,315,56,4,12,1,13,0,19,0,0,1,3,0,1,20,0,0,0,0,1,0,1,2,0,3,0,1,0,0,1,1,1,0,510,37,604
,백구면제2투,1067,484,22,24,291,42,1,12,0,19,1,25,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,1,1,2,455,29,583
부량면,소계,1178,785,38,30,407,89,7,37,2,26,3,60,1,0,1,2,0,3,6,0,1,0,2,0,1,1,0,0,2,0,0,1,0,0,2,0,2,724,61,393
,관내사전투표,414,414,20,10,217,55,1,21,1,11,2,36,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,1,385,29,0
,부량면투표소,764,371,18,20,190,34,6,16,1,15,1,24,1,0,1,2,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,339,32,393
공덕면,소계,2258,1433,58,94,825,163,10,31,1,36,4,89,0,1,3,6,0,1,12,0,0,2,2,0,2,0,2,0,2,1,2,5,1,1,0,1,1,1356,77,825
,관내사전투표,704,704,25,44,422,78,4,15,1,21,2,54,0,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,676,28,0
,공덕면투표소,1554,729,33,50,403,85,6,16,0,15,2,35,0,1,3,6,0,0,8,0,0,1,2,0,2,0,1,0,0,1,2,4,1,1,0,1,1,680,49,825
청하면,소계,1560,1078,52,48,623,88,3,52,3,32,6,60,0,0,1,5,1,0,13,3,0,3,0,0,1,1,1,2,2,0,0,0,0,0,3,2,2,1007,71,482
,관내사전투표,565,565,30,19,352,41,1,29,1,16,2,38,0,0,1,3,0,0,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,544,21,0
,청하면투표소,995,513,22,29,271,47,2,23,2,16,4,22,0,0,0,2,1,0,8,3,0,2,0,0,1,1,1,1,1,0,0,0,0,0,1,1,2,463,50,482
성덕면,소계,1573,1017,47,49,508,126,3,71,5,30,3,50,0,0,0,4,0,1,8,0,0,2,0,3,0,0,8,1,1,1,1,2,0,2,1,1,3,931,86,556
,관내사전투표,529,529,22,20,269,76,1,35,3,17,3,31,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0,1,1,1,2,0,1,0,1,2,493,36,0
,성덕면투표소,1044,488,25,29,239,50,2,36,2,13,0,19,0,0,0,3,0,1,7,0,0,1,0,2,0,0,5,1,0,0,0,0,0,1,1,0,1,438,50,556
진봉면,소계,2236,1427,51,76,784,147,8,69,4,28,9,75,3,0,1,9,1,1,22,3,1,0,1,1,1,2,5,0,1,0,0,1,2,1,4,1,2,1314,113,809
,관내사전투표,664,662,18,37,367,79,4,29,4,14,4,43,2,0,0,3,0,0,9,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,3,0,1,622,40,2
,진봉면제1투,1010,432,16,19,221,39,2,22,0,10,3,22,1,0,0,5,1,0,10,2,1,0,1,0,0,2,2,0,1,0,0,0,2,0,1,1,1,385,47,578
,진봉면제2투,562,333,17,20,196,29,2,18,0,4,2,10,0,0,1,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,307,26,229
금구면,소계,4183,2620,114,107,1477,305,13,63,2,64,3,212,2,1,0,17,1,5,33,1,5,3,0,0,2,1,17,2,5,1,2,4,2,1,4,2,6,2477,143,1563
,관내사전투표,1218,1218,50,48,708,159,2,17,0,24,1,125,1,1,0,6,1,1,7,0,1,0,0,0,1,0,8,1,1,1,1,0,0,0,0,0,1,1166,52,0
,금구면제1투,1499,653,28,31,337,63,5,21,2,26,0,46,0,0,0,7,0,0,16,1,2,2,0,0,0,1,5,1,2,0,0,3,2,1,3,1,1,607,46,846
,금구면제2투,750,362,16,13,192,49,4,19,0,9,1,19,0,0,0,1,0,0,5,0,2,1,0,0,1,0,3,0,1,0,0,0,0,0,1,0,3,340,22,388
,금구면제3투,716,387,20,15,240,34,2,6,0,5,1,22,1,0,0,3,0,4,5,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,364,23,329
봉남면,소계,1948,1269,51,72,689,127,7,75,1,33,3,73,0,0,0,5,1,1,4,0,4,0,1,0,1,1,8,1,0,0,0,1,2,0,4,2,2,1169,100,679
,관내사전투표,592,592,30,31,336,58,1,32,0,16,0,36,0,0,0,0,1,0,2,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,550,42,0
