읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,24851,18586,912,828,10006,1601,377,985,41,557,58,1215,29,17,25,82,26,13,158,8,14,22,35,8,13,17,67,18,47,8,23,33,22,10,39,40,64,17418,1168,6265
거소·선상투표,,193,179,11,10,112,13,1,3,0,5,2,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,168,11,14
관외사전투표,,2044,2044,83,113,1086,230,9,53,2,111,2,202,4,0,3,9,1,0,20,1,1,3,9,2,0,1,10,2,10,0,5,2,2,0,1,1,2,1980,64,0
재외투표,,66,15,0,4,5,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,51
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
순창읍,소계,7663,5449,237,219,3098,458,85,263,11,173,16,422,11,12,6,26,1,4,47,4,2,5,13,0,6,5,27,4,19,4,5,9,4,1,6,10,11,5224,225,2214
,관내사전투표,2854,2854,114,108,1689,227,35,135,6,82,2,240,6,3,4,9,0,3,11,2,2,3,11,0,3,2,13,2,9,1,2,0,1,1,0,3,4,2733,121,0
,순창읍제1투,1417,711,33,25,402,67,11,30,2,24,2,50,2,3,0,3,0,1,9,0,0,0,2,0,0,1,3,1,4,1,0,0,0,0,2,0,2,680,31,706
,순창읍제2투,1746,947,39,33,518,81,12,56,2,36,5,77,3,2,1,6,0,0,11,1,0,1,0,0,0,0,4,1,4,1,2,4,1,0,1,2,2,906,41,799
