읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,78130,54022,2477,2890,27723,6989,900,844,76,2028,98,4449,73,17,48,277,40,46,649,17,31,102,104,13,50,60,206,74,230,21,46,130,58,15,78,51,114,51024,2998,24108
거소·선상투표,,272,251,16,23,114,18,4,3,1,15,0,13,1,2,1,1,0,0,8,0,0,1,0,1,2,1,0,0,1,0,2,0,0,1,1,0,1,231,20,21
관외사전투표,,6781,6776,329,393,3314,973,25,63,12,328,4,726,21,2,4,41,3,5,55,1,4,14,23,0,6,15,29,12,52,1,5,15,11,2,5,9,9,6511,265,5
재외투표,,163,36,2,7,18,0,0,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,1,127
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
삼례읍,소계,11611,7245,330,363,3884,874,117,73,5,257,16,562,11,4,2,42,3,5,85,1,8,8,8,2,6,8,22,12,29,1,4,11,9,1,8,12,14,6797,448,4366
,관내사전투표,3434,3434,132,156,1903,408,52,29,0,122,9,312,7,2,1,16,1,1,13,1,3,4,3,1,1,3,6,4,14,1,1,1,2,1,2,5,7,3224,210,0
,삼례읍제1투,2303,970,45,61,489,118,17,11,0,40,1,72,2,0,0,10,0,2,11,0,3,0,1,0,1,1,4,3,5,0,2,4,2,0,2,3,0,910,60,1333
,삼례읍제2투,2036,1006,58,45,521,119,17,12,0,32,4,69,2,0,0,6,1,1,24,0,0,0,3,1,2,2,3,1,2,0,0,2,3,0,1,1,4,936,70,1030
,삼례읍제3투,2130,1003,50,53,552,123,13,6,3,35,0,56,0,1,1,7,0,0,22,0,1,2,0,0,0,1,4,1,3,0,1,4,2,0,2,1,1,945,58,1127
,삼례읍제4투,1708,832,45,48,419,106,18,15,2,28,2,53,0,1,0,3,1,1,15,0,1,2,1,0,2,1,5,3,5,0,0,0,0,0,1,2,2,782,50,876
봉동읍,소계,18749,12205,475,585,6231,1771,151,230,16,500,19,1035,12,3,13,61,8,5,145,5,5,34,17,3,10,12,51,16,56,5,12,31,17,1,23,11,17,11586,619,6544
,관내사전투표,5445,5443,186,224,2880,770,74,88,6,182,6,556,8,0,5,22,2,1,27,2,4,11,6,1,0,4,21,6,20,3,6,8,7,0,14,6,8,5164,279,2
,봉동읍제1투,2299,1063,47,53,560,111,18,27,4,44,3,58,0,0,1,7,2,1,19,0,0,4,1,0,3,1,7,5,4,0,2,1,2,0,2,1,3,991,72,1236
,봉동읍제2투,3070,1449,73,65,739,186,16,34,5,57,4,88,1,0,3,7,0,1,31,3,0,3,2,1,2,2,10,1,11,1,1,7,2,0,2,3,1,1362,87,1621
,봉동읍제3투,834,419,19,21,249,54,10,6,0,7,0,15,0,0,1,2,2,1,2,0,0,0,1,0,1,2,0,0,0,0,0,4,0,0,1,0,1,399,20,415
,봉동읍제4투,1364,610,23,39,281,102,10,19,0,23,1,40,0,0,0,2,2,0,12,0,0,4,0,1,0,0,2,0,6,0,0,7,1,1,1,0,0,577,33,754
,봉동읍제5투,2719,1625,63,91,764,283,12,22,1,103,4,145,3,1,1,7,0,1,22,0,0,8,4,0,1,1,3,2,9,0,1,1,2,0,1,0,1,1557,68,1094
,봉동읍제6투,3018,1596,64,92,758,265,11,34,0,84,1,133,0,2,2,14,0,0,32,0,1,4,3,0,3,2,8,2,6,1,2,3,3,0,2,1,3,1536,60,1422
용진읍,소계,5764,3886,210,187,2051,450,100,59,6,108,12,308,6,1,1,18,2,1,59,3,0,10,5,0,0,2,16,6,11,2,4,2,1,1,7,4,5,3658,228,1878
,관내사전투표,1581,1581,62,65,826,201,49,32,4,45,3,144,3,0,0,4,0,0,15,1,0,8,3,0,0,1,6,0,1,2,1,0,0,1,2,2,4,1485,96,0
,용진읍제1투,810,482,24,18,251,56,16,6,0,15,2,32,2,0,1,0,1,1,9,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,1,0,0,443,39,328
,용진읍제2투,1011,615,43,29,348,52,8,9,0,15,3,49,0,0,0,4,1,0,19,0,0,2,1,0,0,1,2,2,1,0,2,0,0,0,2,0,0,593,22,396
,용진읍제3투,959,565,48,34,304,52,14,2,2,17,2,40,1,0,0,6,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,1,0,531,34,394
,용진읍제4투,1403,643,33,41,322,89,13,10,0,16,2,43,0,1,0,4,0,0,13,2,0,0,1,0,0,0,6,1,3,0,0,2,0,0,2,1,1,606,37,760
상관면,소계,3498,2325,88,131,1283,246,38,35,3,94,6,187,1,2,3,8,1,1,31,0,3,1,3,2,4,0,8,5,5,0,5,6,2,1,4,1,1,2209,116,1173
,관내사전투표,1250,1250,36,70,725,119,13,18,2,47,4,122,1,2,1,5,0,0,7,0,1,0,2,1,1,0,4,4,1,0,3,1,2,0,2,1,0,1195,55,0
,상관면제1투,1708,792,39,47,404,94,14,14,1,36,1,50,0,0,1,3,1,1,18,0,2,1,1,1,2,0,4,1,3,0,2,3,0,0,1,0,1,746,46,916
,상관면제2투,540,283,13,14,154,33,11,3,0,11,1,15,0,0,1,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,268,15,257
이서면,소계,9924,6272,282,352,3245,894,51,105,3,272,6,559,5,1,1,26,1,5,65,0,1,4,13,0,9,6,24,5,34,2,1,14,7,2,4,2,2,6003,269,3652
,관내사전투표,2535,2535,103,127,1358,344,24,43,1,78,3,280,4,0,1,17,0,2,9,0,1,2,1,0,6,1,10,0,8,0,0,4,4,0,2,0,2,2435,100,0
,이서면제1투,1611,706,30,43,381,96,14,17,0,24,2,32,0,0,0,0,1,0,11,0,0,1,1,0,2,0,3,0,1,2,0,1,1,1,1,0,0,665,41,905
,이서면제2투,2605,1308,66,71,636,211,10,32,2,47,0,100,1,0,0,2,0,2,22,0,0,0,3,0,0,3,6,4,8,0,0,4,1,1,1,1,0,1234,74,1297
,이서면제3투,3173,1723,83,111,870,243,3,13,0,123,1,147,0,1,0,7,0,1,23,0,0,1,8,0,1,2,5,1,17,0,1,5,1,0,0,1,0,1669,54,1450
소양면,소계,5228,3449,168,196,1878,333,84,32,4,116,7,267,3,0,8,19,5,6,48,2,4,2,8,0,2,3,13,2,6,1,2,3,2,2,7,0,7,3240,209,1779
,관내사전투표,1548,1548,69,79,850,162,37,14,0,47,6,132,1,0,3,8,0,2,10,1,2,1,5,0,1,2,5,1,3,1,2,0,0,0,3,0,3,1450,98,0
,소양면제1투,1005,461,22,32,262,41,5,1,1,21,0,32,2,0,0,2,0,1,6,0,0,1,0,0,0,0,4,0,2,0,0,1,2,0,1,0,1,440,21,544
,소양면제2투,952,581,33,24,311,54,21,3,0,16,0,45,0,0,0,4,2,1,14,0,1,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,2,537,44,371
,소양면제3투,725,354,18,18,184,30,9,7,1,11,1,26,0,0,0,4,1,1,16,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,2,0,0,335,19,371
,소양면제4투,998,505,26,43,271,46,12,7,2,21,0,32,0,0,5,1,2,1,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,1,478,27,493
구이면,소계,4768,3343,231,161,1651,431,77,45,12,131,7,249,4,0,1,14,2,4,42,1,1,5,6,1,2,3,10,4,14,3,5,33,1,1,4,3,15,3174,169,1425
,관내사전투표,1509,1509,92,69,744,217,30,12,6,46,3,164,2,0,1,1,2,1,13,1,0,4,4,0,0,0,3,0,5,0,2,7,0,0,2,0,6,1437,72,0
,구이면제1투,1298,710,70,42,332,84,14,5,4,37,1,28,1,0,0,5,0,2,11,0,0,1,1,0,1,2,0,0,3,1,2,24,0,0,0,2,7,680,30,588
