읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,25340,18131,791,877,10000,1987,441,246,49,599,71,1215,16,9,26,88,18,11,154,9,9,28,28,7,16,20,61,30,46,7,20,33,24,10,42,29,54,17071,1060,7209
거소·선상투표,,146,136,10,7,65,13,2,1,1,3,0,15,2,0,1,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,127,9,10
관외사전투표,,2445,2445,109,132,1273,334,12,35,5,124,4,256,3,0,0,11,0,0,21,3,1,3,2,0,1,1,9,7,11,0,1,4,4,0,0,1,2,2369,76,0
재외투표,,72,8,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,64
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
임실읍,소계,5792,3928,132,229,2155,445,73,49,12,164,12,274,3,3,4,17,4,1,30,1,3,10,12,3,3,3,14,7,18,3,7,4,3,1,10,9,6,3724,204,1864
,관내사전투표,2168,2168,75,124,1182,240,42,22,7,89,5,184,2,0,3,9,2,0,11,0,2,8,9,2,2,1,6,2,10,2,2,1,1,0,4,5,3,2057,111,0
,임실읍제1투,1350,615,16,50,351,57,6,6,1,29,0,34,1,0,0,4,0,1,7,0,1,1,0,1,1,1,3,3,2,1,1,2,1,1,1,1,0,584,31,735
,임실읍제2투,1265,644,25,31,347,96,11,11,2,21,2,33,0,2,1,2,1,0,7,1,0,1,1,0,0,1,2,2,3,0,2,1,0,0,4,1,2,613,31,621
,임실읍제3투,1009,501,16,24,275,52,14,10,2,25,5,23,0,1,0,2,1,0,5,0,0,0,2,0,0,0,3,0,3,0,2,0,1,0,1,2,1,470,31,508
청웅면,소계,1207,865,39,49,462,91,33,9,6,28,7,44,1,1,3,5,3,1,18,0,0,0,2,0,2,0,3,1,1,0,1,2,3,0,1,1,3,820,45,342
