읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,19798,14563,606,867,7539,1658,271,238,42,450,51,1068,20,6,22,89,21,14,125,4,11,29,53,3,18,17,48,19,50,10,16,24,11,9,30,27,56,13522,1041,5235
거소·선상투표,,66,63,2,4,39,6,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,5,3
관외사전투표,,1463,1463,67,103,724,212,4,16,4,55,2,134,3,0,1,9,3,4,12,1,0,4,9,0,2,0,3,8,12,0,3,1,0,0,1,2,4,1403,60,0
재외투표,,58,13,0,2,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,0,45
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장수읍,소계,5857,4255,163,255,2223,477,77,62,15,126,12,359,6,2,4,30,5,0,25,2,3,5,16,1,7,1,17,4,14,2,4,10,2,2,8,3,7,3949,306,1602
,관내사전투표,2229,2229,78,115,1196,259,26,22,7,79,5,233,4,0,1,10,1,0,11,0,3,2,8,1,2,0,7,3,8,0,2,2,0,0,3,2,3,2093,136,0
,장수읍제1투,1034,583,24,34,291,57,21,12,2,10,1,42,1,0,1,2,0,0,3,1,0,1,3,0,3,1,5,0,3,1,1,0,1,1,1,0,3,526,57,451
,장수읍제2투,984,547,26,40,286,59,8,17,3,11,1,26,0,1,1,4,2,0,2,0,0,0,2,0,1,0,0,1,0,1,1,2,0,0,1,1,0,497,50,437
,장수읍제3투,1610,896,35,66,450,102,22,11,3,26,5,58,1,1,1,14,2,0,9,1,0,2,3,0,1,0,5,0,3,0,0,6,1,1,3,0,1,833,63,714
산서면,소계,1754,1299,51,49,722,131,27,23,2,34,2,77,2,2,0,3,2,2,13,0,3,4,9,1,0,1,6,0,3,1,1,1,0,2,2,2,13,1191,108,455
,관내사전투표,810,810,29,28,465,81,20,16,1,21,2,46,2,2,0,1,2,2,1,0,2,1,7,1,0,1,3,0,2,0,0,0,0,0,1,0,5,742,68,0
,산서면투표소,944,489,22,21,257,50,7,7,1,13,0,31,0,0,0,2,0,0,12,0,1,3,2,0,0,0,3,0,1,1,1,1,0,2,1,2,8,449,40,455
번암면,소계,2011,1451,60,81,809,127,37,25,2,34,4,67,1,0,6,5,3,2,4,0,2,2,0,0,2,1,5,0,2,0,2,4,1,0,5,1,9,1303,148,560
,관내사전투표,841,841,34,37,485,75,23,12,2,21,1,44,1,0,4,3,2,2,2,0,0,2,0,0,1,0,3,0,2,0,0,0,0,0,2,1,5,764,77,0
,번암면투표소,1170,610,26,44,324,52,14,13,0,13,3,23,0,0,2,2,1,0,2,0,2,0,0,0,1,1,2,0,0,0,2,4,1,0,3,0,4,539,71,560
장계면,소계,3681,2594,104,165,1316,298,48,35,7,97,17,222,2,2,3,23,5,3,16,0,1,3,2,0,3,3,8,2,13,3,1,1,4,0,5,7,6,2425,169,1087
,관내사전투표,1382,1382,57,82,733,148,22,15,2,58,10,118,2,1,2,9,4,2,8,0,1,2,2,0,2,2,6,1,7,1,0,1,1,0,2,3,3,1307,75,0
,장계면제1투,1292,658,25,47,320,72,19,14,3,24,5,47,0,1,0,10,1,0,7,0,0,1,0,0,1,0,1,0,3,2,0,0,1,0,1,2,2,609,49,634
,장계면제2투,1007,554,22,36,263,78,7,6,2,15,2,57,0,0,1,4,0,1,1,0,0,0,0,0,0,1,1,1,3,0,1,0,2,0,2,2,1,509,45,453
천천면,소계,1811,1258,62,85,628,136,23,27,3,29,3,67,2,0,4,8,1,1,35,0,1,1,7,0,0,5,3,2,1,2,1,3,1,1,3,5,6,1156,102,553
,관내사전투표,703,703,39,35,371,84,9,13,0,15,1,46,2,0,2,5,0,0,10,0,0,1,5,0,0,2,2,1,1,1,0,0,0,0,1,0,2,648,55,0
,천천면투표소,1108,555,23,50,257,52,14,14,3,14,2,21,0,0,2,3,1,1,25,0,1,0,2,0,0,3,1,1,0,1,1,3,1,1,2,5,4,508,47,553
계남면,소계,1755,1217,61,68,609,149,28,34,6,33,9,81,2,0,1,5,2,0,19,1,0,5,4,0,2,4,3,0,1,1,1,1,1,2,2,1,7,1143,74,538
,관내사전투표,644,644,39,32,334,76,10,24,2,16,2,50,0,0,1,2,1,0,4,1,0,3,2,0,2,2,3,0,1,0,1,0,0,1,1,0,4,614,30,0
,계남면투표소,1111,573,22,36,275,73,18,10,4,17,7,31,2,0,0,3,1,0,15,0,0,2,2,0,0,2,0,0,0,1,0,1,1,1,1,1,3,529,44,538
계북면,소계,1342,950,36,55,463,121,26,16,3,39,2,56,2,0,3,6,0,2,1,0,1,5,6,1,2,2,3,3,4,1,3,1,2,2,4,6,4,881,69,392
,관내사전투표,483,483,19,27,241,67,12,10,1,25,0,37,0,0,3,2,0,2,0,0,1,1,0,0,0,0,2,1,1,0,1,0,1,0,0,3,4,461,22,0
,계북면투표소,859,467,17,28,222,54,14,6,2,14,2,19,2,0,0,4,0,0,1,0,0,4,6,1,2,2,1,2,3,1,2,1,1,2,4,3,0,420,47,392
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
