읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,311835,203011,10334,11643,109553,26180,332,1339,486,9151,262,19758,233,54,76,1062,77,98,2493,75,74,182,319,17,101,151,543,219,1301,40,123,340,161,19,149,89,145,197179,5832,108824
거소·선상투표,,875,822,61,62,320,72,7,9,9,48,4,54,4,2,3,16,0,0,11,0,0,2,2,0,4,2,1,9,3,1,2,1,1,0,1,0,3,714,108,53
관외사전투표,,27200,27198,1519,1394,13746,3711,28,180,36,1224,25,3145,79,14,13,192,5,13,172,15,17,38,90,6,21,34,81,60,235,4,30,27,30,3,19,29,26,26261,937,2
재외투표,,838,172,3,14,83,22,0,1,0,6,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,169,3,666
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
중앙동,소계,6794,4325,193,401,2313,420,14,21,12,253,7,426,2,3,2,19,1,2,42,2,2,1,8,1,2,6,15,8,22,1,2,9,8,0,2,0,2,4222,103,2469
,관내사전투표,2210,2210,90,220,1192,215,2,5,4,115,4,258,2,0,2,6,1,0,11,1,1,1,3,1,1,3,5,3,10,1,2,3,6,0,0,0,0,2168,42,0
,중앙동제1투,1486,638,28,37,356,59,6,4,5,35,1,58,0,1,0,5,0,2,8,0,1,0,1,0,1,1,4,2,3,0,0,1,1,0,0,0,0,620,18,848
,중앙동제2투,1995,982,47,107,485,98,4,5,1,87,1,77,0,0,0,6,0,0,18,0,0,0,2,0,0,2,6,3,8,0,0,4,0,0,1,0,1,963,19,1013
,중앙동제3투,1103,495,28,37,280,48,2,7,2,16,1,33,0,2,0,2,0,0,5,1,0,0,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,471,24,608
풍남동,소계,4039,2424,112,191,1357,250,6,17,8,90,5,229,2,1,1,14,1,0,16,0,1,4,4,0,0,0,6,3,14,1,0,0,0,0,2,2,4,2341,83,1615
,관내사전투표,1184,1184,52,79,672,129,4,10,1,36,1,137,1,0,0,4,0,0,2,0,0,3,3,0,0,0,3,0,8,0,0,0,0,0,0,1,2,1148,36,0
,풍남동제1투,1328,552,20,57,278,63,2,4,3,27,2,59,0,1,0,3,0,0,6,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,1,0,0,534,18,776
,풍남동제2투,1527,688,40,55,407,58,0,3,4,27,2,33,1,0,1,7,1,0,8,0,1,1,1,0,0,0,1,2,1,1,0,0,0,0,1,1,2,659,29,839
노송동,소계,10412,6248,355,360,3491,751,15,44,29,255,13,488,4,2,7,31,2,3,77,5,4,10,8,0,4,4,20,4,25,1,3,6,6,0,5,1,6,6039,209,4164
,관내사전투표,2555,2553,121,120,1499,292,7,22,13,96,4,241,2,0,5,7,0,1,23,2,4,2,3,0,1,3,8,0,10,1,1,0,0,0,1,1,2,2492,61,2
,노송동제1투,1941,944,72,69,488,121,1,8,2,49,0,64,1,0,1,5,0,1,13,0,0,2,2,0,0,0,4,1,2,0,1,2,1,0,1,0,0,911,33,997
,노송동제2투,1057,446,27,38,232,62,1,1,6,12,1,35,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,433,13,611
,노송동제3투,2051,1049,60,64,550,142,2,5,4,58,3,71,0,1,0,4,1,1,14,3,0,2,1,0,2,0,3,3,8,0,0,3,1,0,1,0,3,1010,39,1002
,노송동제4투,1510,708,42,46,402,74,1,5,4,21,0,42,1,0,1,8,0,0,9,0,0,3,2,0,1,0,4,0,0,0,0,0,2,0,0,0,1,669,39,802
,노송동제5투,1298,548,33,23,320,60,3,3,0,19,5,35,0,1,0,5,1,0,7,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,2,0,0,524,24,750
완산동,소계,4434,2639,99,149,1533,300,12,18,11,99,8,219,2,0,3,10,2,2,41,0,0,0,2,0,3,0,7,2,15,0,1,5,2,0,2,0,6,2553,86,1795
,관내사전투표,1125,1125,34,55,661,145,1,2,5,39,2,118,1,0,1,6,1,1,14,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,1,1094,31,0
,완산동제1투,1759,858,43,54,515,84,6,13,3,21,5,47,0,0,1,3,1,1,7,0,0,0,1,0,3,0,4,1,4,0,0,2,0,0,0,0,4,823,35,901
,완산동제2투,1550,656,22,40,357,71,5,3,3,39,1,54,1,0,1,1,0,0,20,0,0,0,0,0,0,0,3,1,8,0,0,3,2,0,0,0,1,636,20,894
동서학동,소계,5629,3570,191,207,2037,418,4,27,20,146,7,275,3,0,1,10,1,3,31,0,0,2,6,0,3,2,6,5,22,1,1,6,6,0,4,0,7,3452,118,2059
,관내사전투표,1692,1692,76,77,1014,185,3,12,9,61,3,161,3,0,0,5,1,2,6,0,0,1,4,0,2,1,1,3,11,1,0,3,2,0,1,0,3,1651,41,0
,동서학동제1투,1663,762,42,57,437,90,0,3,2,37,4,37,0,0,0,1,0,0,8,0,0,1,1,0,0,0,2,2,7,0,1,1,2,0,2,0,2,739,23,901
,동서학동제2투,832,375,28,29,183,43,0,3,5,20,0,21,0,0,1,1,0,1,6,0,0,0,1,0,0,1,2,0,2,0,0,1,0,0,0,0,1,349,26,457
,동서학동제3투,1442,741,45,44,403,100,1,9,4,28,0,56,0,0,0,3,0,0,11,0,0,0,0,0,1,0,1,0,2,0,0,1,2,0,1,0,1,713,28,701
서서학동,소계,7567,4655,246,214,2685,600,12,59,32,137,10,305,1,2,2,25,1,2,66,1,0,4,5,0,3,1,11,3,26,1,6,8,6,0,3,2,4,4483,172,2912
,관내사전투표,2229,2229,99,85,1352,285,3,24,17,44,5,176,1,1,1,7,1,0,17,0,0,2,4,0,1,1,5,0,11,1,1,2,4,0,3,1,3,2157,72,0
