읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,23032,17900,831,1163,8982,2110,335,201,36,614,75,1322,23,16,20,76,23,14,162,10,16,32,41,6,18,31,70,26,60,10,14,30,26,6,43,21,54,16517,1383,5132
거소·선상투표,,127,115,9,7,42,10,1,1,1,7,1,8,0,0,0,0,0,0,1,0,0,0,1,1,2,0,2,0,0,0,0,1,3,0,0,1,0,99,16,12
관외사전투표,,2472,2471,98,160,1228,342,5,21,2,109,2,265,6,0,1,18,4,0,14,0,3,5,10,0,1,3,10,4,29,0,2,2,4,0,6,2,2,2358,113,1
재외투표,,57,15,0,0,6,1,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,42
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진안읍,소계,8029,5985,260,384,3044,729,94,67,9,189,31,462,4,5,3,23,8,5,52,2,6,12,13,3,7,16,24,10,19,3,5,10,12,1,15,7,16,5550,435,2044
,관내사전투표,3260,3258,151,200,1673,405,40,38,4,96,10,308,2,2,2,15,2,3,17,1,3,4,10,3,4,10,7,4,10,2,1,1,5,0,8,2,6,3049,209,2
,진안읍제1투,1301,738,37,48,368,88,14,6,0,30,3,33,0,0,0,3,1,1,9,0,1,3,2,0,1,0,3,1,5,1,2,4,5,1,1,0,6,677,61,563
,진안읍제2투,1755,1085,40,76,545,118,24,9,3,34,5,74,1,2,0,3,4,0,13,0,1,4,1,0,2,1,9,4,2,0,0,4,1,0,5,3,2,990,95,670
,진안읍제3투,1713,904,32,60,458,118,16,14,2,29,13,47,1,1,1,2,1,1,13,1,1,1,0,0,0,5,5,1,2,0,2,1,1,0,1,2,2,834,70,809
용담면,소계,725,568,31,58,259,54,13,5,1,19,3,28,0,0,0,4,0,0,10,1,0,2,1,0,2,1,4,1,1,0,1,0,1,1,3,0,4,508,60,157
,관내사전투표,296,296,17,33,128,27,7,1,0,11,2,17,0,0,0,3,0,0,1,0,0,1,1,0,1,0,3,0,0,0,0,0,0,1,1,0,0,255,41,0
,용담면투표소,429,272,14,25,131,27,6,4,1,8,1,11,0,0,0,1,0,0,9,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,2,0,4,253,19,157
안천면,소계,876,718,38,66,330,90,20,5,5,35,5,31,1,1,2,3,1,0,3,1,0,2,1,0,0,2,4,1,1,1,1,1,0,0,1,0,3,655,63,158
,관내사전투표,372,372,24,24,171,54,7,4,3,14,1,25,0,1,2,3,0,0,1,1,0,2,1,0,0,1,2,0,0,1,1,0,0,0,0,0,2,345,27,0
,안천면투표소,504,346,14,42,159,36,13,1,2,21,4,6,1,0,0,0,1,0,2,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,1,310,36,158
동향면,소계,1169,936,44,38,466,121,24,2,3,29,5,70,3,0,2,2,2,0,6,0,0,1,4,1,0,0,1,2,0,0,1,2,2,0,2,1,6,840,96,233
,관내사전투표,549,549,25,21,273,78,15,1,2,14,5,47,1,0,1,1,1,0,2,0,0,0,3,1,0,0,1,1,0,0,0,0,1,0,1,1,3,499,50,0
,동향면투표소,620,387,19,17,193,43,9,1,1,15,0,23,2,0,1,1,1,0,4,0,0,1,1,0,0,0,0,1,0,0,1,2,1,0,1,0,3,341,46,233
상전면,소계,693,528,32,24,252,59,9,5,1,25,1,39,2,0,2,0,0,0,9,1,0,2,1,0,0,1,0,1,0,1,0,2,1,0,2,3,2,477,51,165
,관내사전투표,311,311,22,12,153,34,4,1,0,12,1,28,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,273,38,0
,상전면투표소,382,217,10,12,99,25,5,4,1,13,0,11,1,0,1,0,0,0,8,1,0,1,0,0,0,1,0,1,0,1,0,2,1,0,1,3,2,204,13,165
백운면,소계,1582,1169,42,63,620,120,29,14,4,34,3,69,1,5,2,4,1,6,11,1,1,4,3,0,2,2,7,2,4,0,0,2,2,0,4,0,4,1066,103,413
,관내사전투표,625,625,24,34,324,57,15,11,1,21,1,50,0,4,1,4,1,3,9,1,1,2,1,0,1,0,3,0,2,0,0,1,2,0,1,0,2,577,48,0
,백운면투표소,957,544,18,29,296,63,14,3,3,13,2,19,1,1,1,0,0,3,2,0,0,2,2,0,1,2,4,2,2,0,0,1,0,0,3,0,2,489,55,413
성수면,소계,1410,1025,59,48,541,115,26,10,0,19,3,85,2,0,0,6,2,2,16,0,1,1,2,0,0,0,5,1,1,1,0,0,0,0,1,0,6,953,72,385
,관내사전투표,596,596,29,27,319,74,17,8,0,12,3,54,2,0,0,4,2,1,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,4,564,32,0
,성수면투표소,814,429,30,21,222,41,9,2,0,7,0,31,0,0,0,2,0,1,12,0,1,1,2,0,0,0,2,1,0,1,0,0,0,0,1,0,2,389,40,385
마령면,소계,1541,1135,59,76,600,114,34,17,1,41,8,47,0,2,5,3,1,0,9,1,2,0,1,1,0,4,2,2,2,0,0,3,0,2,1,4,1,1043,92,406
,관내사전투표,636,635,33,43,333,65,16,2,0,23,4,32,0,0,2,3,1,0,5,1,1,0,1,1,0,3,1,1,2,0,0,1,0,0,1,1,1,577,58,1
