읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,401789,251339,4993,66893,87261,32049,1591,3017,507,14412,1177,15394,384,90,92,1427,133,169,2361,109,127,416,2324,60,202,866,940,703,1731,68,198,650,368,72,228,228,232,241472,9867,150450
거소·선상투표,,1145,1082,44,243,294,129,20,22,4,69,10,53,7,4,3,19,3,2,4,3,6,2,10,4,5,6,6,8,1,2,5,1,3,0,7,0,4,1003,79,63
관외사전투표,,23248,23198,519,4912,7969,3287,85,272,44,1466,69,1693,98,22,14,205,16,20,152,21,17,54,267,8,28,78,101,101,298,9,58,60,55,7,24,42,27,22098,1100,50
재외투표,,2110,582,13,212,175,44,8,18,1,18,0,42,0,0,1,2,0,1,9,1,6,5,4,0,0,0,8,1,0,0,0,5,0,0,0,0,0,574,8,1528
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
한림읍,소계,17321,9689,215,3052,3003,1173,103,99,37,431,79,507,15,5,0,33,7,9,100,6,3,19,92,4,8,39,41,29,37,4,4,22,16,3,11,12,20,9238,451,7632
,관내사전투표,2996,2996,43,823,1082,406,29,12,6,136,11,231,4,1,0,10,3,3,20,1,1,5,36,0,4,7,12,7,12,0,3,3,1,1,3,1,5,2922,74,0
,한림읍제1투,1343,710,23,257,197,72,11,10,5,27,3,23,1,0,0,0,0,1,4,2,1,1,11,0,0,2,2,5,2,1,0,1,1,1,0,0,0,664,46,633
,한림읍제2투,1122,545,18,192,165,53,7,5,2,29,2,14,2,0,0,2,0,1,7,0,0,1,4,0,0,2,4,0,0,0,0,2,1,0,1,1,0,515,30,577
