읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,45714,28701,920,10773,7730,1917,354,344,89,1331,338,1205,38,20,27,200,16,23,647,17,17,23,33,14,29,82,73,77,110,8,26,93,30,159,38,36,44,26881,1820,17013
거소·선상투표,,73,68,6,26,17,3,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,63,5,5
관외사전투표,,2377,2375,74,711,762,214,13,19,1,148,5,139,6,0,2,17,0,0,32,1,2,3,6,2,0,11,7,11,25,1,7,9,4,23,0,2,2,2259,116,2
재외투표,,113,30,0,8,9,2,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,83
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금산읍,소계,18722,11264,301,4312,3191,807,120,138,33,550,99,517,12,10,6,68,2,6,236,5,4,6,12,1,8,23,23,20,51,3,11,36,13,65,14,11,8,10722,542,7458
,관내사전투표,4148,4148,98,1364,1401,330,35,67,5,209,29,305,5,1,1,25,0,0,36,0,0,1,7,0,3,2,6,6,15,1,4,8,2,16,4,1,3,3990,158,0
,금산읍제1투,2036,886,25,457,172,38,8,6,1,40,11,20,1,0,0,8,0,0,32,0,1,0,1,0,2,7,3,1,3,0,3,3,2,4,1,1,0,851,35,1150
,금산읍제2투,1435,785,22,340,200,36,10,14,3,36,14,24,0,2,0,3,0,1,10,2,0,2,0,0,0,1,4,1,3,0,0,2,0,4,0,1,1,736,49,650
