읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,102942,63413,1982,20832,20221,4662,622,889,168,3322,537,2729,83,31,46,539,62,51,1336,31,35,55,51,22,68,170,201,153,264,28,53,191,44,124,66,58,60,59786,3627,39529
거소·선상투표,,241,218,15,60,68,12,3,1,1,11,4,9,3,0,0,5,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,200,18,23
관외사전투표,,4866,4864,201,1175,1702,468,31,55,9,293,19,295,18,1,4,70,3,4,60,4,1,10,7,1,7,13,15,17,49,3,9,11,8,34,3,3,1,4604,260,2
재외투표,,216,56,2,8,22,4,0,0,0,1,2,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,54,2,160
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강경읍,소계,7489,4334,141,1244,1766,245,35,53,11,204,34,159,2,1,2,35,3,3,98,2,2,7,1,3,6,8,19,10,14,0,2,2,3,6,5,4,2,4132,202,3155
,관내사전투표,1592,1592,46,409,743,90,11,21,5,74,8,78,1,0,1,5,1,0,19,0,0,2,0,2,1,4,4,2,8,0,1,1,0,0,3,2,0,1542,50,0
,강경읍제1투,1116,444,16,146,140,20,6,5,1,21,6,8,0,0,0,3,0,1,23,0,1,0,0,0,2,1,0,0,2,0,0,1,0,1,1,1,0,406,38,672
,강경읍제2투,639,350,8,133,104,16,4,4,0,20,4,4,0,0,0,4,0,0,13,0,0,2,1,0,1,0,2,2,1,0,0,0,0,0,1,0,0,324,26,289
,강경읍제3투,2448,1158,34,315,471,78,8,13,2,60,8,43,0,1,1,13,2,1,25,2,1,2,0,1,2,2,10,3,3,0,0,0,2,3,0,0,0,1106,52,1290
,강경읍제4투,1694,790,37,241,308,41,6,10,3,29,8,26,1,0,0,10,0,1,18,0,0,1,0,0,0,1,3,3,0,0,1,0,1,2,0,1,2,754,36,904
연무읍,소계,11660,6696,217,2033,2239,463,73,109,15,318,45,283,11,2,4,54,7,7,141,3,4,5,7,2,8,19,21,20,24,2,7,24,5,9,8,6,7,6202,494,4964
,관내사전투표,2760,2758,87,796,1010,201,25,29,5,124,23,161,4,1,0,24,2,1,22,1,2,2,2,0,4,6,10,10,12,0,2,2,0,5,2,3,2,2580,178,2
,연무읍제1투,3015,1267,35,398,398,90,12,16,5,56,7,37,5,0,0,12,2,2,48,1,1,2,1,1,2,3,6,3,4,2,1,8,1,2,4,1,0,1166,101,1748
,연무읍제2투,2779,1218,38,391,355,87,12,25,4,73,9,46,2,0,2,11,1,1,37,1,0,0,2,1,1,4,4,3,5,0,2,6,1,1,0,0,1,1126,92,1561
,연무읍제3투,1591,640,25,209,202,37,11,12,1,43,4,12,0,0,0,6,2,0,14,0,0,0,1,0,1,3,0,2,2,0,2,2,2,0,1,1,2,597,43,951
,연무읍제4투,1515,813,32,239,274,48,13,27,0,22,2,27,0,1,2,1,0,3,20,0,1,1,1,0,0,3,1,2,1,0,0,6,1,1,1,1,2,733,80,702
성동면,소계,3812,2299,89,891,636,148,17,31,5,115,28,62,2,2,0,7,2,2,45,1,1,0,0,0,4,4,4,3,3,1,4,10,1,7,0,3,3,2131,168,1513
,관내사전투표,742,742,35,238,241,59,4,10,1,45,2,35,1,0,0,5,0,2,11,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,695,47,0
,성동면제1투,793,344,9,136,72,17,3,10,3,24,2,9,0,0,0,0,0,0,18,1,0,0,0,0,1,1,2,1,1,1,0,0,1,2,0,0,0,314,30,449
,성동면제2투,1051,504,26,201,144,30,4,5,0,19,10,6,1,0,0,0,0,0,9,0,0,0,0,0,1,1,0,1,0,0,1,0,0,3,0,2,2,466,38,547
,성동면제3투,1226,709,19,316,179,42,6,6,1,27,14,12,0,2,0,2,2,0,7,0,1,0,0,0,2,0,2,0,2,0,3,8,0,1,0,1,1,656,53,517
광석면,소계,3890,2405,76,934,672,166,33,23,9,85,29,109,3,3,2,29,6,2,23,0,0,2,1,1,1,5,3,2,7,1,3,10,0,3,4,4,2,2253,152,1485
,관내사전투표,783,783,23,270,250,71,5,6,5,35,7,53,3,0,1,5,1,1,5,0,0,1,0,0,0,3,1,0,1,0,1,2,0,1,0,1,0,752,31,0
,광석면제1투,1280,637,25,275,144,38,9,9,0,15,13,20,0,2,0,13,2,1,6,0,0,1,0,0,1,2,1,2,1,0,2,5,0,0,4,3,1,595,42,643
,광석면제2투,680,384,14,122,131,21,7,3,2,14,0,12,0,0,1,8,2,0,5,0,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,1,350,34,296
