읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,87941,59872,1404,23576,15677,4528,445,756,140,2741,545,2111,89,23,30,409,44,41,1187,38,50,63,66,24,70,181,212,215,304,13,53,179,63,155,60,100,69,55661,4211,28069
거소·선상투표,,361,314,7,163,58,12,4,0,0,13,5,7,0,0,1,6,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,283,31,47
관외사전투표,,4204,4201,123,1155,1343,371,9,52,7,257,20,208,24,0,2,39,1,3,60,1,1,5,13,2,8,13,23,21,57,2,6,9,7,47,3,7,3,3902,299,3
재외투표,,169,31,0,4,12,5,2,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,138
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
웅천읍,소계,5683,3866,93,1792,874,200,34,45,11,139,42,132,2,5,5,26,4,3,58,3,2,3,3,6,7,17,11,13,11,1,5,7,0,10,4,6,6,3580,286,1817
,관내사전투표,1786,1786,38,770,460,104,18,16,6,66,14,89,1,4,1,9,2,2,14,1,0,2,2,2,6,7,6,6,5,0,1,1,0,3,2,2,3,1663,123,0
,웅천읍제1투,1494,764,16,401,143,38,8,8,2,30,5,15,0,0,0,4,1,0,20,0,0,0,0,1,1,4,2,3,3,1,3,4,0,4,1,2,2,722,42,730
,웅천읍제2투,1146,594,20,300,107,31,4,7,2,14,10,10,1,1,2,3,1,0,10,0,0,1,0,2,0,3,1,1,1,0,0,1,0,3,1,2,1,540,54,552
