읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,59625,39373,1154,15605,10472,2696,406,787,149,1640,350,1169,72,15,32,248,27,43,819,24,31,48,59,13,42,97,133,152,166,16,46,106,27,92,51,61,55,36903,2470,20252
거소·선상투표,,245,236,12,92,45,13,5,5,1,8,2,10,2,0,0,3,0,0,3,1,1,0,0,0,0,0,0,2,0,0,2,1,0,4,0,1,0,213,23,9
관외사전투표,,3121,3121,112,879,957,313,15,47,8,198,14,143,13,2,1,35,0,2,51,1,3,3,11,1,8,6,17,23,42,3,10,12,0,27,5,5,8,2975,146,0
재외투표,,143,31,1,5,14,2,0,3,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,112
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부여읍,소계,17214,11220,247,4831,2949,856,100,160,23,525,82,357,19,3,7,81,2,13,205,9,6,8,15,4,4,32,34,36,54,4,5,42,4,12,11,13,12,10765,455,5994
,관내사전투표,4591,4591,84,1740,1440,413,37,75,8,210,23,206,7,2,2,25,0,3,40,2,2,4,7,1,0,15,12,15,28,1,1,12,1,5,5,2,5,4433,158,0
,부여읍제1투,1549,674,18,304,156,51,2,15,0,35,7,12,2,0,0,9,0,3,16,1,1,1,0,0,0,0,3,1,3,0,1,2,0,2,0,0,0,645,29,875
,부여읍제2투,1177,600,13,314,121,23,6,2,1,28,6,15,1,0,0,8,1,0,12,1,0,1,3,0,0,2,3,0,1,0,0,5,0,0,0,1,0,568,32,577
