읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,145241,91890,1875,31142,27682,8914,620,751,221,4778,599,3889,128,34,47,852,50,65,2005,34,36,159,104,16,74,328,341,313,446,36,79,320,92,203,78,87,82,86480,5410,53351
거소·선상투표,,465,437,34,111,83,35,15,5,4,15,4,11,4,1,3,6,1,1,8,0,0,2,0,0,3,3,2,1,1,0,1,2,0,2,0,3,2,363,74,28
관외사전투표,,5968,5967,145,1547,1980,640,26,53,17,342,22,300,37,3,5,68,3,3,81,2,6,13,18,0,16,30,22,35,60,2,11,25,6,44,2,5,6,5575,392,1
재외투표,,256,44,1,7,17,4,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,43,1,212
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대산읍,소계,11618,7032,148,2234,2211,805,36,61,16,371,45,319,12,4,5,45,1,6,101,2,4,11,3,1,8,21,18,21,30,3,5,17,12,13,8,8,7,6612,420,4586
,관내사전투표,2861,2861,59,790,1045,325,8,37,1,174,11,169,8,1,2,16,0,3,27,0,2,6,2,0,2,7,8,10,11,1,2,1,3,4,2,2,0,2739,122,0
,대산읍제1투,2384,946,25,310,261,114,2,11,1,49,8,26,1,1,1,7,0,0,25,0,2,0,0,0,2,0,3,0,7,1,0,6,4,3,0,0,3,873,73,1438
,대산읍제2투,693,383,16,158,83,28,8,1,5,12,2,5,0,0,1,3,0,1,7,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,1,3,1,340,43,310
,대산읍제3투,1016,495,12,178,136,57,5,3,3,30,5,16,0,0,0,6,0,0,5,0,0,1,0,0,0,2,1,3,1,1,1,1,1,0,1,1,0,470,25,521
,대산읍제4투,1436,845,13,202,287,147,1,1,0,51,4,47,2,1,0,4,1,0,11,1,0,3,1,0,1,3,1,1,4,0,0,1,1,0,2,0,1,792,53,591
,대산읍제5투,2209,965,16,382,259,81,8,7,3,36,9,30,1,1,0,7,0,2,20,1,0,0,0,0,2,6,4,5,4,0,1,4,3,5,0,0,2,899,66,1244
,대산읍제6투,1019,537,7,214,140,53,4,1,3,19,6,26,0,0,1,2,0,0,6,0,0,0,0,1,1,1,1,1,2,0,1,4,0,1,2,2,0,499,38,482
인지면,소계,6200,3939,100,1404,1091,360,31,24,8,208,33,130,2,0,2,33,4,3,147,2,2,8,4,2,1,14,16,13,11,0,4,8,9,6,4,4,6,3694,245,2261
,관내사전투표,1724,1724,41,531,567,177,15,15,2,97,12,81,0,0,2,13,2,1,49,1,1,5,1,0,0,7,8,5,4,0,1,1,1,3,2,2,2,1649,75,0
,인지면제1투,2770,1294,35,464,335,128,8,7,3,64,7,25,1,0,0,11,0,2,67,1,1,1,1,0,0,5,6,5,7,0,2,5,6,0,1,1,3,1202,92,1476
,인지면제2투,857,460,15,195,101,34,5,0,1,22,5,6,1,0,0,7,0,0,20,0,0,0,1,1,1,1,0,2,0,0,0,1,0,1,0,1,0,421,39,397
,인지면제3투,849,461,9,214,88,21,3,2,2,25,9,18,0,0,0,2,2,0,11,0,0,2,1,1,0,1,2,1,0,0,1,1,2,2,1,0,1,422,39,388
부석면,소계,4885,2957,77,1230,738,198,45,24,13,80,33,87,2,2,1,22,1,3,70,1,0,3,3,0,4,8,7,7,9,4,4,8,2,6,3,6,2,2703,254,1928
,관내사전투표,897,897,16,376,261,79,4,7,3,28,3,40,0,0,1,8,0,1,16,1,0,2,1,0,2,1,2,2,5,0,0,2,1,1,0,3,0,866,31,0
,부석면제1투,1282,657,24,263,160,40,16,6,3,18,9,12,0,1,0,2,0,0,17,0,0,1,0,0,1,2,2,3,2,1,3,2,0,3,1,1,0,593,64,625
,부석면제2투,1141,564,17,252,130,30,5,2,3,16,8,16,1,1,0,3,0,0,15,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,505,59,577
,부석면제3투,709,370,9,160,68,25,12,1,0,9,8,10,1,0,0,6,0,2,16,0,0,0,0,0,0,0,1,0,2,1,0,1,0,2,1,0,1,336,34,339
,부석면제4투,856,469,11,179,119,24,8,8,4,9,5,9,0,0,0,3,1,0,6,0,0,0,2,0,0,4,2,1,0,2,0,2,1,0,1,1,1,403,66,387
팔봉면,소계,3114,2042,43,864,519,134,24,14,11,68,30,46,5,1,3,14,2,6,29,1,0,4,2,0,1,10,4,16,1,1,3,5,1,6,1,1,2,1872,170,1072
,관내사전투표,777,777,15,283,242,62,6,3,5,29,9,29,2,1,1,6,1,3,8,0,0,2,1,0,1,4,2,8,0,0,1,0,0,3,0,0,1,728,49,0
,팔봉면제1투,1445,768,15,352,175,48,13,7,1,24,10,10,3,0,1,6,1,1,12,1,0,1,1,0,0,3,2,4,1,0,1,1,1,1,0,1,1,698,70,677
,팔봉면제2투,813,456,10,216,87,23,5,4,5,14,11,6,0,0,1,2,0,2,9,0,0,1,0,0,0,3,0,3,0,1,1,3,0,2,1,0,0,410,46,357
,팔봉면제3투,79,41,3,13,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,36,5,38
지곡면,소계,6621,3878,80,1364,1114,341,19,45,9,180,23,143,5,1,2,44,6,2,94,0,0,7,1,0,4,19,25,11,15,0,3,9,4,10,5,3,1,3589,289,2743
,관내사전투표,1327,1327,24,467,413,130,8,16,2,60,7,63,3,0,1,11,2,1,13,0,0,3,0,0,1,6,7,3,5,0,2,0,0,2,1,0,0,1251,76,0
,지곡면제1투,2404,1171,23,516,238,65,11,9,4,36,10,23,0,0,0,8,3,0,35,0,0,2,1,0,2,8,6,6,2,0,0,3,1,4,3,2,1,1022,149,1233
,지곡면제2투,2890,1380,33,381,463,146,0,20,3,84,6,57,2,1,1,25,1,1,46,0,0,2,0,0,1,5,12,2,8,0,1,6,3,4,1,1,0,1316,64,1510
성연면,소계,9938,5958,158,1396,2247,677,26,46,4,385,23,323,6,4,1,61,0,5,101,1,1,17,3,0,5,19,25,26,29,9,3,17,2,11,6,2,2,5641,317,3980
,관내사전투표,2218,2218,44,424,983,245,9,21,1,123,10,167,2,0,1,24,0,0,17,0,0,8,1,0,4,7,9,12,9,1,0,2,1,6,1,0,0,2132,86,0
,성연면제1투,1324,671,20,296,140,37,5,3,3,27,7,15,1,0,0,6,0,0,21,0,1,0,0,0,0,3,2,3,0,7,0,1,1,2,3,1,0,605,66,653
,성연면제2투,3098,1557,38,377,552,200,2,11,0,119,3,71,1,2,0,21,0,1,32,1,0,6,2,0,1,5,6,6,12,1,1,5,0,2,1,0,1,1480,77,1541
,성연면제3투,3298,1512,56,299,572,195,10,11,0,116,3,70,2,2,0,10,0,4,31,0,0,3,0,0,0,4,8,5,8,0,2,9,0,1,1,1,1,1424,88,1786
음암면,소계,7850,4643,82,1659,1294,408,49,62,14,179,51,182,3,0,3,62,4,2,144,1,1,7,4,0,4,15,15,11,25,3,7,25,3,12,6,2,6,4345,298,3207
,관내사전투표,1514,1514,27,497,492,132,22,26,4,69,9,84,0,0,0,16,0,0,17,0,0,2,2,0,2,4,3,4,12,1,3,5,0,3,1,1,2,1440,74,0
,음암면제1투,1852,844,13,362,198,65,7,12,0,21,15,16,1,0,0,9,2,2,19,0,0,1,0,0,0,2,6,1,3,0,1,2,2,1,2,0,1,764,80,1008
,음암면제2투,2315,1116,12,392,292,106,8,12,5,49,14,34,1,0,1,18,1,0,58,0,1,2,2,0,0,3,5,4,4,0,2,11,1,3,3,0,0,1044,72,1199
,음암면제3투,1366,719,12,216,226,78,4,5,3,26,6,32,1,0,0,16,0,0,31,1,0,2,0,0,0,4,0,0,4,2,1,4,0,2,0,1,2,679,40,647
,음암면제4투,803,450,18,192,86,27,8,7,2,14,7,16,0,0,2,3,1,0,19,0,0,0,0,0,2,2,1,2,2,0,0,3,0,3,0,0,1,418,32,353
운산면,소계,4662,2997,64,1284,690,169,28,22,17,84,36,80,3,1,3,21,4,1,112,2,2,7,2,0,3,15,16,12,6,1,0,12,1,7,2,7,4,2718,279,1665
,관내사전투표,1318,1318,29,525,360,83,5,12,7,43,16,47,1,1,0,11,2,1,31,2,0,1,2,0,2,6,7,8,2,1,0,2,0,2,0,1,0,1210,108,0
,운산면제1투,1848,804,14,366,159,49,12,6,6,21,8,23,1,0,1,8,0,0,26,0,1,4,0,0,0,2,2,2,4,0,0,8,1,1,0,1,2,728,76,1044
,운산면제2투,713,422,14,195,70,11,2,3,3,9,6,4,0,0,1,1,1,0,46,0,0,2,0,0,0,1,1,0,0,0,0,2,0,3,0,3,0,378,44,291
,운산면제3투,783,453,7,198,101,26,9,1,1,11,6,6,1,0,1,1,1,0,9,0,1,0,0,0,1,6,6,2,0,0,0,0,0,1,2,2,2,402,51,330
해미면,소계,7067,4530,92,1841,1097,342,65,34,13,196,42,183,3,2,2,46,7,4,87,4,4,7,4,0,4,19,18,18,11,2,4,11,6,13,5,11,5,4202,328,2537
,관내사전투표,2173,2171,48,792,619,194,25,16,4,121,13,117,3,0,0,22,3,3,13,0,1,2,2,0,1,5,7,9,8,1,2,2,2,5,1,2,2,2045,126,2
,해미면제1투,1726,854,15,351,196,51,10,5,7,32,6,30,0,0,0,8,1,0,30,2,0,3,2,0,3,8,5,2,1,1,0,2,1,5,0,2,2,781,73,872
,해미면제2투,1096,550,11,266,83,32,12,8,2,14,10,11,0,1,1,8,1,0,22,0,2,1,0,0,0,2,2,2,0,0,1,5,2,1,2,3,1,506,44,546
,해미면제3투,2072,955,18,432,199,65,18,5,0,29,13,25,0,1,1,8,2,1,22,2,1,1,0,0,0,4,4,5,2,0,1,2,1,2,2,4,0,870,85,1117
고북면,소계,5044,3026,78,1096,901,211,48,21,17,106,31,95,4,3,4,23,3,1,72,0,0,3,1,4,3,14,5,8,7,0,5,18,1,6,5,6,2,2802,224,2018
,관내사전투표,1117,1117,22,376,352,75,15,8,7,34,5,58,0,2,1,13,0,1,20,0,0,1,1,3,2,5,1,6,4,0,1,1,1,1,1,2,0,1019,98,0
,고북면제1투,1557,734,21,332,168,35,16,6,3,18,11,8,1,0,1,4,2,0,17,0,0,1,0,0,1,3,1,2,1,0,2,5,0,3,2,2,2,668,66,823
,고북면제2투,1357,617,14,162,231,67,2,5,0,42,6,16,1,1,0,6,0,0,13,0,0,0,0,0,0,2,3,0,1,0,0,11,0,0,1,1,0,585,32,740
,고북면제3투,1013,558,21,226,150,34,15,2,7,12,9,13,2,0,2,0,1,0,22,0,0,1,0,1,0,4,0,0,1,0,2,1,0,2,1,1,0,530,28,455
