읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,70683,44840,941,18890,9584,2698,535,2413,143,1864,518,1335,64,23,17,306,29,38,1075,27,23,41,49,11,32,92,152,153,188,7,38,137,21,141,42,51,61,41739,3101,25843
거소·선상투표,,126,117,6,37,25,12,0,6,0,7,3,2,0,1,0,2,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,1,0,2,0,0,0,110,7,9
관외사전투표,,3827,3827,86,1189,1113,358,16,68,5,245,14,203,17,4,1,49,0,1,56,2,1,3,12,0,2,5,21,21,44,0,6,9,4,58,2,7,0,3622,205,0
재외투표,,166,38,0,6,15,3,0,1,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,35,3,128
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예산읍,소계,27049,16144,313,6913,3571,1024,192,852,41,769,125,496,24,7,5,103,14,17,428,6,5,14,15,5,4,23,48,55,83,1,16,51,8,27,11,10,14,15290,854,10905
,관내사전투표,4907,4907,94,1859,1361,359,48,263,10,255,24,222,4,3,0,27,3,2,51,1,1,2,5,1,0,4,15,13,34,0,1,8,2,13,2,2,2,4691,216,0
,예산읍제1투,2228,981,17,511,153,46,13,27,0,43,11,19,1,1,0,7,0,0,45,0,1,1,0,0,0,2,5,5,3,0,0,2,0,1,1,1,0,916,65,1247
,예산읍제2투,1255,668,8,358,112,33,11,28,1,22,7,13,1,0,0,2,1,3,22,0,0,3,0,1,0,1,1,3,1,0,0,2,0,1,0,2,2,639,29,587
,예산읍제3투,2307,1272,33,528,298,80,9,43,4,77,10,52,2,1,1,9,4,1,34,1,1,1,2,1,0,1,2,2,4,0,1,4,2,0,0,0,0,1208,64,1035
,예산읍제4투,2557,1266,29,653,189,64,18,34,7,55,19,29,4,1,2,5,0,2,33,1,1,0,1,1,0,1,1,6,6,0,3,8,0,1,2,2,3,1181,85,1291
,예산읍제5투,1716,904,14,441,187,41,12,18,3,38,12,18,1,0,1,8,0,1,39,1,0,1,2,0,1,2,2,6,2,1,1,8,1,1,0,1,0,864,40,812
,예산읍제6투,1980,953,21,383,221,69,11,52,2,58,6,23,5,0,0,6,3,1,29,1,0,1,2,1,0,3,8,3,3,0,2,3,2,1,0,1,0,921,32,1027
,예산읍제7투,2581,1258,16,504,303,88,13,47,2,66,7,34,4,0,0,6,1,0,46,0,0,2,2,0,1,2,6,5,16,0,2,1,1,1,2,1,0,1179,79,1323
,예산읍제8투,2659,1385,34,536,308,128,24,73,3,74,7,46,1,1,0,12,0,0,44,1,0,0,0,0,0,2,4,3,9,0,3,7,0,6,3,0,2,1331,54,1274
,예산읍제9투,1905,1054,18,484,175,46,21,106,3,25,7,8,0,0,1,8,0,3,38,0,0,2,1,0,1,1,0,3,2,0,0,1,0,0,1,0,4,959,95,851
,예산읍제10투,2954,1496,29,656,264,70,12,161,6,56,15,32,1,0,0,13,2,4,47,0,1,1,0,0,1,4,4,6,3,0,3,7,0,2,0,0,1,1401,95,1458
삽교읍,소계,7580,4343,98,1870,913,268,50,153,14,204,72,121,3,1,5,26,2,1,118,4,6,5,10,1,2,15,20,12,21,2,3,11,4,7,1,6,10,4059,284,3237
,관내사전투표,1728,1728,42,792,368,101,22,50,7,62,33,64,2,1,3,11,1,0,24,3,2,2,3,1,1,5,6,5,7,1,1,0,2,4,1,3,2,1632,96,0
,삽교읍제1투,1585,674,16,298,128,30,9,31,3,23,14,13,0,0,2,6,0,0,31,1,1,0,1,0,1,3,5,3,3,0,0,4,1,0,0,1,4,632,42,911
,삽교읍제2투,2055,940,18,324,238,86,7,32,2,86,6,31,0,0,0,4,0,1,24,0,1,2,3,0,0,5,5,2,8,1,1,3,1,2,0,0,0,893,47,1115
,삽교읍제3투,1384,639,12,256,131,38,10,32,1,18,15,7,1,0,0,3,0,0,26,0,2,0,2,0,0,2,3,1,1,0,1,1,0,1,0,2,4,570,69,745
,삽교읍제4투,828,362,10,200,48,13,2,8,1,15,4,6,0,0,0,2,1,0,13,0,0,1,1,0,0,0,1,1,2,0,0,3,0,0,0,0,0,332,30,466
대술면,소계,2388,1572,57,670,295,80,23,130,7,64,11,38,2,0,1,10,1,2,27,2,0,1,0,1,2,4,2,3,1,1,2,4,0,4,3,3,7,1458,114,816
,관내사전투표,866,866,32,386,164,53,13,56,4,40,4,26,2,0,1,7,0,2,6,1,0,1,0,0,2,3,1,0,0,1,1,1,0,1,2,1,4,815,51,0
,대술면투표소,1522,706,25,284,131,27,10,74,3,24,7,12,0,0,0,3,1,0,21,1,0,0,0,1,0,1,1,3,1,0,1,3,0,3,1,2,3,643,63,816
신양면,소계,2827,1798,46,820,332,63,19,112,8,41,39,41,1,1,1,9,1,2,25,1,2,3,0,0,6,5,9,8,4,0,2,7,0,7,0,4,5,1624,174,1029
