읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,221795,134683,3304,35484,44201,16573,674,1146,187,11328,567,7562,201,44,43,1207,60,103,2449,67,56,168,159,22,115,451,393,403,1112,36,111,508,120,253,79,94,97,129377,5306,87112
거소·선상투표,,316,302,20,79,69,19,6,5,4,14,4,13,3,0,1,13,0,1,4,0,0,0,1,0,2,1,5,0,1,0,1,0,1,1,0,1,2,271,31,14
관외사전투표,,12660,12655,360,2971,4176,1553,36,116,31,953,31,937,55,7,5,163,4,14,100,6,9,17,30,3,15,42,34,54,145,2,17,41,22,84,6,15,23,12077,578,5
재외투표,,492,119,0,33,28,15,1,0,0,12,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,115,4,373
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성환읍,소계,21147,12181,331,4440,3325,1107,120,109,22,654,130,475,25,5,4,84,10,11,272,8,5,20,9,4,17,44,28,32,67,3,7,54,7,22,12,13,9,11485,696,8966
,관내사전투표,4051,4050,82,1330,1365,377,31,39,7,213,31,245,5,1,1,19,1,2,43,0,2,5,4,0,2,8,8,6,22,0,3,4,1,6,4,4,3,3874,176,1
,성환읍제1투,1745,802,17,354,166,60,10,9,1,38,8,15,3,1,0,7,1,0,29,4,0,1,0,0,1,3,0,2,3,2,1,4,1,3,1,3,0,748,54,943
,성환읍제2투,2589,1051,24,423,229,92,13,7,1,72,7,30,4,1,0,7,2,3,33,1,0,1,2,0,1,6,6,6,6,0,0,8,1,3,3,0,0,992,59,1538
