읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,26703,18587,442,8053,4378,1367,255,158,62,747,218,683,38,9,14,157,21,10,290,13,14,20,18,7,15,62,53,55,67,4,19,63,18,29,17,30,32,17438,1149,8116
거소·선상투표,,123,121,9,35,26,6,0,4,2,8,2,11,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,112,9,2
관외사전투표,,1451,1451,37,470,437,147,7,5,2,68,8,88,5,0,1,19,0,2,14,0,1,1,5,0,1,8,5,5,13,0,4,2,2,6,2,1,2,1368,83,0
재외투표,,55,20,0,5,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,35
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
단양읍,소계,8693,5962,140,2482,1484,512,78,36,17,285,56,255,9,3,4,56,4,1,63,1,4,9,6,1,3,14,17,23,27,1,5,23,8,6,3,3,5,5644,318,2731
,관내사전투표,2522,2522,53,961,739,243,23,14,6,116,17,142,2,2,2,25,1,0,16,0,2,2,3,1,1,3,2,11,10,0,3,5,2,3,1,1,2,2414,108,0
,단양읍제1투,1833,1004,18,436,229,81,14,9,1,58,13,36,0,0,0,13,0,1,7,0,0,0,1,0,0,4,8,0,3,0,0,5,2,0,2,0,0,941,63,829
,단양읍제2투,1350,777,24,372,147,63,16,8,5,30,7,19,1,0,1,4,1,0,11,1,0,0,0,0,0,3,3,5,5,1,1,2,3,1,0,0,2,736,41,573
,단양읍제3투,2988,1659,45,713,369,125,25,5,5,81,19,58,6,1,1,14,2,0,29,0,2,7,2,0,2,4,4,7,9,0,1,11,1,2,0,2,1,1553,106,1329
매포읍,소계,4770,3253,76,1397,763,233,51,23,19,145,46,106,6,3,2,30,5,1,44,6,5,4,5,0,5,14,10,7,13,0,2,5,3,6,3,5,3,3046,207,1517
,관내사전투표,1437,1437,38,591,385,101,15,6,6,69,21,58,1,1,0,14,1,0,10,2,1,1,2,0,2,6,4,4,7,0,1,3,0,0,0,0,1,1351,86,0
