읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,43191,29591,732,11769,7455,2632,337,283,104,1150,361,1099,61,17,10,175,24,14,472,23,24,50,39,16,43,103,111,140,100,13,39,132,22,64,38,35,36,27723,1868,13600
거소·선상투표,,91,86,2,33,18,6,2,1,0,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,77,9,5
관외사전투표,,2547,2547,75,784,731,248,18,24,4,150,10,146,10,1,4,29,2,1,35,2,2,2,8,0,4,7,8,13,26,3,4,12,2,20,0,1,3,2389,158,0
재외투표,,112,25,0,9,7,2,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,0,87
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영동읍,소계,16411,10630,223,4006,2884,1195,87,92,23,455,112,406,24,4,2,65,3,4,150,7,7,23,5,5,15,40,42,50,36,3,17,54,9,17,12,13,9,10099,531,5781
,관내사전투표,4456,4456,100,1643,1335,497,30,45,8,188,35,189,5,1,0,23,0,2,45,4,2,6,1,0,4,13,15,21,18,0,2,5,4,5,1,1,1,4249,207,0
,영동읍제1투,1861,921,18,380,193,97,10,6,4,49,10,29,4,1,2,7,0,0,9,1,2,2,0,1,1,4,5,5,2,0,4,7,3,1,3,3,1,864,57,940
,영동읍제2투,1854,1026,22,443,238,115,14,8,4,37,14,30,1,0,0,6,0,0,19,1,1,2,1,0,0,6,5,5,3,1,2,10,1,2,2,1,0,994,32,828
,영동읍제3투,1067,602,8,249,151,78,5,6,1,24,9,15,1,0,0,1,0,0,7,0,0,4,0,2,1,3,1,3,1,0,1,3,0,0,0,1,1,576,26,465
,영동읍제4투,2453,1314,34,497,316,148,7,17,1,65,17,53,5,1,0,10,0,1,25,0,1,3,0,0,4,5,5,5,4,0,5,10,1,5,0,1,0,1246,68,1139
,영동읍제5투,2472,1055,25,322,309,127,10,6,3,46,9,39,5,1,0,7,1,1,18,0,1,2,0,2,2,5,6,6,4,0,2,7,0,2,5,2,5,980,75,1417
,영동읍제6투,2248,1256,16,472,342,133,11,4,2,46,18,51,3,0,0,11,2,0,27,1,0,4,3,0,3,4,5,5,4,2,1,12,0,2,1,4,1,1190,66,992
용산면,소계,3159,2092,53,824,518,158,25,8,15,78,40,71,3,3,1,12,3,2,37,2,1,6,6,0,2,9,7,14,2,0,1,10,3,4,3,5,3,1929,163,1067
,관내사전투표,1255,1255,36,455,357,92,16,5,8,52,25,50,2,1,1,5,1,1,12,2,0,4,2,0,1,5,4,9,2,0,1,0,2,3,3,1,2,1160,95,0
,용산면투표소,1904,837,17,369,161,66,9,3,7,26,15,21,1,2,0,7,2,1,25,0,1,2,4,0,1,4,3,5,0,0,0,10,1,1,0,4,1,769,68,1067
