읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,115665,77251,1766,29717,21150,6613,860,551,185,3873,696,2963,105,30,43,609,57,58,1259,37,41,101,151,26,80,242,230,264,470,26,67,243,60,140,65,64,104,72946,4305,38414
거소·선상투표,,243,230,7,82,57,13,2,2,1,13,4,10,2,0,0,4,0,0,2,1,1,0,0,0,0,0,1,0,1,0,2,0,1,1,0,0,0,207,23,13
관외사전투표,,4841,4838,156,1327,1524,486,22,33,14,299,7,252,19,3,4,62,4,4,51,3,3,6,21,0,5,17,14,26,63,2,7,18,7,54,1,7,11,4532,306,3
재외투표,,203,47,0,10,15,5,0,0,0,4,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,45,2,156
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
봉양읍,소계,5846,3804,95,1567,896,273,41,113,10,145,63,105,5,2,3,32,6,3,90,1,1,4,8,1,2,12,7,12,7,1,6,10,1,6,5,2,10,3545,259,2042
,관내사전투표,1461,1461,41,545,403,113,16,41,4,52,30,53,2,1,1,13,1,3,18,1,0,2,6,0,1,3,2,4,3,1,0,6,0,1,2,1,3,1373,88,0
,봉양읍제1투,2417,1121,31,518,217,71,13,16,2,42,18,17,1,1,1,13,4,0,36,0,1,0,1,1,0,5,4,3,0,0,4,3,1,1,1,0,6,1032,89,1296
,봉양읍제2투,1269,770,15,303,206,62,5,12,2,41,7,26,2,0,0,5,1,0,21,0,0,0,1,0,1,2,1,5,4,0,1,0,0,2,2,1,0,728,42,499
,봉양읍제3투,699,452,8,201,70,27,7,44,2,10,8,9,0,0,1,1,0,0,15,0,0,2,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,412,40,247
금성면,소계,1864,1316,36,556,325,84,16,28,6,48,17,35,2,0,3,6,1,1,23,0,0,4,0,0,1,2,3,4,5,1,2,1,3,4,1,0,2,1220,96,548
,관내사전투표,505,505,12,196,136,47,6,10,1,24,8,23,1,0,0,0,0,1,7,0,0,2,0,0,0,1,0,2,3,0,2,0,1,2,0,0,0,485,20,0
,금성면제1투,637,364,7,170,73,17,4,9,4,7,5,7,0,0,2,5,0,0,7,0,0,2,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,324,40,273
,금성면제2투,722,447,17,190,116,20,6,9,1,17,4,5,1,0,1,1,1,0,9,0,0,0,0,0,1,1,3,1,0,1,0,1,2,1,0,0,2,411,36,275
청풍면,소계,1204,885,32,395,188,54,16,4,7,36,13,23,0,1,1,8,0,0,26,1,2,2,1,1,2,2,5,2,2,0,0,1,4,2,1,4,4,840,45,319
