읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,31147,18927,512,6573,5844,1487,158,99,46,977,148,787,43,10,5,157,11,13,334,7,13,30,54,5,23,67,72,72,88,5,11,69,23,52,20,26,15,17856,1071,12220
거소·선상투표,,56,53,1,18,18,4,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,50,3,3
관외사전투표,,1633,1633,53,432,539,142,7,10,2,104,6,112,11,2,0,21,0,4,12,1,1,2,4,1,5,3,7,9,11,0,1,5,5,17,1,2,1,1533,100,0
재외투표,,68,13,1,0,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,55
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증평읍,소계,27501,16004,428,5618,4961,1253,133,83,43,837,131,640,31,8,4,120,11,8,295,3,9,26,47,3,17,60,63,57,73,3,9,55,16,31,16,20,12,15124,880,11497
,관내사전투표,6382,6380,176,1929,2309,505,33,26,18,327,42,359,16,0,2,40,2,3,49,1,3,8,24,0,7,19,21,26,28,2,4,17,7,11,4,8,5,6031,349,2
,증평읍제1투,1975,935,19,384,266,56,5,8,4,49,11,20,3,1,0,7,0,0,30,0,0,3,3,0,0,7,3,3,5,0,0,2,1,2,2,2,2,898,37,1040
,증평읍제2투,1976,970,18,482,226,54,8,5,3,33,10,25,1,0,0,7,1,0,21,0,0,1,2,0,0,2,2,3,4,0,0,5,1,2,2,0,0,918,52,1006
,증평읍제3투,1972,972,32,429,209,47,15,7,0,43,14,22,2,1,0,4,0,1,24,0,2,0,4,1,3,5,7,4,7,0,0,4,1,3,3,5,0,899,73,1000
,증평읍제4투,2920,1059,23,341,334,106,6,6,2,68,5,35,2,4,0,12,1,2,42,0,1,0,1,0,1,1,4,5,6,0,0,5,1,1,1,1,0,1017,42,1861
,증평읍제5투,2390,1152,31,398,341,108,13,6,2,63,7,33,0,1,0,9,0,1,26,1,2,4,5,0,2,7,5,2,7,0,1,6,1,5,0,1,0,1088,64,1238
,증평읍제6투,2128,960,24,258,328,93,7,6,4,55,5,44,1,1,0,11,4,0,23,0,0,3,1,0,0,6,5,2,6,0,2,5,2,2,2,1,0,901,59,1168
,증평읍제7투,2000,872,29,344,215,63,17,5,4,49,7,29,2,0,0,6,2,1,22,0,0,3,1,0,1,2,4,7,4,1,0,2,1,1,1,0,1,824,48,1128
,증평읍제8투,1195,681,10,328,132,59,11,7,2,30,3,13,0,0,2,5,1,0,20,0,0,0,2,1,2,2,3,0,0,0,1,2,0,1,1,0,1,639,42,514
,증평읍제9투,2224,1012,28,374,298,63,10,5,2,56,16,29,1,0,0,9,0,0,22,1,1,2,1,0,0,6,3,3,2,0,1,5,0,1,0,1,1,941,71,1212
,증평읍제10투,2339,1011,38,351,303,99,8,2,2,64,11,31,3,0,0,10,0,0,16,0,0,2,3,1,1,3,6,2,4,0,0,2,1,2,0,1,2,968,43,1328
도안면,소계,1889,1224,29,505,317,86,18,6,1,34,9,34,1,0,1,13,0,1,27,3,3,2,3,1,1,3,2,6,4,2,1,9,2,3,3,4,2,1136,88,665
,관내사전투표,606,606,13,226,207,43,5,3,0,13,3,28,0,0,1,6,0,1,6,1,1,1,2,1,0,0,1,4,2,1,1,4,2,2,0,1,1,580,26,0
,도안면투표소,1283,618,16,279,110,43,13,3,1,21,6,6,1,0,0,7,0,0,21,2,2,1,1,0,1,3,1,2,2,1,0,5,0,1,3,3,1,556,62,665
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
