읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,67453,40899,1109,12705,13036,3997,294,573,102,2330,315,1900,73,27,20,344,27,39,645,12,24,73,48,9,48,111,138,125,163,14,40,159,48,101,48,48,42,38787,2112,26554
거소·선상투표,,126,121,7,29,31,8,1,2,1,3,2,5,1,1,0,2,0,0,4,0,0,1,0,0,0,0,0,3,0,0,0,1,1,5,1,2,0,111,10,5
관외사전투표,,3531,3531,98,870,1181,413,15,27,4,237,5,231,10,3,2,43,2,1,32,1,5,10,3,0,5,11,9,25,31,1,7,15,7,37,3,7,4,3355,176,0
재외투표,,121,32,0,4,12,5,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,89
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
진천읍,소계,24402,14521,388,4793,4526,1455,88,205,32,778,114,637,37,11,9,123,10,8,212,1,9,24,17,2,13,43,55,41,49,4,12,60,17,24,17,17,18,13849,672,9881
,관내사전투표,5728,5727,155,1706,2000,616,31,88,11,255,47,328,17,1,3,27,2,2,48,1,3,8,11,0,6,12,18,10,16,3,5,12,6,9,4,7,6,5474,253,1
,진천읍제1투,2152,932,24,376,240,77,6,14,4,45,9,20,1,1,0,9,2,0,24,0,1,1,0,0,0,6,4,3,6,0,2,8,2,4,1,1,1,892,40,1220
,진천읍제2투,1119,643,21,268,136,61,5,11,4,34,3,18,1,1,0,9,0,0,14,0,2,1,0,0,0,2,3,1,0,0,0,4,2,0,1,1,2,605,38,476
,진천읍제3투,2135,1004,32,326,309,92,9,8,1,61,10,37,5,0,0,11,0,0,20,0,1,1,2,0,1,3,3,3,2,0,0,9,2,2,2,2,0,954,50,1131
,진천읍제4투,1747,836,24,342,216,71,10,6,3,39,4,26,1,0,1,8,1,3,15,0,1,1,0,0,0,5,0,3,2,0,1,4,0,0,2,0,2,791,45,911
,진천읍제5투,2604,1108,25,353,354,123,11,10,2,59,11,39,1,5,0,12,1,1,25,0,0,4,1,0,1,4,2,2,5,0,1,5,0,3,0,1,2,1063,45,1496
,진천읍제6투,3073,1464,41,501,423,136,5,19,1,99,10,61,4,0,2,12,0,2,24,0,0,0,1,0,2,4,8,8,9,0,0,6,2,1,1,3,3,1388,76,1609
,진천읍제7투,1575,808,17,271,221,92,3,11,2,46,5,32,3,1,2,16,2,0,12,0,0,1,1,2,0,2,5,3,3,1,1,0,1,1,0,1,1,759,49,767
,진천읍제8투,1633,718,18,289,189,50,6,22,1,36,11,22,1,2,1,11,1,0,7,0,1,4,1,0,1,0,7,3,2,0,2,3,1,0,1,0,0,693,25,915
,진천읍제9투,2636,1281,31,361,438,137,2,16,3,104,4,54,3,0,0,8,1,0,23,0,0,3,0,0,2,5,5,5,4,0,0,9,1,4,5,1,1,1230,51,1355
초평면,소계,2851,1874,80,690,528,135,19,30,5,68,30,48,1,3,2,10,4,2,31,2,1,5,4,2,5,2,7,1,5,3,0,3,1,2,3,4,5,1741,133,977
,관내사전투표,824,824,31,279,274,61,9,20,2,31,9,26,0,1,1,4,2,1,8,0,1,4,1,0,1,0,3,0,1,2,0,3,0,0,1,1,1,778,46,0
,초평면제1투,1249,611,32,225,150,46,5,6,2,22,11,13,0,1,1,2,1,0,17,1,0,1,1,2,1,0,3,1,3,1,0,0,1,2,0,2,3,556,55,638
,초평면제2투,778,439,17,186,104,28,5,4,1,15,10,9,1,1,0,4,1,1,6,1,0,0,2,0,3,2,1,0,1,0,0,0,0,0,2,1,1,407,32,339
문백면,소계,3087,1881,48,756,482,132,30,16,6,69,39,71,2,0,1,25,2,1,35,1,1,5,2,1,3,8,4,10,3,1,0,4,1,1,5,2,2,1769,112,1206
,관내사전투표,622,622,16,242,194,47,10,2,2,19,8,34,0,0,0,7,0,0,2,0,0,2,1,0,0,3,2,2,1,0,0,0,1,0,3,0,0,598,24,0
,문백면제1투,1513,696,19,290,154,48,14,7,2,20,15,22,0,0,1,8,2,1,24,1,0,2,0,1,3,4,2,4,1,0,0,2,0,0,1,0,2,650,46,817
,문백면제2투,952,563,13,224,134,37,6,7,2,30,16,15,2,0,0,10,0,0,9,0,1,1,1,0,0,1,0,4,1,1,0,2,0,1,1,2,0,521,42,389
백곡면,소계,1912,1325,35,599,292,89,17,10,7,54,11,32,1,1,1,9,0,1,27,1,0,1,1,0,1,4,4,6,2,0,3,2,2,1,0,1,2,1217,108,587
,관내사전투표,620,620,15,284,153,45,9,1,5,25,1,19,1,0,0,4,0,1,1,1,0,1,0,0,0,0,2,3,1,0,1,1,1,1,0,1,0,577,43,0
,백곡면투표소,1292,705,20,315,139,44,8,9,2,29,10,13,0,1,1,5,0,0,26,0,0,0,1,0,1,4,2,3,1,0,2,1,1,0,0,0,2,640,65,587
이월면,소계,5411,3209,96,1152,897,243,33,120,16,124,39,107,7,1,1,18,2,7,67,0,4,8,1,0,4,6,14,10,4,1,3,18,0,5,3,2,4,3017,192,2202
,관내사전투표,1364,1364,37,454,453,111,14,43,3,52,13,59,3,1,1,9,2,2,6,0,1,3,1,0,0,1,5,2,1,0,2,4,0,3,1,1,2,1290,74,0
,이월면제1투,2178,948,25,378,228,64,8,43,4,38,11,18,3,0,0,7,0,4,29,0,0,1,0,0,3,3,3,4,1,1,0,7,0,1,1,0,2,887,61,1230
,이월면제2투,1869,897,34,320,216,68,11,34,9,34,15,30,1,0,0,2,0,1,32,0,3,4,0,0,1,2,6,4,2,0,1,7,0,1,1,1,0,840,57,972
광혜원면,소계,8560,4647,133,1427,1522,413,50,35,17,274,30,201,5,1,1,34,5,6,105,2,1,10,4,1,4,17,15,12,11,4,5,21,8,9,4,5,5,4397,250,3913
,관내사전투표,2177,2177,64,636,786,206,21,18,6,103,15,115,2,0,0,12,1,1,24,1,1,4,2,0,1,4,7,4,6,1,5,10,1,1,1,3,1,2063,114,0
,광혜원면제1투,2309,890,26,311,241,65,13,7,7,47,9,26,0,0,0,7,0,4,29,0,0,0,0,1,1,8,3,0,1,2,0,1,2,3,0,1,3,818,72,1419
,광혜원면제2투,1770,661,13,203,215,52,7,3,0,43,5,29,3,0,0,8,3,0,19,1,0,2,1,0,1,2,0,3,0,1,0,7,2,3,0,0,0,626,35,1109
,광혜원면제3투,2304,919,30,277,280,90,9,7,4,81,1,31,0,1,1,7,1,1,33,0,0,4,1,0,1,3,5,5,4,0,0,3,3,2,3,1,1,890,29,1385
덕산읍,소계,17452,9758,224,2385,3565,1104,41,128,14,721,45,563,9,6,3,80,2,13,132,4,3,9,14,3,13,20,29,17,58,0,10,35,11,17,12,8,2,9300,458,7694
,관내사전투표,3619,3619,78,839,1440,403,12,50,6,238,13,266,4,4,0,26,0,3,21,1,2,2,2,1,5,6,7,4,21,0,5,4,4,3,2,4,1,3477,142,0
,덕산읍제1투,2178,855,17,308,229,74,3,17,2,51,8,21,2,1,1,9,0,1,30,2,0,1,2,0,1,2,2,4,5,0,4,8,2,2,3,0,1,813,42,1323
,덕산읍제2투,2164,741,17,258,172,69,4,29,2,40,10,12,1,0,1,5,0,3,25,1,0,2,2,2,2,2,3,1,2,0,1,5,0,3,2,2,0,678,63,1423
,덕산읍제3투,1842,877,28,246,289,81,6,3,2,72,4,47,0,0,0,9,2,1,13,0,0,0,2,0,1,3,4,3,3,0,0,8,1,4,0,0,0,832,45,965
,덕산읍제4투,2149,1039,28,188,462,110,5,5,0,92,3,58,0,1,0,7,0,1,5,0,0,1,2,0,2,2,2,2,8,0,0,3,0,4,0,1,0,992,47,1110
,덕산읍제5투,2420,1093,28,231,413,149,5,4,1,81,3,61,0,0,0,13,0,2,17,0,0,3,1,0,1,4,6,1,6,0,0,2,2,0,2,0,0,1036,57,1327
,덕산읍제6투,3080,1534,28,315,560,218,6,20,1,147,4,98,2,0,1,11,0,2,21,0,1,0,3,0,1,1,5,2,13,0,0,5,2,1,3,1,0,1472,62,1546
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
