읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,169443,109947,3593,36676,32533,11629,721,634,180,7380,532,5331,169,37,32,872,56,51,1878,72,37,124,267,13,66,300,277,256,804,20,73,306,87,206,54,71,84,105421,4526,59496
거소·선상투표,,431,410,27,103,96,34,4,2,3,37,5,26,2,3,0,11,2,0,4,0,0,1,2,0,3,1,1,1,1,0,1,2,1,3,2,3,1,382,28,21
관외사전투표,,10899,10893,447,2696,3496,1298,44,58,20,757,31,683,47,8,6,127,3,4,88,9,4,18,49,2,12,16,33,39,138,1,19,21,19,104,8,10,11,10326,567,6
재외투표,,433,88,3,17,27,12,0,0,0,8,1,11,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,87,1,345
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남이면,소계,8309,5260,159,2017,1385,513,47,31,19,312,33,224,5,0,0,38,1,2,142,3,3,2,9,1,3,18,10,12,21,0,6,14,2,7,2,4,2,5047,213,3049
,관내사전투표,1420,1420,37,519,463,130,7,6,5,63,10,84,1,0,0,5,0,1,10,1,1,1,4,0,2,6,3,2,1,0,1,1,1,3,0,0,0,1368,52,0
,남이면제1투,2187,1009,30,445,193,74,15,11,5,42,11,27,1,0,0,12,1,0,67,1,0,0,0,0,0,4,2,3,1,0,1,4,1,1,2,1,0,955,54,1178
,남이면제2투,992,509,14,224,113,45,11,6,4,25,4,8,0,0,0,4,0,0,5,0,1,0,0,0,0,1,0,1,1,0,2,3,0,0,0,1,1,474,35,483
,남이면제3투,1441,815,23,387,159,53,9,2,3,47,2,30,2,0,0,6,0,1,40,0,1,0,1,0,1,2,2,3,3,0,2,5,0,1,0,2,0,787,28,626
,남이면제4투,2269,1507,55,442,457,211,5,6,2,135,6,75,1,0,0,11,0,0,20,1,0,1,4,1,0,5,3,3,15,0,0,1,0,2,0,0,1,1463,44,762
현도면,소계,2921,1791,42,802,427,104,23,20,7,76,22,44,7,2,2,14,2,2,51,1,2,5,1,2,3,8,5,4,2,0,3,1,2,1,0,2,3,1692,99,1130
