읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,158223,97712,2496,28979,31267,11111,527,915,162,6841,512,4889,114,34,31,823,31,54,1403,58,45,107,247,17,61,356,321,286,662,18,70,318,104,205,93,85,76,93318,4394,60511
거소·선상투표,,313,300,15,88,72,24,3,9,1,25,5,7,3,0,0,7,1,0,1,0,1,3,1,2,1,3,1,0,1,0,1,2,0,3,0,1,0,281,19,13
관외사전투표,,9131,9123,264,2046,3144,1176,34,76,15,680,24,612,23,5,2,97,2,6,66,9,6,10,42,0,5,30,27,33,90,2,13,22,17,82,7,20,11,8698,425,8
재외투표,,342,95,1,15,35,10,0,1,0,6,0,16,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,92,3,247
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
내수읍,소계,15693,8929,236,2943,2667,843,66,122,19,464,56,355,14,4,3,89,3,11,187,5,4,11,21,5,8,36,38,28,56,3,9,30,8,21,13,3,9,8390,539,6764
,관내사전투표,2957,2957,68,876,997,259,23,38,7,183,15,178,5,2,2,18,2,5,46,3,1,7,7,1,2,9,10,8,13,1,1,3,2,9,4,0,1,2806,151,0
,내수읍제1투,1755,790,28,249,258,86,4,11,0,34,4,23,2,2,0,10,0,0,14,0,1,1,1,0,0,3,3,2,4,0,1,2,0,3,2,0,3,751,39,965
,내수읍제2투,1247,629,19,282,147,44,3,12,0,21,7,5,0,0,1,10,0,1,13,0,1,1,3,0,1,0,5,3,1,0,0,1,0,0,2,0,0,583,46,618
