읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,218253,135921,3357,41677,42976,15270,769,826,199,9673,615,6898,175,45,58,1205,52,68,1949,62,49,141,351,24,116,520,445,385,928,35,101,432,138,317,97,82,88,130123,5798,82332
거소·선상투표,,369,356,16,86,102,25,3,5,6,22,6,12,5,1,0,8,1,0,3,1,0,1,1,0,3,2,1,2,1,1,1,1,0,8,0,1,0,325,31,13
관외사전투표,,12242,12238,347,3058,3960,1475,47,52,19,893,28,772,48,9,8,157,5,6,106,10,12,17,46,2,12,42,42,45,110,7,18,25,19,149,16,12,7,11581,657,4
재외투표,,516,143,2,42,47,18,0,0,0,5,0,22,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,143,0,373
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오송읍,소계,15782,10109,261,2731,3491,1106,67,83,17,699,49,620,6,1,1,80,5,5,190,3,5,7,21,5,13,39,32,21,59,4,4,18,6,18,2,5,9,9683,426,5673
,관내사전투표,2867,2867,47,716,1090,331,10,21,4,171,7,278,1,0,0,15,1,1,27,1,1,1,7,1,3,7,3,1,16,0,1,4,0,3,0,2,2,2773,94,0
,오송읍제1투,1384,648,17,218,201,49,4,7,2,21,8,29,1,0,0,3,0,2,17,0,0,0,0,1,2,2,3,0,2,0,0,1,0,1,0,1,0,592,56,736
,오송읍제2투,1464,751,15,296,185,51,13,4,3,46,6,24,3,0,0,9,1,0,33,1,2,2,1,1,0,3,2,2,2,0,0,3,0,2,0,0,1,711,40,713
,오송읍제3투,2214,1112,52,310,317,119,20,13,1,95,8,46,0,0,1,15,1,0,26,1,0,0,2,0,2,6,6,2,12,2,0,3,3,1,0,0,2,1066,46,1102
,오송읍제4투,2183,1291,33,295,490,138,6,9,0,77,7,73,0,0,0,12,0,0,35,0,0,2,2,2,3,6,6,5,9,0,2,4,0,7,1,1,0,1225,66,892
,오송읍제5투,2129,1364,35,341,492,166,4,6,2,124,3,81,0,0,0,13,1,1,21,0,0,2,3,0,2,3,4,7,4,0,0,2,1,2,0,0,2,1322,42,765
,오송읍제6투,2410,1465,44,328,543,209,4,14,2,138,0,75,1,1,0,8,0,0,17,0,0,0,5,0,1,10,6,4,11,0,0,0,1,1,0,0,0,1423,42,945
,오송읍제7투,1131,611,18,227,173,43,6,9,3,27,10,14,0,0,0,5,1,1,14,0,2,0,1,0,0,2,2,0,3,2,1,1,1,1,1,1,2,571,40,520
강내면,소계,8870,5821,139,1924,1719,612,30,45,9,368,33,279,3,3,3,49,4,0,143,6,0,9,27,2,4,19,7,18,28,1,6,21,9,12,5,7,6,5550,271,3049
,관내사전투표,2604,2604,49,783,870,294,13,18,4,159,15,179,0,1,1,17,1,0,37,3,0,5,12,1,1,4,1,7,11,0,2,3,5,5,3,3,0,2507,97,0
,강내면제1투,2235,1082,31,358,309,104,5,9,2,78,4,40,1,0,1,12,0,0,43,1,0,2,6,0,0,7,2,1,9,1,4,9,3,1,1,2,1,1047,35,1153
,강내면제2투,1363,740,20,314,172,52,5,7,0,35,6,14,2,1,1,5,1,0,24,0,0,1,4,1,0,5,0,2,1,0,0,0,0,2,1,0,3,679,61,623
,강내면제3투,2668,1395,39,469,368,162,7,11,3,96,8,46,0,1,0,15,2,0,39,2,0,1,5,0,3,3,4,8,7,0,0,9,1,4,0,2,2,1317,78,1273
옥산면,소계,13771,8094,223,2358,2698,882,68,67,19,522,51,387,7,4,3,83,7,6,116,5,3,5,14,1,5,26,24,31,39,0,6,32,2,10,5,5,4,7718,376,5677
,관내사전투표,2740,2740,64,788,1002,285,14,12,4,137,16,188,3,2,0,17,1,2,17,4,0,1,4,0,2,8,8,13,10,0,1,9,0,4,2,3,1,2622,118,0
,옥산면제1투,1582,705,18,293,181,65,7,7,3,26,11,16,1,1,0,6,1,2,13,0,0,1,0,0,1,2,2,3,1,0,0,6,0,2,0,0,1,670,35,877
,옥산면제2투,1415,694,25,280,167,48,18,5,5,28,5,13,1,0,1,8,0,1,16,0,0,0,0,0,1,3,1,3,3,0,0,2,0,1,1,2,0,638,56,721
,옥산면제3투,2079,870,28,255,244,83,16,11,2,51,12,34,1,0,1,10,3,0,39,0,0,0,3,1,0,2,3,1,3,0,3,6,1,1,0,0,0,814,56,1209
,옥산면제4투,2283,1234,35,322,444,143,7,10,4,112,3,51,0,1,1,12,1,1,14,1,0,1,2,0,1,3,6,6,11,0,2,0,0,0,1,0,1,1196,38,1049
,옥산면제5투,3672,1851,53,420,660,258,6,22,1,168,4,85,1,0,0,30,1,0,17,0,3,2,5,0,0,8,4,5,11,0,0,9,1,2,1,0,1,1778,73,1821
