읍면동명,투표구명,선거인수,투표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,정당별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,민생당,미래한국당,더불어시민당,정의당,우리공화당,민중당,한국경제당,국민의당,친박신당,열린민주당,코리아,가자!평화인권당,가자환경당,국가혁명배당금당,국민새정당,국민참여신당,기독자유통일당,깨어있는시민연대당,남북통일당,노동당,녹색당,대한당,대한민국당,미래당,미래민주당,새누리당,여성의당,우리당,자유당,새벽당,자영업당,충청의미래당,통일민주당,한국복지당,홍익당,계,무효투표수,기권수
합계,,180698,115419,3680,43202,33043,8885,1043,718,222,6590,794,4707,148,37,45,988,87,72,1884,59,66,130,236,26,116,349,392,318,584,62,107,359,86,218,83,106,96,109538,5881,65279
거소·선상투표,,356,342,16,100,73,21,5,2,3,20,2,10,4,2,2,12,0,1,6,0,0,0,1,0,1,2,2,4,1,0,0,0,1,6,0,1,0,298,44,14
관외사전투표,,6954,6954,276,1882,2225,702,30,45,14,436,16,352,29,7,3,89,5,6,77,4,6,9,40,1,9,17,33,37,65,2,20,23,9,81,8,5,5,6568,386,0
재외투표,,433,94,3,13,36,11,0,0,0,7,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,0,0,0,92,2,339
재외투표(공관),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주덕읍,소계,4649,2929,84,1257,754,176,39,32,14,111,26,67,2,2,4,29,3,2,48,1,0,3,4,0,8,11,9,11,18,0,4,7,4,4,3,3,4,2744,185,1720
,관내사전투표,1372,1371,42,553,390,94,11,15,4,52,13,48,1,1,1,15,1,0,13,0,0,1,4,0,2,4,3,5,10,0,2,1,3,3,1,1,1,1295,76,1
,주덕읍제1투,1054,510,18,227,112,26,13,4,5,21,6,5,0,1,0,4,0,0,8,0,0,1,0,0,0,2,2,2,2,0,2,2,0,0,0,1,1,465,45,544
,주덕읍제2투,1219,540,14,239,141,31,7,6,2,20,4,10,1,0,1,4,0,0,10,1,0,0,0,0,4,3,3,3,4,0,0,2,1,1,0,1,1,514,26,679
,주덕읍제3투,1004,508,10,238,111,25,8,7,3,18,3,4,0,0,2,6,2,2,17,0,0,1,0,0,2,2,1,1,2,0,0,2,0,0,2,0,1,470,38,496
살미면,소계,1956,1375,35,629,328,78,22,10,4,60,11,42,1,1,1,6,0,1,38,0,0,0,1,0,0,3,2,3,2,0,1,1,1,2,0,1,4,1288,87,581
,관내사전투표,664,664,20,291,174,43,14,6,1,27,5,25,1,0,0,1,0,0,8,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,2,624,40,0
