선거구명 전체,시도명,선거구명,읍면동명,투표구명,선거인수,투표수,당선 정당,당선 이름,당선 득표,차선 정당,차선 이름,차선 득표,기타,계,무효투표수,기권수
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,합계,합계,58270,39729,미래통합당,이철규,20685,더불어민주당,김동완,17373,700.0,39279,450,18541
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,거소·선상투표,거소·선상투표,178,166,미래통합당,이철규,95,더불어민주당,김동완,57,10.0,164,2,12
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,관외사전투표,관외사전투표,3447,3447,미래통합당,이철규,1342,더불어민주당,김동완,1861,92.0,3368,79,0
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,국외부재자투표,국외부재자투표,71,21,미래통합당,이철규,2,더불어민주당,김동완,18,0.0,21,0,50
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,국외부재자투표(공관),국외부재자투표(공관),0,0,미래통합당,이철규,0,더불어민주당,김동완,0,0.0,0,0,0
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,소계,8606,5213,미래통합당,이철규,3120,더불어민주당,김동완,1929,65.0,5156,57,3393
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,관내사전투표,2242,2242,미래통합당,이철규,1269,더불어민주당,김동완,913,20.0,2220,22,0
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,도계읍제1투,306,186,미래통합당,이철규,109,더불어민주당,김동완,71,4.0,185,1,120
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,도계읍제2투,586,194,미래통합당,이철규,118,더불어민주당,김동완,71,1.0,192,2,392
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,도계읍제3투,976,421,미래통합당,이철규,274,더불어민주당,김동완,131,7.0,414,7,555
강원 동해시태백시삼척시정선군,강원,동해시태백시삼척시정선군,도계읍,도계읍제4투,1321,731,미래통합당,이철규,482,더불어민주당,김동완,226,7.0,724,7,590
