읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김경수,미래통합당홍윤식,민중당장지창,국가혁명배당금당전혁,무소속최명희,무소속권성동,계,무효투표수,기권수
합계,,184371,122855,47088,13704,1047,659,9358,49618,121474,1381,61516
거소·선상투표,,412,399,139,47,7,15,54,122,384,15,13
관외사전투표,,7086,7079,3537,1052,85,66,583,1610,6933,146,7
국외부재자투표,,378,96,72,9,1,1,7,6,96,0,282
국외부재자투표(공관),,0,1,0,1,0,0,0,0,1,0,-1
주문진읍,소계,14447,8379,2580,1451,44,48,653,3470,8246,133,6068
,관내사전투표,2431,2431,937,347,13,8,175,921,2401,30,0
,주문진읍제1투,2339,1117,270,254,3,5,65,498,1095,22,1222
,주문진읍제2투,2611,1123,320,199,8,8,101,465,1101,22,1488
,주문진읍제3투,2314,1216,310,250,9,9,91,530,1199,17,1098
,주문진읍제4투,894,530,113,98,2,4,40,268,525,5,364
,주문진읍제5투,1909,1006,298,148,4,6,97,432,985,21,903
,주문진읍제6투,1949,956,332,155,5,8,84,356,940,16,993
성산면,소계,3277,2355,763,285,7,15,180,1077,2327,28,922
,관내사전투표,1136,1136,434,115,2,10,98,466,1125,11,0
,성산면제1투,1571,846,225,133,4,3,53,413,831,15,725
,성산면제2투,570,373,104,37,1,2,29,198,371,2,197
왕산면,소계,1515,1077,262,172,3,5,64,559,1065,12,438
,관내사전투표,388,388,110,57,1,1,19,198,386,2,0
,왕산면제1투,517,291,56,58,1,2,21,148,286,5,226
,왕산면제2투,320,200,52,34,0,1,14,96,197,3,120
,왕산면제3투,290,198,44,23,1,1,10,117,196,2,92
구정면,소계,3806,2606,812,293,19,16,153,1273,2566,40,1200
,관내사전투표,1182,1182,432,103,11,7,85,524,1162,20,0
,구정면제1투,1756,974,274,132,4,6,53,488,957,17,782
,구정면제2투,868,450,106,58,4,3,15,261,447,3,418
강동면,소계,4290,2978,789,371,27,22,162,1545,2916,62,1312
,관내사전투표,1581,1581,460,166,16,14,90,803,1549,32,0
,강동면제1투,1756,874,220,126,8,6,59,441,860,14,882
,강동면제2투,953,523,109,79,3,2,13,301,507,16,430
옥계면,소계,3257,2203,640,360,23,16,155,971,2165,38,1054
,관내사전투표,977,977,314,144,12,10,64,418,962,15,0
,옥계면제1투,1354,705,188,128,5,3,46,325,695,10,649
,옥계면제2투,926,521,138,88,6,3,45,228,508,13,405
사천면,소계,4319,3072,1068,299,38,15,220,1380,3020,52,1247
,관내사전투표,1561,1561,678,105,18,7,98,624,1530,31,0
,사천면제1투,1769,935,230,107,15,7,89,476,924,11,834
,사천면제2투,989,576,160,87,5,1,33,280,566,10,413
연곡면,소계,5928,3966,1415,500,22,36,322,1617,3912,54,1962
,관내사전투표,1997,1997,839,194,11,9,178,742,1973,24,0
,연곡면제1투,2682,1296,413,194,9,22,108,527,1273,23,1386
,연곡면제2투,1249,673,163,112,2,5,36,348,666,7,576
홍제동,소계,11619,7786,3128,716,74,32,624,3147,7721,65,3833
,관내사전투표,3009,3009,1283,235,31,11,216,1207,2983,26,0
,홍제동제1투,2807,1424,500,144,8,2,111,648,1413,11,1383
,홍제동제2투,1969,1032,308,132,7,6,110,452,1015,17,937
,홍제동제3투,3834,2321,1037,205,28,13,187,840,2310,11,1513
중앙동,소계,5529,3835,1300,426,24,17,288,1729,3784,51,1694
,관내사전투표,2149,2149,891,169,12,8,148,888,2116,33,0
,중앙동제1투,1319,698,173,90,5,5,66,355,694,4,621
,중앙동제2투,2061,988,236,167,7,4,74,486,974,14,1073
옥천동,소계,3700,2515,825,278,18,12,184,1180,2497,18,1185
,관내사전투표,1413,1413,568,123,10,8,95,601,1405,8,0
,옥천동투표소,2287,1102,257,155,8,4,89,579,1092,10,1185
교1동,소계,20487,13868,5847,1296,144,52,1052,5376,13767,101,6619
,관내사전투표,5672,5672,2847,395,53,15,390,1942,5642,30,0
,교1동제1투,2400,1317,405,161,11,8,112,607,1304,13,1083
,교1동제2투,2735,1539,490,184,11,5,124,718,1532,7,1196
,교1동제3투,2105,1331,520,126,15,8,92,562,1323,8,774
,교1동제4투,2794,1433,581,142,28,10,115,539,1415,18,1361
,교1동제5투,2364,1208,473,116,16,2,99,488,1194,14,1156
,교1동제6투,2417,1368,531,172,10,4,120,520,1357,11,1049
교2동,소계,7105,4805,1730,508,36,21,423,2056,4774,31,2300
,관내사전투표,2216,2216,955,175,15,7,195,856,2203,13,0
,교2동제1투,1563,720,187,114,4,5,54,348,712,8,843
,교2동제2투,1449,720,214,91,12,4,76,319,716,4,729
,교2동제3투,1877,1149,374,128,5,5,98,533,1143,6,728
포남1동,소계,8913,5708,1969,625,34,24,440,2554,5646,62,3205
,관내사전투표,2025,2025,834,172,11,8,140,840,2005,20,0
,포남1동제1투,2455,1317,418,139,9,3,122,611,1302,15,1138
,포남1동제2투,2157,1191,351,174,5,7,80,556,1173,18,966
,포남1동제3투,2276,1175,366,140,9,6,98,547,1166,9,1101
포남2동,소계,11453,7385,2695,732,59,34,580,3203,7303,82,4068
,관내사전투표,3087,3087,1282,242,16,9,235,1278,3062,25,0
,포남2동제1투,2379,1111,348,130,15,11,89,505,1098,13,1268
,포남2동제2투,2240,1209,403,149,13,8,94,523,1190,19,1031
,포남2동제3투,1934,923,306,95,9,1,75,424,910,13,1011
,포남2동제4투,1813,1055,356,116,6,5,87,473,1043,12,758
초당동,소계,4286,3043,1293,329,25,11,245,1117,3020,23,1243
,관내사전투표,1514,1514,703,139,13,5,135,506,1501,13,0
,초당동제1투,1148,627,214,82,6,2,50,269,623,4,521
,초당동제2투,1624,902,376,108,6,4,60,342,896,6,722
송정동,소계,7010,4825,1993,531,42,15,324,1876,4781,44,2185
,관내사전투표,2245,2245,1026,197,16,5,147,842,2233,12,0
,송정동제1투,2249,1185,436,160,15,7,83,469,1170,15,1064
,송정동제2투,2516,1395,531,174,11,3,94,565,1378,17,1121
내곡동,소계,12860,8102,3496,777,78,37,657,2997,8042,60,4758
,관내사전투표,3365,3365,1658,269,33,11,228,1142,3341,24,0
,내곡동제1투,2517,1420,518,154,14,9,131,581,1407,13,1097
,내곡동제2투,3660,1921,819,151,17,12,172,738,1909,12,1739
,내곡동제3투,3318,1396,501,203,14,5,126,536,1385,11,1922
강남동,소계,15193,9611,3351,1108,72,49,710,4209,9499,112,5582
,관내사전투표,3576,3576,1469,309,26,18,256,1453,3531,45,0
,강남동제1투,2654,1427,448,208,14,5,116,624,1415,12,1227
,강남동제2투,2276,1134,353,138,5,6,87,534,1123,11,1142
,강남동제3투,2592,1241,376,168,8,5,79,590,1226,15,1351
,강남동제4투,2406,1277,421,159,10,6,112,553,1261,16,1129
,강남동제5투,966,544,148,80,3,5,38,262,536,8,422
,강남동제6투,723,412,136,46,6,4,22,193,407,5,311
성덕동,소계,21615,13477,5954,1180,140,73,1013,4990,13350,127,8138
,관내사전투표,4587,4587,2291,326,47,29,348,1509,4550,37,0
,성덕동제1투,3268,1671,717,151,15,5,126,643,1657,14,1597
,성덕동제2투,3185,1613,632,177,9,7,119,644,1588,25,1572
,성덕동제3투,3398,1563,538,169,27,8,118,685,1545,18,1835
,성덕동제4투,2909,1565,613,152,15,9,125,630,1544,21,1344
,성덕동제5투,3042,1826,907,129,23,10,132,618,1819,7,1216
,성덕동제6투,1226,652,256,76,4,5,45,261,647,5,574
경포동,소계,5886,3682,1429,358,25,27,265,1553,3657,25,2204
,관내사전투표,1133,1133,490,90,4,5,65,471,1125,8,0
,경포동제1투,3176,1655,679,167,17,18,133,628,1642,13,1521
,경포동제2투,1577,894,260,101,4,4,67,454,890,4,683
잘못 투입·구분된 투표지,,0,2,1,0,0,0,0,1,2,0,-2
