읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이용우,미래통합당김현아,국가혁명배당금당고복자,기본소득당신지혜,계,무효투표수,기권수
합계,,235439,162225,85943,72188,680,2058,160869,1356,73214
거소·선상투표,,402,388,216,140,6,6,368,20,14
관외사전투표,,14504,14504,8753,5202,93,201,14249,255,0
국외부재자투표,,1241,367,236,125,2,4,367,0,874
국외부재자투표(공관),,0,9,5,4,0,0,9,0,-9
일산1동,소계,22071,14049,7496,6187,69,198,13950,99,8022
,관내사전투표,4280,4280,2567,1632,13,48,4260,20,0
,일산1동제1투,2918,1452,726,679,9,24,1438,14,1466
,일산1동제2투,3278,1761,943,777,11,22,1753,8,1517
,일산1동제3투,2477,1261,632,580,8,27,1247,14,1216
,일산1동제4투,3178,1721,896,772,10,30,1708,13,1457
,일산1동제5투,3023,1805,870,881,9,27,1787,18,1218
,일산1동제6투,2917,1769,862,866,9,20,1757,12,1148
일산3동,소계,26586,19514,10512,8545,59,263,19379,135,7072
,관내사전투표,5000,5001,3318,1611,7,48,4984,17,-1
,일산3동제1투,2617,1624,797,781,6,27,1611,13,993
,일산3동제2투,3226,2292,993,1232,7,40,2272,20,934
,일산3동제3투,3221,2092,1070,960,4,39,2073,19,1129
,일산3동제4투,2416,1640,834,771,9,19,1633,7,776
,일산3동제5투,3038,2059,1105,905,5,26,2041,18,979
,일산3동제6투,2388,1687,840,808,4,24,1676,11,701
,일산3동제7투,2067,1337,743,544,6,24,1317,20,730
,일산3동제8투,2613,1782,812,933,11,16,1772,10,831
탄현동,소계,40268,25436,13929,10842,114,348,25233,203,14832
,관내사전투표,5834,5834,3806,1906,17,69,5798,36,0
,탄현동제1투,2811,1374,652,656,18,35,1361,13,1437
,탄현동제2투,2479,1363,760,560,9,22,1351,12,1116
,탄현동제3투,3451,1945,1038,859,11,25,1933,12,1506
,탄현동제4투,3332,1978,951,973,12,25,1961,17,1354
,탄현동제5투,4395,2442,1233,1136,9,44,2422,20,1953
,탄현동제6투,3407,2030,1036,946,13,22,2017,13,1377
,탄현동제7투,3484,1855,993,803,4,36,1836,19,1629
,탄현동제8투,2867,1514,826,635,6,23,1490,24,1353
,탄현동제9투,4929,2884,1522,1309,7,26,2864,20,2045
,탄현동제10투,3279,2217,1112,1059,8,21,2200,17,1062
주엽1동,소계,23001,16730,8409,7942,47,194,16592,138,6271
,관내사전투표,5267,5267,3218,1945,7,63,5233,34,0
,주엽1동제1투,2729,1534,701,781,6,25,1513,21,1195
,주엽1동제2투,2328,1589,704,855,1,16,1576,13,739
,주엽1동제3투,2254,1556,721,802,2,17,1542,14,698
,주엽1동제4투,2630,1635,803,798,7,16,1624,11,995
,주엽1동제5투,1383,768,380,367,5,9,761,7,615
,주엽1동제6투,2230,1609,645,931,5,19,1600,9,621
,주엽1동제7투,2318,1539,649,853,4,19,1525,14,779
,주엽1동제8투,1862,1233,588,610,10,10,1218,15,629
주엽2동,소계,22988,16163,7998,7765,64,215,16042,121,6825
,관내사전투표,4512,4510,2748,1688,6,51,4493,17,2
,주엽2동제1투,2270,1472,530,912,3,19,1464,8,798
,주엽2동제2투,2252,1507,721,751,10,13,1495,12,745
,주엽2동제3투,1821,1160,553,563,11,23,1150,10,661
,주엽2동제4투,2663,1529,714,747,17,33,1511,18,1134
,주엽2동제5투,2014,1307,551,728,7,12,1298,9,707
,주엽2동제6투,1927,1100,527,523,4,26,1080,20,827
,주엽2동제7투,2744,1830,829,971,3,15,1818,12,914
,주엽2동제8투,2785,1748,825,882,3,23,1733,15,1037
대화동,소계,29380,19662,10439,8686,87,288,19500,162,9718
,관내사전투표,5776,5776,3733,1938,14,52,5737,39,0
,대화동제1투,3244,1737,868,806,9,39,1722,15,1507
,대화동제2투,2926,1908,1015,821,15,36,1887,21,1018
,대화동제3투,3422,2144,1062,1001,10,45,2118,26,1278
,대화동제4투,1892,1056,496,528,6,18,1048,8,836
,대화동제5투,2597,1397,703,654,7,23,1387,10,1200
,대화동제6투,3588,2100,976,1067,10,29,2082,18,1488
,대화동제7투,2614,1224,608,561,12,28,1209,15,1390
,대화동제8투,3321,2320,978,1310,4,18,2310,10,1001
송포동,소계,17106,11835,5952,5669,41,109,11771,64,5271
,관내사전투표,3989,3989,2408,1531,8,27,3974,15,0
,송포동제1투,3707,2072,755,1272,15,17,2059,13,1635
,송포동제2투,3395,2159,1043,1062,10,31,2146,13,1236
,송포동제3투,3017,1868,927,906,5,17,1855,13,1149
,송포동제4투,2998,1747,819,898,3,17,1737,10,1251
송산동,소계,37892,23568,11998,11081,98,232,23409,159,14324
,관내사전투표,5356,5356,3288,2004,13,28,5333,23,0
,송산동제1투,2620,1311,674,604,4,16,1298,13,1309
,송산동제2투,4448,2024,921,1040,19,24,2004,20,2424
,송산동제3투,2832,1851,803,1006,2,22,1833,18,981
,송산동제4투,3108,1574,512,1015,17,20,1564,10,1534
,송산동제5투,3439,2186,1170,969,5,27,2171,15,1253
,송산동제6투,3838,2330,1224,1059,8,24,2315,15,1508
,송산동제7투,4601,2814,1459,1302,11,24,2796,18,1787
,송산동제8투,4793,2881,1350,1484,3,26,2863,18,1912
,송산동제9투,2857,1241,597,598,16,21,1232,9,1616
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0
