읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김동완,미래통합당이철규,국가혁명배당금당이도호,무소속동다은,무소속장승호,계,무효투표수,기권수
합계,,33231,21795,9632,11147,182,207,296,21464,331,11436
거소·선상투표,,100,95,36,47,2,3,2,90,5,5
관외사전투표,,1765,1765,977,670,22,26,42,1737,28,0
국외부재자투표,,38,13,8,5,0,0,0,13,0,25
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
정선읍,소계,8752,5666,2664,2721,39,50,108,5582,84,3086
,관내사전투표,2236,2236,1301,850,8,9,38,2206,30,0
,정선읍제1투,1479,680,265,389,2,9,9,674,6,799
,정선읍제2투,1451,800,301,449,10,9,13,782,18,651
,정선읍제3투,1500,764,369,345,9,10,21,754,10,736
,정선읍제4투,918,466,170,261,4,5,16,456,10,452
,정선읍제5투,638,386,119,249,1,6,4,379,7,252
,정선읍제6투,252,148,47,92,2,1,5,147,1,104
,정선읍제7투,278,186,92,86,3,1,2,184,2,92
고한읍,소계,3985,2226,1044,1099,27,12,21,2203,23,1759
,관내사전투표,1002,1002,513,453,8,7,10,991,11,0
,고한읍제1투,927,248,104,134,4,2,3,247,1,679
,고한읍제2투,1335,600,256,320,12,1,3,592,8,735
,고한읍제3투,721,376,171,192,3,2,5,373,3,345
사북읍,소계,4049,2475,1071,1314,13,25,20,2443,32,1574
,관내사전투표,1159,1159,602,522,4,8,11,1147,12,0
,사북읍제1투,1985,877,357,483,8,13,7,868,9,1108
,사북읍제2투,905,439,112,309,1,4,2,428,11,466
신동읍,소계,3107,1965,790,1075,18,27,15,1925,40,1142
,관내사전투표,631,631,279,331,2,2,6,620,11,0
,신동읍제1투,963,538,212,295,4,13,3,527,11,425
,신동읍제2투,788,371,134,213,8,4,3,362,9,417
,신동읍제3투,347,198,69,119,1,3,1,193,5,149
,신동읍제4투,378,227,96,117,3,5,2,223,4,151
화암면,소계,1488,974,439,506,8,3,6,962,12,514
,관내사전투표,381,381,186,184,2,1,4,377,4,0
,화암면제1투,859,453,191,250,4,1,1,447,6,406
,화암면제2투,248,140,62,72,2,1,1,138,2,108
남면,소계,2809,1813,804,940,12,12,20,1788,25,996
,관내사전투표,593,593,317,262,1,1,8,589,4,0
,남면제1투,619,310,142,150,4,3,2,301,9,309
,남면제2투,1256,704,241,437,5,6,7,696,8,552
,남면제3투,341,206,104,91,2,2,3,202,4,135
여량면,소계,1791,1259,477,718,14,11,16,1236,23,532
,관내사전투표,524,524,231,270,4,5,8,518,6,0
,여량면제1투,1047,597,209,353,8,5,8,583,14,450
,여량면제2투,220,138,37,95,2,1,0,135,3,82
북평면,소계,2208,1449,599,776,12,13,28,1428,21,759
,관내사전투표,618,618,287,307,2,5,10,611,7,0
,북평면제1투,1041,538,196,315,3,3,11,528,10,503
,북평면제2투,549,293,116,154,7,5,7,289,4,256
임계면,소계,3139,2095,723,1276,15,25,18,2057,38,1044
,관내사전투표,723,723,291,405,5,7,5,713,10,0
,임계면제1투,825,449,164,255,7,10,4,440,9,376
,임계면제2투,318,196,67,123,0,0,0,190,6,122
,임계면제3투,620,324,103,207,0,5,7,322,2,296
,임계면제4투,325,202,47,147,1,1,1,197,5,123
,임계면제5투,328,201,51,139,2,2,1,195,6,127
잘못 투입·구분된 투표지,,0,0,0,0,0,0,0,0,0,0
