읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당김동완,미래통합당이철규,국가혁명배당금당이도호,무소속동다은,무소속장승호,계,무효투표수,기권수
합계,,37712,24171,10029,13082,190,255,329,23885,286,13541
거소·선상투표,,69,62,22,31,2,1,0,56,6,7
관외사전투표,,1687,1686,915,629,19,25,45,1633,53,1
국외부재자투표,,62,10,8,2,0,0,0,10,0,52
국외부재자투표(공관),,0,0,0,0,0,0,0,0,0,0
황지동,소계,6113,4095,1838,2098,30,41,55,4062,33,2018
,관내사전투표,2093,2093,1123,906,13,9,31,2082,11,0
,황지동제1투,1686,843,268,541,9,9,3,830,13,843
,황지동제2투,1608,779,300,436,5,16,16,773,6,829
,황지동제3투,726,380,147,215,3,7,5,377,3,346
황연동,소계,4321,2709,928,1665,21,34,26,2674,35,1612
,관내사전투표,1213,1213,494,678,5,13,11,1201,12,0
,황연동제1투,1228,551,189,336,5,5,7,542,9,677
,황연동제2투,724,354,98,231,5,9,6,349,5,370
,황연동제3투,1156,591,147,420,6,7,2,582,9,565
삼수동,소계,4928,2784,1151,1522,21,25,34,2753,31,2144
,관내사전투표,1072,1072,506,541,2,7,8,1064,8,0
,삼수동제1투,2034,790,303,455,6,5,12,781,9,1244
,삼수동제2투,1392,669,251,381,5,9,13,659,10,723
,삼수동제3투,430,253,91,145,8,4,1,249,4,177
상장동,소계,9723,5749,2678,2835,42,55,85,5695,54,3974
,관내사전투표,2105,2105,1143,902,12,16,19,2092,13,0
,상장동제1투,1300,576,167,386,2,5,8,568,8,724
,상장동제2투,2399,1215,587,568,11,17,22,1205,10,1184
,상장동제3투,977,500,234,235,4,7,12,492,8,477
,상장동제4투,934,446,155,278,4,0,4,441,5,488
,상장동제5투,2008,907,392,466,9,10,20,897,10,1101
문곡소도동,소계,3121,1901,696,1136,17,15,25,1889,12,1220
,관내사전투표,535,535,235,279,8,5,8,535,0,0
,문곡소도동제1투,614,264,78,176,2,2,3,261,3,350
,문곡소도동제2투,930,528,187,316,6,4,11,524,4,402
,문곡소도동제3투,1042,574,196,365,1,4,3,569,5,468
장성동,소계,3349,2327,900,1348,14,18,18,2298,29,1022
,관내사전투표,1367,1367,573,758,9,5,7,1352,15,0
,장성동제1투,354,121,39,76,1,1,0,117,4,233
,장성동제2투,1022,509,194,297,3,6,5,505,4,513
,장성동제3투,606,330,94,217,1,6,6,324,6,276
구문소동,소계,2283,1510,491,943,12,25,24,1495,15,773
,관내사전투표,701,701,260,408,4,9,11,692,9,0
,구문소동제1투,954,432,133,270,3,13,9,428,4,522
,구문소동제2투,628,377,98,265,5,3,4,375,2,251
철암동,소계,2056,1337,402,872,12,16,17,1319,18,719
,관내사전투표,670,670,223,423,3,7,7,663,7,0
,철암동제1투,806,411,120,271,4,6,3,404,7,395
,철암동제2투,580,256,59,178,5,3,7,252,4,324
잘못 투입·구분된 투표지,,0,1,0,1,0,0,0,1,0,-1
