읍면동명,투표구명,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효투표수,기권수
읍면동명,투표구명,선거인수,투표수,더불어민주당이재정,미래통합당심재철,민생당문태환,정의당추혜선,국가혁명배당금당이현희,계,무효투표수,기권수
합계,,122068,92555,49736,38327,547,2980,252,91842,713,29513
거소·선상투표,,164,164,59,85,4,7,0,155,9,0
관외사전투표,,8146,8145,4814,2861,49,266,41,8031,114,1
국외부재자투표,,608,178,113,56,0,7,0,176,2,430
국외부재자투표(공관),,0,3,0,2,0,1,0,3,0,-3
평촌동,소계,11858,8997,4871,3694,47,300,23,8935,62,2861
,관내사전투표,3742,3740,2286,1319,17,100,2,3724,16,2
,평촌동제1투,2625,1782,887,791,14,73,7,1772,10,843
,평촌동제2투,2427,1456,679,689,8,56,9,1441,15,971
,평촌동제3투,3064,2019,1019,895,8,71,5,1998,21,1045
평안동,소계,17195,12964,7555,4841,62,406,26,12890,74,4231
,관내사전투표,4173,4173,2779,1262,15,102,3,4161,12,0
,평안동제1투,2256,1311,721,520,3,53,2,1299,12,945
,평안동제2투,2717,1856,899,839,12,79,10,1839,17,861
,평안동제3투,2411,1572,850,660,11,39,3,1563,9,839
,평안동제4투,2366,1688,938,678,10,51,4,1681,7,678
,평안동제5투,3272,2364,1368,882,11,82,4,2347,17,908
귀인동,소계,11752,9152,4760,4005,50,278,16,9109,43,2600
,관내사전투표,3087,3086,1885,1099,13,79,5,3081,5,1
,귀인동제1투,2546,1813,745,981,9,61,3,1799,14,733
,귀인동제2투,3074,2194,961,1147,11,61,4,2184,10,880
,귀인동제3투,3045,2059,1169,778,17,77,4,2045,14,986
호계1동,소계,6424,4663,2570,1830,25,185,11,4621,42,1761
,관내사전투표,1555,1553,901,566,12,61,3,1543,10,2
,호계1동제1투,1619,750,302,385,3,45,4,739,11,869
,호계1동제2투,2427,1763,1019,658,8,60,3,1748,15,664
,호계1동제3투,823,597,348,221,2,19,1,591,6,226
호계2동,소계,16899,11767,6065,5083,87,407,34,11676,91,5132
,관내사전투표,3148,3148,1815,1225,12,80,5,3137,11,0
,호계2동제1투,1599,755,355,343,10,36,5,749,6,844
,호계2동제2투,2223,1520,642,789,11,58,3,1503,17,703
,호계2동제3투,2892,1820,993,728,17,61,3,1802,18,1072
,호계2동제4투,3230,2030,898,1027,16,67,9,2017,13,1200
,호계2동제5투,3807,2494,1362,971,21,105,9,2468,26,1313
호계3동,소계,17584,12435,6532,5253,64,452,39,12340,95,5149
,관내사전투표,5070,5070,2985,1867,21,168,8,5049,21,0
,호계3동제1투,3059,1748,821,822,12,63,10,1728,20,1311
,호계3동제2투,2293,1188,551,553,14,42,7,1167,21,1105
,호계3동제3투,2040,1200,604,532,7,50,1,1194,6,840
,호계3동제4투,2207,1354,664,610,5,54,10,1343,11,853
,호계3동제5투,2915,1875,907,869,5,75,3,1859,16,1040
범계동,소계,12051,9302,4745,4197,60,212,24,9238,64,2749
,관내사전투표,3323,3323,2144,1077,12,72,7,3312,11,0
,범계동제1투,2386,1513,722,721,11,40,2,1496,17,873
,범계동제2투,2200,1373,701,604,18,31,3,1357,16,827
,범계동제3투,2173,1603,588,951,9,38,7,1593,10,570
,범계동제4투,1969,1490,590,844,10,31,5,1480,10,479
신촌동,소계,10682,8240,4479,3380,51,254,16,8180,60,2442
,관내사전투표,3715,3715,2316,1276,14,88,8,3702,13,0
,신촌동제1투,2899,1862,865,890,15,65,4,1839,23,1037
,신촌동제2투,2777,1716,879,743,11,65,2,1700,16,1061
,신촌동제3투,1291,947,419,471,11,36,2,939,8,344
갈산동,소계,8705,6541,3170,3039,48,205,22,6484,57,2164
,관내사전투표,2686,2685,1521,1070,12,61,7,2671,14,1
,갈산동제1투,2445,1598,627,885,12,55,5,1584,14,847
,갈산동제2투,1567,1121,446,613,11,34,5,1109,12,446
,갈산동제3투,2007,1137,576,471,13,55,5,1120,17,870
잘못 투입·구분된 투표지,,0,4,3,1,0,0,0,4,0,-4
